Neapolitan	Neapolitan	probability
ˈɛ_ʦː	i	1.0
ˈɛ_n_t_ə_#>	ɑ̃_#>	1.0
ˈɛ_lː	o	1.0
ˈɔ_sː	o	1.0
ˈɔ_n	ɔ̃	1.0
ˈɔ_k	ø	1.0
ˈu_tː	u	1.0
ˈu_kː	u	1.0
ˈo_n	ɔ̃	1.0
ˈi_n	ɛ̃	1.0
ˈi_lː	i_l	1.0
ˈa_t	e	1.0
ˈa_n	ɛ̃	1.0
ˈa_#>	e_#>	1.0
ʦː	-	1.0
ʦ	s	1.0
ʤː	-	1.0
ʎː	j	1.0
ʃ_ˈi	s	1.0
ɾ_ə_#>	#>	1.0
ɾ_t	ʁ	1.0
ɾ_n	ʁ	1.0
ɲ	ɲ	1.0
ə_n	ə_n	1.0
z	z	1.0
w_ˈɔ	ɔ	1.0
v_j	v	1.0
tː_ə	i	1.0
t_ɾ	ʁ	1.0
t_ə_#>	#>	1.0
s_t	t	1.0
rː	ʁ	1.0
r	ʁ	1.0
p_w	p	1.0
n_ə_#>	#>	1.0
l	l	1.0
kː_ə_#>	ʃ_#>	1.0
kː_j	j	1.0
k_w	k	1.0
k_j	p_l	1.0
k_a	ʃ	1.0
j_ˈɛ	i	1.0
j_ə_#>	#>	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
bː	-	1.0
b	b	1.0
a_j	ɛ_d	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʒ	1.0
ə_#>	#>	0.975
m	m	0.87
i	-	0.867
ɾ	ʁ	0.815
s	s	0.81
a	a	0.8
d	d	0.786
w	-	0.778
ʤ	ʒ	0.714
p	p	0.714
ɡ	ɡ	0.7
j	-	0.688
tː	t	0.667
e	-	0.667
v	v	0.643
ʃ_ə_#>	#>	0.6
o	-	0.6
nː	-	0.6
mː	m	0.6
ʃː	s	0.571
ˈɛ	ɛ	0.562
t	-	0.538
ˈi	i	0.533
n	n	0.522
ˈe	w	0.5
ʃ	s	0.5
ŋ	ɛ̃	0.5
ŋ	ɑ̃	0.5
<#_ˈa	<#_a	0.5
<#_ˈa	<#	0.5
#>	ʁ_#>	0.5
#>	a_#>	0.5
k	k	0.472
ˈa	ɛ	0.471
ˈo	-	0.462
t	t	0.462
u	-	0.444
ˈɔ	ɔ	0.44
ʃː	t	0.429
ʃ_ə_#>	a_#>	0.4
o	ɔ	0.4
nː	m	0.4
mː	-	0.4
ɲː	ɛ̃	0.375
ɲː	-	0.375
k	ʃ	0.361
ˈu	y	0.333
u	u	0.333
tː	-	0.333
e	ə	0.333
ˈu	u	0.303
ɡ	-	0.3
ʤ	-	0.286
ˈe	-	0.278
ʃ	e	0.278
ɲː	ɲ	0.25
ə	a	0.25
ə	-	0.25
ˈo	œ	0.231
ˈe	ɛ	0.222
w	o	0.222
u	ɔ	0.222
n	ɑ̃	0.217
ə	ø	0.214
d	-	0.214
ˈa	a	0.206
ˈɔ	œ	0.2
a	-	0.2
s	-	0.19
ˈɛ	ɑ̃	0.188
j	l	0.188
ˈu	-	0.182
p	-	0.179
ˈi	ɛ	0.167
k	-	0.167
ˈɔ	-	0.16
ˈo	ɔ̃	0.154
ˈo	u	0.154
ɾ	-	0.148
v	b	0.143
v	-	0.143
ˈi	w	0.133
i	i	0.133
n	ɛ̃	0.13
n	ɔ̃	0.13
m	-	0.13
ˈɛ	j_ɛ	0.125
ˈɛ	-	0.125
j	j	0.125
ˈɔ	ɥ	0.12
ˈa	e	0.118
ʃ	f_l	0.111
ʃ	-	0.111
ə	ə	0.107
ə	i	0.107
p	v	0.107
ˈi	i_ʁ	0.1
ˈu	ɥ	0.091
ˈu	w	0.091
ˈa	-	0.088
ˈɔ	o	0.08
ə	v	0.071
v	f	0.071
ˈi	-	0.067
ˈa	ɛ̃	0.059
ˈa	l	0.059
