West Flemish	West Flemish	probability
ˈøː	-	1.0
ˈi	ˈiː	1.0
ʋ_ˈæ	ʋ	1.0
ʃ_h	ʂ	1.0
ɾ_t	ʈː	1.0
ɾ_n	ɳ	1.0
ɾ_#>	#>	1.0
ɪ	ˈʊ	1.0
ɦ̥_#>	#>	1.0
ɦ_ə	ɡː	1.0
ɦ_n	ɡ_ə	1.0
ŋ	ŋː	1.0
ç	i	1.0
z̥_#>	s_#>	1.0
v_ˈøː	f	1.0
t_n	t_ə	1.0
t_#>	#>	1.0
n_d̥	nː	1.0
n_d	nː	1.0
n_#>	#>	1.0
m_n	mː_ə	1.0
l	l	1.0
k_n	kː_ə	1.0
j	-	1.0
iə̯	ə	1.0
d̥_#>	#>	1.0
d̥	lː	1.0
d_ɾ	ɾ	1.0
b	b	1.0
<#_ɾ	<#_ɾ	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
s	s	0.889
<#	<#_h	0.867
ɾ	ɾ	0.848
m	m	0.824
z	s	0.8
ˈyː	ˈʉː	0.778
ˈæ	ˈɛ	0.727
ʋ	ʋ	0.722
v	f	0.714
l_#>	l_#>	0.714
h_t	tː	0.714
ˈuə̯	ˈuː	0.692
ˈu	ˈʉ	0.667
v̥_#>	ʋ_#>	0.667
p	p	0.625
t	t	0.619
ə	ə	0.611
ˈɑ	ˈɑ	0.6
#>	k_#>	0.6
ˈɪ	ˈɪ	0.571
k	kʰ	0.571
w	l	0.556
k_#>	k_#>	0.545
ˈɛː	ˈæɪ̯	0.5
ˈɛː	-	0.5
ˈɛ	ˈɪ	0.5
ˈɛ	ˈɛ	0.5
ˈœ	ˈʏ	0.5
ˈœ	-	0.5
ˈiə̯	ˈyː	0.5
n_ə	nː	0.5
n_ə	n	0.5
d	tʰ	0.458
d	d	0.458
k_#>	#>	0.455
n	n	0.448
ˈɔ	-	0.444
w	lː	0.444
ˈɒː	ˈoː	0.412
ɦ	ɡ	0.412
#>	ˈøː_#>	0.4
ə	-	0.389
n	ə	0.379
ˈoː	ˈøː	0.375
ˈɔ	ˈɔ	0.333
ˈu	-	0.333
v̥_#>	#>	0.333
ˈeː	-	0.308
ˈɒː	ˈɑː	0.294
l_#>	#>	0.286
k	k	0.286
h_t	k_t	0.286
ʋ	-	0.278
ˈæ	-	0.273
ˈoː	ˈuː	0.25
p	pʰ	0.25
t	tː	0.238
ɦ	ˈʉː	0.235
ˈeː	ˈʉː	0.231
ˈeː	ˈæɪ̯	0.231
ˈeː	ˈeː	0.231
ˈɔ	ˈɑ	0.222
ˈyː	-	0.222
ˈɪ	ˈʏ	0.214
ˈɪ	-	0.214
v	ʋ	0.19
ˈɒː	ˈɑ	0.176
ɦ	j	0.176
ɦ	-	0.176
m	mː	0.176
ˈuə̯	ˈœ	0.154
ˈuə̯	ˈøː	0.154
ˈiə̯	ˈiː	0.15
ˈiə̯	ˈeː	0.15
t	-	0.143
k	ç	0.143
<#	<#_j	0.133
ˈoː	ˈɔ	0.125
ˈoː	-	0.125
p	pː	0.125
ˈɑ	ˈɛ	0.12
ˈɑ	ˈɑː	0.12
z	ʂ	0.12
ˈɒː	-	0.118
s	s_k	0.111
ɾ	ə_ɾ	0.109
n	nː	0.103
ˈiə̯	ˈɛ	0.1
ˈiə̯	-	0.1
v	-	0.095
ˈoː	ˈœ	0.083
d	-	0.083
ˈɑ	ˈɔ	0.08
ˈɑ	-	0.08
z	s_ˈœ	0.08
n	ˈoː	0.069
