Afrikaans	Swiss German	probability
b	b̥	1.0
d	d̥	0.484
d	t	0.471
d̥	d̥	0.48
d̥	t	0.283
d̥	l_t	0.095
d̥	-	0.059
d̥	tː	0.058
f	f	0.929
i	æ	0.689
i	i	0.311
j	-	0.429
j	j	0.429
j	t	0.142
k	χ	0.6
k	k	0.152
k	-	0.151
k	kː	0.068
m	m	0.874
m	mː	0.101
n	n	0.738
n	nː	0.1
n	ŋ	0.083
n	-	0.078
p	p͡f	0.392
p	f	0.391
p	fː	0.119
p	p	0.099
r	r	0.923
r	-	0.053
s	s	0.511
s	ʃ	0.418
t	ʦ	0.369
t	sː	0.338
t	t	0.185
t	s	0.057
t	-	0.052
v	ʋ	0.904
v	b̥	0.069
v̥	b̥	1.0
w	ʋ	0.849
w	ˈeː	0.151
ŋ	ŋ	0.835
ŋ	ɡ̊	0.165
ə	ə	0.823
ə	i	0.102
ə	-	0.053
ɡ̊	-	1.0
ɦ	h	1.0
ɫ	l	0.875
ɫ	lː	0.091
ˈa	ˈɒ	0.675
ˈa	ˈɒː	0.14
ˈa	ˈæ	0.091
ˈi	ˈyː	0.291
ˈi	ˈiə̯	0.284
ˈi	ˈy	0.147
ˈi	ˈæː	0.075
ˈi	ˈeː	0.051
ˈi	-	0.05
ˈi	ˈiː	0.05
ˈi	ˈøi̯	0.05
ˈoːɪ̯	ˈoː	1.0
ˈu	ˈuə̯	0.626
ˈu	ˈyə̯	0.313
ˈu	ˈyː	0.061
ˈyː	ˈyː	0.863
ˈyː	ˈuː	0.137
ˈæ	ˈe	0.448
ˈæ	ˈi	0.378
ˈæ	ˈæ	0.174
ˈæː	ˈæ	0.554
ˈæː	ˈiː	0.277
ˈæː	ˈɒ	0.169
ˈœ	ˈy	0.463
ˈœ	ˈu	0.433
ˈœ	ˈø	0.105
ˈœu̯	ˈɒ	0.532
ˈœu̯	ˈau̯	0.377
ˈœu̯	ˈo	0.092
ˈœɪ̯	ˈuː	0.818
ˈœɪ̯	ˈyː	0.182
ˈɑː	ˈɒː	0.516
ˈɑː	ˈɒ	0.175
ˈɑː	ˈæ	0.121
ˈɑː	ˈoː	0.089
ˈɔ	ˈu	0.552
ˈɔ	ˈo	0.215
ˈɔ	ˈuə̯	0.083
ˈɔ	ˈuː	0.083
ˈɔː	ˈu	0.912
ˈɔː	ˈɒ	0.088
ˈə	ˈi	0.863
ˈə	ˈiə̯	0.061
ˈə	ˈy	0.053
ˈəɪ̯	ˈiː	0.544
ˈəɪ̯	ˈæi̯	0.23
ˈəɪ̯	ˈi	0.137
ˈəɪ̯	ˈei̯	0.05
ˈɛ	ˈæ	0.559
ˈɛ	ˈy	0.408
ˈɛː	ˈæ	0.39
ˈɛː	ˈɒː	0.39
ˈɛː	ˈi	0.22
ˈɪ	ˈe	1.0
ˈɪø̯	ˈo	0.323
ˈɪø̯	ˈoː	0.323
ˈɪø̯	ˈɒ	0.219
ˈɪø̯	ˈu	0.134
ˈɪə̯	ˈæ	0.349
ˈɪə̯	ˈæi̯	0.295
ˈɪə̯	ˈæː	0.13
ˈʊə̯	ˈo	0.248
ˈʊə̯	ˈøː	0.206
ˈʊə̯	ˈoː	0.2
ˈʊə̯	ˈau̯	0.159
ˈʊə̯	ˈu	0.07
χ	ɡ̊	0.682
χ	χ	0.18
χ	ɡ̊ː	0.133
