Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ	ˈo	1.0
ˈo_w	ˈɔː	1.0
ˈo_b	ˈʌu̯_v	1.0
ˈe_l	ˈa_j	1.0
ˈe_j_ʃ_#>	ˈiː_#>	1.0
ʤ_i_#>	#>	1.0
ʤ	d	1.0
ɾ_ɐ	a	1.0
ɾ_u	e_r	1.0
ɾ_i	e_r	1.0
ɡ_u_#>	ɡ_#>	1.0
ɐ̃	a_ŋ	1.0
ɐ_#>	#>	1.0
ɐ	a	1.0
z	-	1.0
w̃_#>	ŋ_#>	1.0
w_#>	l_#>	1.0
u_#>	#>	1.0
t_ɐ	t_a	1.0
t	t	1.0
s_e	z	1.0
p	p	1.0
õ	-	1.0
n	n	1.0
m_i_#>	m_#>	1.0
m	m	1.0
l	l	1.0
k_u_#>	k_#>	1.0
k	k	1.0
j_ʃ_#>	#>	1.0
j_ʃ	z	1.0
j	-	1.0
ĩ	-	1.0
i_#>	#>	1.0
h	r	1.0
f	f	1.0
ẽ	e	1.0
e_ʃ	s	1.0
e_s	s	1.0
b_ɾ	v_r	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʤ	<#_d	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
ɾ	r	0.889
ʃ	s	0.846
ɡ	ɡ	0.846
v	v	0.833
ʒ	ð	0.8
b	b	0.786
e	-	0.769
a	a	0.733
ˈa	ˈɛ	0.73
ʧ	t	0.727
o	u	0.7
d	d	0.688
ˈu	ˈuː	0.636
s	s	0.606
i	-	0.6
ˈĩ	ˈe	0.571
ˈɛ	ˈɛ	0.524
ʎ	ʧ	0.5
ʎ	j	0.5
ɦ	r_e	0.5
ɦ	r	0.5
u	l	0.5
u	-	0.5
<#_ʃ	<#_ʧ	0.5
<#_ʃ	<#_p_j	0.5
#>	ŋ_#>	0.5
#>	l_#>	0.5
j̃	ɲ	0.467
ˈõ	ŋ	0.429
ˈĩ	ˈe_ŋ	0.429
ˈi	ˈe	0.421
ˈi	-	0.421
ˈẽ	ˈæ	0.4
w	w	0.4
i	i	0.4
s	θ	0.394
ˈɔ	ˈɔː	0.368
ˈu	-	0.364
ˈɐ̃	ˈa	0.348
j̃	ŋ	0.333
ˈɔ	ˈʌu̯	0.316
d	t	0.312
w	l	0.3
w	-	0.3
o	-	0.3
ˈõ	ˈɔ	0.286
ˈõ	ˈo_ŋ	0.286
ʧ	ŋ_t	0.273
a	-	0.267
ˈɐ̃	ˈaː	0.261
ˈɐ̃	ˈa_ŋ	0.261
ˈo	ˈɔː	0.25
ˈɛ	ˈɛː	0.238
ˈe	ˈɛ	0.235
e	e	0.231
b	v	0.214
ˈo	ˈuː	0.208
ˈẽ	ˈæ_ŋ	0.2
ˈẽ	ŋ	0.2
ˈẽ	-	0.2
ʒ	-	0.2
j̃	n	0.2
ˈe	ˈiː	0.176
ˈo	ˈʌ	0.167
ˈa	ˈaː	0.162
ˈɔ	ˈɔ	0.158
ˈɔ	-	0.158
ˈi	ˈiː	0.158
ʃ	f_j	0.154
ɡ	-	0.154
ˈe	ˈa_j	0.147
ˈe	ˈa	0.147
ˈɛ	-	0.143
ˈɐ̃	-	0.13
ˈo	ˈʌu̯	0.125
ˈo	ˈɔ	0.125
ˈo	ˈo	0.125
ˈe	e	0.118
ˈe	-	0.118
ɾ	-	0.111
v	b	0.1
ˈɛ	ˈiː	0.095
v	-	0.067
ˈe	d_e	0.059
ˈa	j_ˈɛ	0.054
ˈa	-	0.054
