Ripuarian	Ripuarian	probability
ˈʊ	-	1.0
ˈɛ_ɐ	ˈa_ʀ	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈɔ_ʀ	1.0
ˈɔʊ̯	ˈɔɪ̯	1.0
ˈøʏ̯	ˈaɪ̯	1.0
ˈuː	ˈɔɪ̯	1.0
ˈu	-	1.0
ˈoʊ̯	ˈɔɪ̯	1.0
ˈeː_n	ˈɛ_n	1.0
ˈeɪ̯_#>	ˈaɪ̯_#>	1.0
ˈeɪ̯	ˈɛɪ̯	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ʀ	ʀ	1.0
ɫ	ɫ	1.0
ɪ	-	1.0
ɣ̊	ɡ	1.0
ɣ	ɡ	1.0
ə_ɕ	ɪ_k	1.0
z	z	1.0
v̥_#>	b_#>	1.0
v_ə	b_n	1.0
t	t	1.0
s	s	1.0
m	m	1.0
l	ɫ	1.0
k	k	1.0
j_ʀ	ɡ_ʀ	1.0
h	h	1.0
f	f	1.0
e	-	1.0
b	b	1.0
<#	<#_ˈɛ	1.0
ʃ	ʃ	0.926
ˈe	ˈɪ	0.889
n	n	0.881
ˈa	ˈa	0.84
z̥	z	0.818
j	ɡ	0.818
ˈɪ	ˈɪ	0.8
ˈɛː	ˈɛ	0.778
ˈɔ	ˈɔ	0.778
ɕ	χ	0.75
ɐ	ə_ʀ	0.724
ˈyː	-	0.714
ˈo	ˈʊ	0.714
ˈœ	ˈɪ	0.667
d̥	t	0.65
ə	n	0.634
x	χ	0.625
ˈʏ	ˈaɪ̯	0.6
ŋ_ɡ̊	n_t	0.6
v	b	0.6
ˈøː	ˈɪ	0.571
p	p	0.571
ˈiː	ˈaɪ̯	0.545
ˈeː	ˈɪ	0.538
ˈaː	ˈɔ	0.538
d	t	0.531
ˈoː	ˈʊ	0.524
#>	χ_#>	0.5
#>	ɡ_#>	0.5
d	d	0.469
ˈeː	ˈɛɪ̯	0.462
ˈaː	ˈa	0.462
ˈøː	-	0.429
p	f	0.429
ˈʏ	ˈɪ	0.4
ŋ_ɡ̊	n	0.4
v	v	0.4
ɡ̊	ɡ	0.375
ɡ̊	d	0.375
x	χ_t	0.375
ŋ	ŋ	0.35
ˈœ	-	0.333
ˈyː	ˈaɪ̯_ə	0.286
ˈoː	ˈɔ	0.286
ɐ	ʀ	0.276
ˈiː	ˈɪ	0.273
ɡ̊	t	0.25
ɕ	ɡ	0.25
d̥	d	0.25
ˈɛː	-	0.222
ˈɔ	ˈʊ	0.222
ə	ə_n	0.22
ˈɪ	-	0.2
ŋ	n	0.2
ˈiː	ˈɛ	0.182
z̥	d_z	0.182
j	j	0.182
ˈa	-	0.16
ŋ	ŋ_ɡ	0.15
ə	-	0.146
ˈo	ˈɔɪ̯	0.143
ˈo	ˈɔ	0.143
ˈe	-	0.111
ŋ	ˈaɪ̯_n	0.1
ŋ	n_d	0.1
ŋ	-	0.1
d̥	ʀ_d	0.1
ˈoː	ˈɔɪ̯	0.095
ˈoː	-	0.095
ʃ	-	0.074
n	ˈɛ_n	0.071
