Proto-Balto-Slavic	Czech	probability
́ˀ_w	v	1.0
́ˀ	-	1.0
́	-	1.0
ˀ	-	1.0
ɡ_a	ɦ	1.0
ɛ	ɛ	1.0
ŋ	u	1.0
z	z	1.0
w	v	1.0
uː_́ˀ	iː	1.0
uː	ɪ	1.0
t_a	t	1.0
sʲ	s	1.0
r_i	r̝̊	1.0
r_a	r	1.0
o	-	1.0
n_a	n	1.0
m_t	t	1.0
m_b	b̥	1.0
m	m	1.0
l_i	l	1.0
k_a	k	1.0
j_a	f	1.0
i_́	l̩	1.0
i_r	r̩	1.0
eː_ˀ	j	1.0
eː	ɛ	1.0
e_́	ɛ	1.0
d_u	d̥	1.0
d_a	d̥	1.0
d	d	1.0
b	b	1.0
aː_́ˀ	a	1.0
aː	a	1.0
a_s	iː	1.0
au̯	-	0.85
ʃ	x	0.834
l	l	0.803
i	-	0.797
u	-	0.769
zʲ	z	0.719
e	-	0.697
ai̯	ɛ	0.695
r	r	0.694
p	p	0.686
s	s	0.674
t	t	0.662
ɡ	ɦ	0.581
oː	a	0.549
j	ɪ	0.522
n	n	0.502
ei̯	ɪ	0.5
ei̯	-	0.5
j	-	0.478
a_́	iː	0.455
a	-	0.452
oː	aː	0.451
a	o	0.393
k	k	0.357
s	-	0.326
k	-	0.323
k	ʦ	0.32
p	-	0.314
ai̯	j	0.305
e	ɛ	0.303
a_́	uː	0.273
a_́	o	0.273
u	k_iː	0.231
ɡ	ʒ	0.222
zʲ	-	0.219
t	-	0.214
i	ɛ	0.203
r	r̝	0.199
ɡ	ɛ	0.197
l	-	0.197
ʃ	-	0.166
n	ou̯	0.157
a	u	0.155
au̯	u	0.15
n	-	0.142
t	c	0.124
n	d	0.115
r	r̩	0.107
n	t	0.083
zʲ	z̥	0.062
