Bellunese	Bellunese	probability
ˈɛ_n	ˈẽ	1.0
ˈo_ŋ	ˈõ	1.0
ˈo_s	ˈo_ʃ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_o	ˈe_w	1.0
ˈi_n	ˈĩ_j̃	1.0
ˈe_ŋ	ˈẽ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_n	ˈɐ̃	1.0
ʤ	ˈũ_j̃	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
z_e	j_ʃ	1.0
w_a	w_ɐ	1.0
t_ˈa	t_ˈa	1.0
r_o	ɾ_u	1.0
r_m	ɦ_m	1.0
r_b	ɦ_v	1.0
r_a	ɾ_ɐ	1.0
p_j	ʃ	1.0
p	p	1.0
m	m	1.0
l_#>	#>	1.0
j_ˈe	ˈɛ	1.0
i_ɡ	ɡ	1.0
i_ŋ	ĩ	1.0
i	-	1.0
f_j	ʃ	1.0
e_r	h	1.0
e_#>	#>	1.0
b	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_n	<#_n	1.0
k	k	0.947
f	f	0.889
θ	s	0.812
ˈu	ˈu	0.778
v	v	0.778
ʧ	ʎ	0.714
z	z	0.714
#>	u_#>	0.708
l	l	0.703
ð	ʒ	0.7
ˈɛ	ˈɛ	0.684
d	d	0.667
a	ɐ	0.655
ˈe	ˈe	0.645
w	w	0.6
r	h	0.6
n_a	ɐ	0.6
ˈo	ˈo	0.576
t	t	0.567
s	s	0.529
ˈi	ˈi	0.526
o	u	0.525
ˈa	ˈa	0.523
j	ʎ	0.5
j	-	0.5
n	n	0.438
n	-	0.438
ŋ	w̃	0.4
w	-	0.4
n_a	j_ɐ	0.4
ˈɔ	ˈo	0.385
r	ɾ	0.309
ˈɔ	ˈɔ	0.308
ˈɔ	ˈo_j	0.308
ð	-	0.3
t	ʧ_i	0.3
ʧ	ʃ	0.286
z	ʒ	0.286
e	i	0.28
e	-	0.28
ˈa	ˈɐ̃	0.273
ŋ	-	0.25
ˈo	ˈɔ	0.242
e	ˈe	0.24
ˈu	ˈũ	0.222
v	b	0.222
a	a	0.218
l	w	0.216
ˈɛ	ˈe_j	0.211
ˈi	ˈĩ	0.211
d	-	0.208
s	ʃ	0.206
ŋ	j̃	0.2
o	o	0.2
e	e	0.2
θ	-	0.188
#>	i_#>	0.167
ˈe	ˈẽ	0.161
ˈi	-	0.158
ŋ	u	0.15
t	-	0.133
ˈe	-	0.129
o	i	0.125
n	j̃	0.125
d	ʤ	0.125
ˈo	-	0.121
s	e_ʃ	0.118
f	-	0.111
ˈɛ	ˈe	0.105
ˈi	ˈe	0.105
o	-	0.1
ˈa	a	0.091
a	-	0.091
s	e_s	0.088
#>	ɐ_#>	0.083
l	-	0.081
ˈa	-	0.068
ˈe	ˈɛ	0.065
ˈo	ˈɐ̃	0.061
s	j_ʃ	0.059
r	ɦ	0.055
k	ɡ	0.053
