Spanish	Occitan	probability
<#	<#_f	1.0
<#_a	<#_a	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_o	<#_u	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_ʤ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈu	<#_ˈy	1.0
<#_θ	<#_s	1.0
a_#>	ɔ_#>	1.0
a_β	a_β	1.0
a_θ	a_z	1.0
b	-	1.0
j_#>	j_#>	1.0
j_ˈe	ˈɛ	1.0
k	k	1.0
l_#>	l_#>	1.0
m_b	m_b	1.0
n_#>	#>	1.0
o_#>	#>	1.0
o_l	u_l	1.0
p	s	1.0
r	r	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_ɾ	t_ɾ	1.0
t_ˈa	t_ˈa	1.0
u	u	1.0
w	-	1.0
w_ˈa	ˈa	1.0
x_a	ʎ_ɔ	1.0
x_o	l_#>	1.0
ð_#>	t_#>	1.0
ð_ɾ	j_ɾ	1.0
ŋ	ŋ	1.0
ŋ_ɡ	ŋ_k	1.0
ɟ͡ʝ	l	1.0
ɟ͡ʝ_ˈe	ʤ_ˈɛ	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɣ_o	k_#>	1.0
ɾ_k	r_k	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ʝ	ʤ	1.0
ʝ_a	l_ɔ	1.0
ʝ_o	l_#>	1.0
ˈa	ˈa	1.0
ˈa_n	ˈa	1.0
ˈa_ɣ	ˈa_ɣ	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_k	ˈe_k	1.0
ˈi_o	ˈi_w_#>	1.0
ˈi_ɣ	ˈi_k	1.0
ˈi_ʝ	ˈɛ_l	1.0
β_o	p_#>	1.0
β_ɾ	β_ɾ	1.0
θ_a	ɾ_e_#>	1.0
θ_ˈe	j_s	1.0
a	-	0.1
e_#>	#>	0.71
j	-	0.231
l	n	0.111
l	-	0.111
l	w	0.111
s	s	0.571
ˈe	j	0.091
ˈe	ˈɛ	0.091
ˈi	-	0.071
ˈu	ˈi	0.091
ɾ	ɾ	0.412
β	v	0.12
<#_e	<#_e	0.833
e	-	0.263
i	e	0.333
o	e	0.143
o	-	0.333
s	-	0.143
ʧ	ʧ	0.333
ˈe	ˈe	0.523
ˈu	ˈu	0.273
θ_#>	s_#>	0.333
j	i	0.154
j	e	0.154
j	ˈɛ	0.154
m	m	0.824
o	u	0.524
t	t	0.474
ɾ	r	0.294
ˈe	ˈi	0.114
ˈo	ˈa_w	0.194
ˈo	ˈu	0.694
β	β	0.4
β	w	0.4
θ	-	0.4
<#_b	<#_b	0.355
<#_b	<#_v	0.645
<#_ˈo	<#_ˈa_w	0.5
<#_ˈo	<#_ɥ	0.5
a	ˈa	0.15
a	a	0.75
n	-	0.205
n	n	0.75
w_ˈe	ˈɔ	0.645
ð	t	0.375
ð	ð	0.625
ɲ	n	0.5
ɲ	ɲ	0.5
ɾ	-	0.255
ɾ_#>	e_#>	0.275
ɾ_#>	#>	0.725
ɾ_ˈe	ɾ_j_ˈɛ	0.5
ɾ_ˈe	ɾ_ˈe	0.5
<#_ɟ͡ʝ	<#_p	0.286
<#_ɟ͡ʝ	<#_k	0.286
m	-	0.176
s	z	0.286
t	-	0.526
w_ˈe	ˈu	0.226
x	s	0.286
x	ʎ	0.286
ˈo	ˈɔ	0.056
ˈo	ɥ_ˈɛ	0.056
ˈu	ˈy	0.636
θ	s	0.6
<#_e	<#_ʤ	0.167
e	e	0.737
i	i	0.667
l	l	0.667
ʧ	ˈɛ_ʧ	0.667
θ_#>	ʦ_#>	0.667
j	j	0.308
ˈe	ɾ	0.068
ˈe	ˈe_j	0.068
β	-	0.08
<#_ɟ͡ʝ	<#_p_l	0.429
e_#>	e_#>	0.29
w_ˈe	ɥ_ˈɔ	0.129
x	ˈɛ_l	0.429
ˈi	ˈi	0.929
