Swiss German	Swiss German	probability
χː_ə	x	1.0
χː_sː	ɡ̊_s	1.0
ˈøː	ˈeː	1.0
ˈøi̯	-	1.0
ˈø	ˈe	1.0
ˈyː_r	ˈai̯_a	1.0
ˈoː_r	ˈo_ɐ	1.0
ˈiː	ˈai̯	1.0
ˈeː	ˈeː	1.0
ˈei̯	-	1.0
ˈe	ˈe	1.0
ʦ	ʦ	1.0
ʒ̊	ʃ	1.0
ʋ	ʋ	1.0
ʃː	ʃ	1.0
ɣ̊	kʰ	1.0
ɡ̊_ə	ŋ	1.0
ɡ̊_#>	#>	1.0
ɡ̊	ɡ̊	1.0
ə_r	a	1.0
æ	eɐ̯	1.0
z̥	s	1.0
w	j	1.0
v̥	f	1.0
tː_ə	d̥_n	1.0
tː_r	d̥_r	1.0
tː	d̥	1.0
sː	s	1.0
p͡f	b̥͡v̥	1.0
pː	-	1.0
n_ə	n_a	1.0
m	m	1.0
j	j	1.0
h	h	1.0
fː	f	1.0
d̥	d̥	1.0
b̥_ə	m	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_r	1.0
n	n	0.919
ˈu	ˈu	0.882
ˈi	ˈi	0.857
b̥	b̥	0.857
ˈæi̯	ˈoɐ̯	0.833
ˈuː	ˈau̯	0.818
ˈuə̯	ˈuɐ̯	0.818
kː	ɡ̊	0.818
ˈo	ˈo	0.8
χː	x	0.765
ŋ	ŋ	0.75
ˈau̯	ˈaː	0.714
i	-	0.714
ˈæ	ˈe	0.7
ˈiə̯	ˈiɐ̯	0.667
ˈæː	ˈeː	0.6
ˈy	ˈi	0.6
l	l	0.568
ˈoː	ˈou̯	0.556
ˈɒː	ˈɒː	0.5
ˈɒː	-	0.5
ˈyə̯	ˈuɐ̯	0.5
ˈyə̯	ˈiɐ̯	0.5
#>	n_#>	0.5
r	ɐ	0.45
ˈoː	ˈoː	0.444
l	j	0.432
r	r	0.425
ˈæː	-	0.4
ə	a	0.4
ə	n	0.371
ˈyː	ˈiɐ̯	0.333
ˈyː	ˈai̯	0.333
ˈyː	-	0.333
ˈiə̯	-	0.333
ˈɒ	ˈɑ	0.296
ˈɒ	ˈo	0.296
ˈau̯	-	0.286
i	i	0.286
ŋ	n_d̥	0.25
#>	ɡ̊_#>	0.25
#>	ŋ_#>	0.25
ə	-	0.229
ˈæ	ˈeː	0.2
ˈy	ˈu	0.2
ˈy	-	0.2
ˈo	-	0.2
ˈuː	-	0.182
ˈuə̯	-	0.182
kː	-	0.182
ˈæi̯	ˈai̯	0.167
ˈɒ	ˈɒː	0.148
ˈɒ	ˈa	0.148
ˈi	-	0.143
b̥	β	0.143
χː	ç	0.118
χː	-	0.118
ˈu	ˈo	0.118
ˈɒ	ˈɑː	0.111
ˈæ	-	0.1
n	-	0.081
r	a	0.075
