Yiddish	Yiddish	probability
ˈɪ_ʀ	ˈiː	1.0
ˈɛɪ̯_n	n	1.0
ˈɛ_n	ˈɛɪ̯_n	1.0
ˈaɪ̯_ə	ˈyː	1.0
ʧ	ʃ	1.0
ʦ	t	1.0
ʀ_ɛ	ɐ	1.0
ʀ_ə	ɐ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ_#>	#>	1.0
ɛ	-	1.0
ə_ʀ	ɐ	1.0
ə_#>	ə_#>	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v_ˈa	v	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
m_ə	m	1.0
k_ə	k	1.0
j	j	1.0
h	h	1.0
f_n	b_m	1.0
f_#>	p_#>	1.0
d_#>	#>	1.0
b_n	v_n	1.0
a	-	1.0
<#_ˈɪ	<#	1.0
<#_ʀ	<#_r	1.0
#>	ə_#>	1.0
ˈɛɪ̯	ˈɛɪ̯	0.909
m	m	0.905
f	f	0.9
n	n	0.875
s	t	0.842
k	k	0.842
v	v	0.84
z	z	0.818
ˈa	ˈa	0.742
b	b	0.682
ˈaɪ̯	ˈiː	0.588
χ	k	0.579
ʀ	r	0.556
d	d	0.55
ʃ	s	0.52
ˈɪ	ˈɪ	0.512
ʃ	ʃ	0.48
ˈɔɪ̯	ˈeo̯	0.478
ʀ	ɐ	0.444
ˈɔɪ̯	ˈuː	0.435
ɡ	ɣ	0.409
d	d̥	0.35
t	d̥	0.34
ˈʊ	ˈʊ	0.333
t	t	0.32
ˈɛ	ˈɛ	0.318
χ	x	0.316
t	d	0.3
ˈʊ	ˈaʊ̯	0.296
ɡ	j	0.273
ˈɔ	ˈɒː	0.267
ˈɛ	ˈeː	0.227
ˈɔ	ˈɔ	0.2
ˈɛ	ˈɛː	0.182
z	z̥	0.182
ˈaɪ̯	ˈʏ	0.176
ˈɪ	ˈɛɪ̯	0.171
v	w	0.16
s	s	0.158
k	ç	0.158
ˈʊ	ˈɔ	0.148
ˈʊ	-	0.148
ˈɛ	ˈœ	0.136
ˈɛ	-	0.136
ˈa	ˈɒː	0.129
ˈaɪ̯	ˈɪ	0.118
ˈaɪ̯	ˈɛɪ̯	0.118
χ	ç	0.105
ˈɔ	ˈɛː	0.1
ˈɔ	ˈoː	0.1
ˈɔ	ˈa	0.1
ˈɔ	-	0.1
f	p	0.1
d	-	0.1
ˈɪ	ˈʏ	0.098
ˈɪ	ˈɔʏ̯	0.098
ˈa	ˈɔ	0.097
m	-	0.095
ˈɛɪ̯	ˈaɪ̯	0.091
ɡ	ɡ	0.091
ɡ	ə	0.091
ɡ	-	0.091
b	v	0.091
b	f	0.091
b	-	0.091
ˈɔɪ̯	ˈoː	0.087
n	-	0.083
ˈʊ	ˈoː	0.074
ˈɪ	ˈɛ	0.073
ˈɔ	ˈʊ	0.067
ˈɔ	ˈɛ	0.067
