Yiddish	Yiddish	probability
χ_t	x_t	1.0
ˈaɪ̯_ə	ˈiː	1.0
ˈa_ɫ	ˈɑu̯	1.0
ʦ	t	1.0
ʃ_#>	s_#>	1.0
ʀ_t	ɾ_d̥	1.0
ʀ_n	ə_n	1.0
ʀ_#>	#>	1.0
ɡ_ə	ə	1.0
ɡ_n	x_ə	1.0
ɡ_#>	k_#>	1.0
ɛ	-	1.0
ə_ʀ	ɾ	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
v	ʋ	1.0
s_t	s_t	1.0
s	t	1.0
p	p	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
h	ˈʊə̯	1.0
f_n	p_ə	1.0
d_ə	d_ə	1.0
d_#>	d̥_#>	1.0
a	-	1.0
<#_ˈɛ	<#_ˈɑ	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_ɾ	1.0
<#_t	<#_d	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
ʀ	ɾ	0.955
ɫ	ɫ	0.946
k	k	0.895
#>	ə_#>	0.84
ɡ	x	0.833
d	d	0.818
n	n	0.729
f	v	0.724
z	z	0.72
ˈɛɪ̯	ˈɪə̯	0.7
ɪ	ɪ	0.667
ə	ə	0.667
ˈa	ˈɑ	0.643
t	d̥	0.586
ʃ	s	0.579
b	b	0.542
ˈɛ_n	ˈæ_n	0.5
ˈɛ_n	n	0.5
ˈɔɪ̯	ˈʊə̯	0.5
χ	k	0.417
ˈɔɪ̯	ˈyː	0.417
ˈaɪ̯	ˈi	0.412
ˈɪ	ˈɪ	0.4
ˈʊ	ˈɔ	0.391
ˈɔ	ˈɛː	0.387
χ	k_ə	0.333
ɪ	i	0.333
ˈɛɪ̯	ˈæi̯	0.3
ˈaɪ̯	-	0.294
z	z̥	0.28
t	t	0.276
n	ə	0.271
χ	x	0.25
ˈɛ	ˈɛː	0.25
ˈɛ	ˈæ	0.25
ˈɛ	ˈeː	0.25
ˈɔ	ˈɔ	0.226
ə	-	0.222
ʃ	z	0.211
ʃ	s_x	0.211
ˈɪ	ˈi	0.2
d	d_ə	0.182
ˈa	ˈɛː	0.179
ˈaɪ̯	ˈiː	0.176
ˈʊ	ˈuː	0.174
ˈʊ	ˈu	0.174
f	p	0.172
ɡ	x_ə	0.167
b	v̥	0.167
ˈɪ	ˈiː	0.143
ˈʊ	ˈøː	0.13
ˈʊ	-	0.13
b	v	0.125
ˈaɪ̯	ˈɪ	0.118
ə	d_ə	0.111
ˈa	ˈæ	0.107
k	-	0.105
f	v̥	0.103
ˈɛ	ˈʏ	0.1
ˈɛ	ɾ	0.1
ˈɔ	ˈɑ	0.097
ˈɔ	-	0.097
ˈɪ	-	0.086
ˈɔɪ̯	-	0.083
b	v_ə	0.083
b	-	0.083
#>	w_#>	0.08
#>	s_#>	0.08
ˈa	-	0.071
t	d	0.069
t	-	0.069
ˈɔ	ˈʏ	0.065
ˈɔ	ˈøː	0.065
ˈɔ	ɾ	0.065
ˈɪ	ˈæ	0.057
ˈɪ	ˈuː	0.057
ˈɪ	ˈeː	0.057
ɫ	l	0.054
