Latin	Latin	probability
ˈɛ̃ː	ˈe_ŋ	1.0
ˈɛ_r	ˈɛ_ɾ	1.0
ˈɛ_k	ˈe_j	1.0
ˈɔ_n	ˈo	1.0
ˈyː	ˈi	1.0
ˈuː_k	ˈo_j	1.0
ˈuː	ˈu	1.0
ˈoː_t	ˈo_ð	1.0
ˈoe̯	ˈe	1.0
ˈo	ˈɔ	1.0
ˈĩː	ˈi	1.0
ˈiː_w	ˈi	1.0
ˈi	ˈi	1.0
ˈeː_n	ˈe	1.0
ˈeː	ˈe	1.0
ˈe	ˈe_w	1.0
ˈaː_n_ãː_#>	ˈa_#>	1.0
ˈau̯	ˈo_w	1.0
ˈae̯	ˈɛ	1.0
ˈa_k	ˈa_ɣ	1.0
ʊ̃ː_#>	#>	1.0
ʊ_ɫ	ɟ	1.0
ɫ_ˈaː	ˈa	1.0
ɫ_ʊ̃ː	ʊ	1.0
ɫ_t	j_t	1.0
ɫ_ãː	ɐ	1.0
ɪ̃	ɪ	1.0
ɪ_t	ð	1.0
ɡ_ɛ	ʃ_e	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	ɪ	1.0
ɛ̃	ɪ	1.0
ɛ_r	ɾ	1.0
ɛ_#>	#>	1.0
ɔ_r	ɾ	1.0
w_ɛ̃ː	β_ɪ	1.0
uː	ʊ	1.0
u	-	1.0
tː	t	1.0
tʰ	ð	1.0
t_i	θ	1.0
t_ãː	ð_ɐ	1.0
sː_ʊ̃ː	s_ʊ	1.0
sː	ʃ	1.0
s_ɛ	s	1.0
s_#>	s_#>	1.0
rː	r	1.0
r_ʊ̃ː	ɾ_ʊ	1.0
r_ɛ	ˈe_ɾ	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_k	ɾ_k	1.0
r_i	j_ɾ	1.0
r_ãː	ɾ_ɐ	1.0
p_ɫ	ʧ	1.0
p_ɛ	β	1.0
oː_r	e_ɾ	1.0
nː	n	1.0
n_ʊ̃ː	ŋ	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
n_ãː	ɐ	1.0
mː	m	1.0
m_ˈaː	m_ˈa	1.0
m_b	m_b	1.0
m_ãː	m_ɐ	1.0
lʲː	l	1.0
lʲ_i	ɟ	1.0
lʲ	l	1.0
kː	k	1.0
k_ˈa	k_ˈa	1.0
k_ʊ̃ː	ɣ_ʊ	1.0
k_ʊ	ɟ	1.0
k_ɫ	ʧ	1.0
k_ɪ	θ_ˈi	1.0
k_ɛ̃ː	θ	1.0
k_ɛ	θ_ˈe	1.0
k_t	t	1.0
j	ʃ	1.0
i_a	ɐ	1.0
f_ɫ	ʧ	1.0
f	f	1.0
e_ʊ̃ː	ʊ	1.0
e	-	1.0
d_ʊ̃ː	ʊ	1.0
aː_s	ɐ_s	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_o	<#	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_a	<#_a	1.0
ʊ̃ː	ʊ	0.955
ãː	ɐ	0.932
ˈiː	ˈi	0.929
r	ɾ	0.919
m	m	0.889
ˈaː	ˈa	0.8
a	a	0.778
ˈɪ	ˈe	0.773
s	s	0.759
ɔ	o	0.75
p	p	0.75
n_ɛ̃ː	ŋ	0.75
<#	<#_e	0.75
ˈa	ˈa	0.722
ˈʊ	ˈo	0.714
ˈɛ	ˈɛ	0.7
iː	i	0.667
ˈɔ	ˈɔ	0.645
ʊ	-	0.625
w	b	0.621
ɫ	l	0.619
t	t	0.604
ˈu	-	0.6
i	-	0.6
eː	-	0.6
n	n	0.595
ˈoː	ˈo	0.588
ŋ	ŋ	0.583
aː	a	0.556
d	d	0.543
b	b	0.542
oː	o	0.5
kʷ	k	0.5
b	β	0.458
ɪ	-	0.444
ŋ	n	0.417
ˈu	ˈo	0.4
i	j	0.4
eː	e	0.4
ɛ	e	0.385
ɫ	-	0.381
ʊ	u	0.375
k	θ	0.371
oː	ʊ	0.357
ˈɔ	ˈo	0.355
ɡ	ɡ	0.348
ɪ	e	0.333
iː	-	0.333
ɡ	-	0.304
ˈɛ	ˈe	0.3
ˈoː	ˈɔ	0.294
ˈʊ	ˈu	0.286
d	-	0.286
t	ð	0.271
n_ɛ̃ː	ɪ	0.25
kʷ	k_w	0.25
kʷ	-	0.25
<#	<#_θ	0.25
ɛ	ˈe	0.231
ɛ	-	0.231
k	ɣ	0.229
aː	ɐ	0.222
aː	-	0.222
n	ɲ	0.216
w	β	0.207
ˈaː	ˈɑ	0.2
p	β	0.188
ɡ	ʃ	0.174
k	k	0.171
ɔ	ɾ	0.167
a	ɐ	0.167
ɛ	ˈi	0.154
oː	-	0.143
ˈa	ˈɑ	0.139
s	ʃ	0.138
ˈɪ	ˈi	0.136
ˈoː	-	0.118
ɪ	ˈi	0.111
ɪ	j	0.111
m	-	0.111
n	-	0.108
w	-	0.103
s	-	0.103
ˈɪ	-	0.091
ɡ	ɣ	0.087
ɡ	j	0.087
d	ʃ	0.086
d	ð	0.086
ˈa	a	0.083
ɔ	ɔ	0.083
t	-	0.083
n	ŋ	0.081
ˈiː	i	0.071
w	v	0.069
p	-	0.062
k	ˈe_j	0.057
k	ɡ	0.057
k	j	0.057
k	-	0.057
ˈa	-	0.056
a	ɑ	0.056
r	r	0.054
