Emilian	Emilian	probability
ˈʌ_ŋ	ˈõ	1.0
ˈɛː	ˈɛ	1.0
ˈɛ_ð	ˈe	1.0
ˈɛ_#>	ˈa_ʤ_i_#>	1.0
ˈiː_#>	ˈe_j_ʃ_#>	1.0
ˈi	-	1.0
ˈe_ŋ	ˈĩ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_j	ˈe	1.0
ˈa_d	ˈe	1.0
ʧ	ʎ	1.0
ɲ	j̃	1.0
ɡ_#>	ɡ_u_#>	1.0
ɡ	ɡ	1.0
ð	ʒ	1.0
z_#>	j_ʃ_#>	1.0
w	w	1.0
v_r	b_ɾ	1.0
t_a	t_ɐ	1.0
r_e	ɦ	1.0
p	p	1.0
n_a	ɐ	1.0
m_#>	m_i_#>	1.0
m	m	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j_ˈɛ	ˈa	1.0
f_j	ʃ	1.0
f	f	1.0
e_n	ẽ_j̃	1.0
a_ŋ	ɐ̃	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʧ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_p_j	<#_ʃ	1.0
<#_d	<#_d	1.0
θ	s	0.875
ŋ_#>	w̃_#>	0.818
v	v	0.806
n	n	0.769
l	l	0.769
ˈæ	ˈẽ	0.75
l_#>	w_#>	0.75
b	b	0.733
a	ɐ	0.727
ˈʌ	ˈo	0.667
e_r	ɾ_i	0.667
#>	u_#>	0.609
d_#>	d_u_#>	0.6
ˈuː	ˈu	0.583
ˈɛ	ˈa	0.571
d	d	0.571
r	h	0.566
ˈʌu̯	ˈɔ	0.545
ŋ	j̃	0.545
u	o	0.538
s	s	0.512
ˈe	ˈi	0.5
ŋ_t	t_u	0.5
z	z	0.5
z	s_e	0.5
ˈiː	ˈe	0.462
u	-	0.462
ˈʌu̯	ˈo	0.455
ŋ	-	0.455
j	-	0.455
ˈɔ	ˈo	0.444
ˈɔː	ˈɔ	0.438
ˈa	ˈɐ̃	0.435
ˈuː	ˈo	0.417
d_#>	#>	0.4
ˈɔː	ˈo	0.375
j	ʎ	0.364
ˈo	ˈũ	0.357
ˈaː	ˈɐ̃	0.353
ˈaː	ˈa	0.353
ˈʌ	ˈɐ̃	0.333
ˈɔ	ˈɔ	0.333
t	t	0.333
i	u	0.333
i	ĩ	0.333
i	i	0.333
e_r	u	0.333
r	ɾ	0.316
ˈe	ˈĩ	0.312
e	ˈe	0.308
ŋ_t	ʧ	0.3
ˈaː	-	0.294
#>	i_#>	0.29
ˈo	-	0.286
d	ʤ	0.286
t	ʧ	0.267
b	v	0.267
ˈɛ	ˈɛ	0.262
s	ʃ	0.256
ˈæ	-	0.25
l_#>	#>	0.25
ˈiː	ˈi	0.231
n	-	0.231
e	ɾ	0.231
e	e	0.231
e	-	0.231
ˈɔ	ˈõ	0.222
ˈa	ˈe	0.217
ˈo	ˈo	0.214
ŋ_t	t	0.2
a	a	0.197
v	b	0.194
ˈɔː	ˈo_w	0.188
ˈe	-	0.188
ŋ_#>	#>	0.182
j	ˈi	0.182
t	d	0.167
ˈiː	ˈɛ	0.154
ˈiː	ˈĩ	0.154
l	-	0.154
ˈo	ˈõ	0.143
d	-	0.143
t	j_t	0.133
ˈa	ˈɛ	0.13
ˈa	ˈẽ	0.13
θ	-	0.125
ˈɛ	ˈe	0.119
s	e_ʃ	0.116
t	-	0.1
ˈa	-	0.087
l	w	0.077
#>	ɐ_#>	0.072
s	e_s	0.07
r	ɦ	0.053
