Faroese	Faroese	probability
ˈʏ	-	1.0
ˈʊ̯iː_ɹ	ˈɜɪ̯_ɐ	1.0
ˈɔːu̯_w	ˈʊ	1.0
ˈɔːi̯	-	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈeː_#>	ˈə_ɕ_#>	1.0
ˈaːi̯	ˈeː	1.0
ˈai̯	ˈeː	1.0
ˈa_ɹ	ˈaː	1.0
ʰʧ	k	1.0
ʰt͡n̥	s_ɐ	1.0
ʰt_ʊ	ɕ_t	1.0
ʰp	f	1.0
ʰk	ŋ_k	1.0
ʧ	-	1.0
ʤ̊ː_ʊ	ŋ	1.0
ʤ̊ː	-	1.0
ʊ_#>	#>	1.0
ʃ	ʃ	1.0
ɹ_ˈɪ	ʀ_ˈe	1.0
ɹ_ʊ	ɐ	1.0
ɹ_a	ɐ	1.0
ɹ_#>	#>	1.0
ɲ	-	1.0
ɪ_ɹ	ɐ	1.0
ɪ	-	1.0
ɡ̊ː	k	1.0
ɡ̊_ɹ	ɡ_ʀ	1.0
ɡ̊_a_#>	#>	1.0
ɡ̊	-	1.0
w	-	1.0
v_ʊ	ə_v̥	1.0
t͡n̥_#>	ʀ_#>	1.0
t͡l̥	l	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_#>	#>	1.0
pʰ	pʰ	1.0
p	f	1.0
n̥	-	1.0
nː	n	1.0
n_d̥	n	1.0
m	m	1.0
l̥	l_ə	1.0
kʰ_v	v	1.0
kʰ	kʰ	1.0
k_ʊ_ɹ_#>	#>	1.0
j_ʊ	d̥	1.0
j	-	1.0
h	h	1.0
f	f	1.0
d̥_ʊ	d̥	1.0
d̥_ɹ	d_ʀ	1.0
b̥	b	1.0
a_#>	#>	1.0
<#_ɹ	<#_ʀ	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ʊ_ɹ_#>	#>	0.952
a	ə	0.947
l	l	0.917
n	n	0.824
ŋ	ŋ	0.8
#>	n_#>	0.771
ˈeː	-	0.75
d̥	d	0.75
<#	<#_v	0.714
ˈʊ̯iː	ˈæːɪ̯	0.667
ˈɛːa̯	ˈaː	0.667
ʊ	ɐ	0.667
ˈiː	-	0.571
tʰ	d	0.556
s	ʃ	0.533
t	s	0.522
ˈʉːu̯	ˈæːʊ̯	0.5
ˈɛːi̯	ˈəʊ̯	0.5
ˈɛːi̯	ˈaː	0.5
ˈɔːu̯	ˈɜɪ̯	0.5
ˈɔːu̯	ˈu	0.5
ˈøː	-	0.5
ʧʰ	kʰ	0.5
ʧʰ	d	0.5
ɡ̊_ʊ	ɡ̊	0.5
ɡ̊_ʊ	ɐ	0.5
v̥	ˈɜɪ̯	0.5
v̥	ˈəʊ̯	0.5
s	z	0.467
ɹ	ɐ	0.455
ʰt	s	0.444
tʰ	ʦ	0.444
k	ɕ	0.444
ˈiː	ˈə	0.429
ˈa	ˈɑ	0.429
v	v	0.429
ˈɔ̯aː	ˈɜɪ̯	0.4
ˈɔ̯aː	ˈoː	0.4
ˈœ	-	0.4
ʤ̊	ɡ	0.4
ʤ̊	-	0.4
t	t	0.391
ˈɔ	ˈɑ	0.385
ˈa	ˈaː	0.357
ˈʊ	ˈo	0.35
ˈʊ̯iː	ˈɑɪ̯	0.333
ˈɪ	ˈɑ	0.333
ˈɛːa̯	ˈiː	0.333
ˈɛ	-	0.333
ʰt	t	0.333
ʊ	ɕ	0.333
k	χ	0.333
ɹ	ʀ	0.318
ˈʉːu̯	-	0.3
<#	<#_j	0.286
ˈɛ	ˈeː	0.267
ˈʊ	-	0.25
ˈøː	ˈɜɪ̯	0.25
ˈøː	ˈɛː	0.25
ˈeː	ˈiə̯	0.25
d̥	d̥	0.25
ˈɪ	ˈə	0.238
ˈɪ	-	0.238
ˈɔ	ˈuː	0.231
ˈɔ	ˈaː	0.231
#>	d̥_#>	0.229
ʰt	ɕ_t	0.222
k	-	0.222
ˈa	-	0.214
ˈʉːu̯	ˈɜɪ̯	0.2
ˈɔ̯aː	ˈəʊ̯	0.2
ˈœ	ˈə	0.2
ˈœ	ˈo	0.2
ˈœ	ɐ	0.2
ʤ̊	ʑ	0.2
ŋ	-	0.2
n	n_d̥	0.176
v	w	0.171
v	-	0.171
ˈɔ	ˈuə̯	0.154
ˈʊ	ˈə	0.15
ˈʊ	ˈɔ	0.15
ɹ	ˈiː	0.136
ˈɛ	ˈɛ	0.133
ˈɛ	ˈæ	0.133
ˈɛ	ˈaː	0.133
ˈʊ	ˈe	0.1
ˈɪ	ˈɑʊ̯	0.095
ˈɪ	ˈe	0.095
ɹ	-	0.091
t	-	0.087
v	ə_f	0.086
v	v̥	0.086
l	ˈu	0.083
v	f	0.057
a	n	0.053
