Portuguese	Portuguese	probability
ˈɨ	ˈe	1.0
ˈɐ_j	ˈe	1.0
ˈũ	ˈu_n	1.0
ˈo_w	ˈo	1.0
ˈo_j	ˈo	1.0
ˈĩ	-	1.0
ˈẽ	j	1.0
ˈa	ˈa	1.0
ʎ	ʎ	1.0
ʃ_t	s_t	1.0
ʃ_p	s_p	1.0
ʃ_k	s_k	1.0
ʁ	r	1.0
ɾ_ɐ	ɾ_a	1.0
ɾ_u	ɾ_o	1.0
ɾ_t	ɾ_t	1.0
ɾ_n	ɾ_n	1.0
ɾ_m	ɾ_m	1.0
ɾ_#>	ɾ_#>	1.0
ɾ	ɾ	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɨ_#>	#>	1.0
ɡ	ɡ	1.0
ɐ̃	-	1.0
ɐ_ɾ	ɾ	1.0
z_ɐ	s_a	1.0
z	θ	1.0
w̃_#>	n_#>	1.0
w̃	n_o	1.0
w_ˈa	w_ˈa	1.0
w	-	1.0
v_ɨ	w	1.0
ũ	m_e	1.0
t_ɨ	ˈe_n	1.0
p	p	1.0
õ	o_n	1.0
n_s	z	1.0
m	m	1.0
l_ˈɐ	l_ˈe	1.0
k	k	1.0
j̃_#>	#>	1.0
j̃	j	1.0
j_ʎ	ʎ	1.0
j_ʃ	ʃ	1.0
j_ɐ	n_a	1.0
j_v	ʝ	1.0
j_t	j	1.0
j_#>	j_#>	1.0
ĩ	i	1.0
f	f	1.0
ẽ	e_n	1.0
d	d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɔ	<#_o	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
<#	<#_a	1.0
ɐ	a	0.938
u	o	0.931
ˈu	ˈu	0.905
ˈi	ˈi	0.903
ɣ	ɣ	0.882
ˈɛ	j_ˈe	0.8
ˈe	ˈe	0.778
t	t	0.769
ɨ	e	0.758
β	β	0.714
ʒ	ʧ	0.714
b	b	0.692
<#_s	<#_s	0.655
n	n	0.6
i	i	0.6
ð	ð	0.583
ˈɐ	ˈe	0.579
ʃ_#>	θ_#>	0.556
l	ʎ	0.556
ˈɐ̃	ˈa	0.5
v	b	0.5
u_#>	w_#>	0.5
u_#>	#>	0.5
j	j	0.5
ˈo	w_ˈe	0.472
s	s	0.467
ˈɔ	ˈo	0.45
ˈɔ	w_ˈe	0.45
ʃ_#>	s_#>	0.444
l	l	0.444
v	β	0.441
ɲ	ɲ	0.438
ˈõ	w	0.429
#>	o_#>	0.417
n	-	0.4
i	-	0.4
ɲ	n	0.375
<#_s	<#_θ	0.345
ˈo	ˈo	0.333
ˈɐ̃	ˈa_n	0.318
ˈɐ	ˈa	0.316
β	p	0.286
ˈõ	ˈo_n	0.286
ˈõ	ˈe_n	0.286
s	θ	0.267
s	-	0.267
ʃ	ʃ	0.25
ʃ	p_l	0.25
j	ˈe	0.25
j	e	0.25
#>	n_#>	0.25
ð	t	0.208
ˈɛ	ˈe	0.2
ɲ	ŋ_ɡ	0.188
ʃ	ˈa_t	0.167
ʃ	k_l	0.167
ʃ	f_l	0.167
#>	s_#>	0.167
#>	a_#>	0.167
b	m_b	0.154
b	b_w	0.154
ˈe	ˈi	0.148
ʒ	ð	0.143
ʒ	-	0.143
ˈo	ˈu	0.139
ð	-	0.125
ɨ	ɾ_e	0.121
ɨ	i	0.121
ɣ	-	0.118
ˈɐ	j	0.105
ˈɔ	u_s	0.1
ˈi	-	0.097
ˈu	ˈo	0.095
ˈɐ̃	ˈo	0.091
ˈɐ̃	-	0.091
ð	ʝ	0.083
t	ˈe_n	0.077
t	n_t	0.077
t	j_t	0.077
ˈe	ʝ_ˈe	0.074
v	b_e	0.059
ˈo	w	0.056
