American English	American English	probability
ˈʌ_ʧ	ʰʧ	1.0
ˈi_#>	ˈɛːa̯_ɹ_#>	1.0
ʤ	ɡ̊ː	1.0
ɾ_ɚ	ʰt͡n̥	1.0
ɾ	ʰt	1.0
ɹ_n	t͡n̥	1.0
ɫ_d	t͡l̥	1.0
ɪ	ɪ	1.0
ɡ_ɹ	ɡ̊_ɹ	1.0
ə	-	1.0
ŋ_k	ʰk_a	1.0
z	s	1.0
tʰ	tʰ	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
l	l	1.0
kʰ	kʰ	1.0
i	a	1.0
h	h	1.0
d_ɹ	d̥_ɹ	1.0
b	b̥	1.0
<#_ˈʌ	<#_ˈɔ	1.0
<#_ɹ	<#_ɹ	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_j	1.0
<#_d	<#_d̥	1.0
<#	<#_kʰ	1.0
m	m	0.913
ɹ	ɹ	0.909
ŋ	ŋ	0.889
s	s	0.829
θ	tʰ	0.818
t	t	0.769
f	f	0.769
w	v	0.75
ɫ	l	0.696
n	n	0.667
k	k	0.643
#>	ʊ_ɹ_#>	0.629
ɚ	ɹ	0.615
θ_#>	#>	0.6
ˈʊ	ˈɔːu̯	0.6
ˈɛə̯	ˈa	0.6
j	-	0.6
ɡ	ɡ̊	0.556
p	p	0.556
ˈaʊ̯	ˈʉːu̯	0.538
ˈʌ	ˈʊ	0.5
ˈɝ	ˈɔ	0.5
ˈɝ	ɹ	0.5
ˈɑ	ˈa	0.5
ˈɑ	-	0.5
ˈæ	ˈɛːa̯	0.5
ʃ	ʃ	0.5
ʃ	s_k	0.5
ð	w	0.5
ð	-	0.5
ˈeɪ̯	ˈɛːa̯	0.462
ˈɔ	ˈɔ	0.444
p	ʰp	0.444
d	d̥	0.444
ˈʌɪ̯	ˈʊ̯iː	0.429
ʔ	ʰt	0.407
θ_#>	nː_#>	0.4
ˈʊ	ˈʊ	0.4
ˈɛə̯	-	0.4
j	ɡ̊	0.4
ˈɪ	ˈɪ	0.393
ˈaɪ̯	ˈʊ̯iː	0.375
ˈaɪ̯	ˈɪ	0.375
v	v_a	0.375
v	v	0.375
ˈʌ	-	0.333
ˈɔ	-	0.333
ʔ	t	0.333
#>	a_#>	0.314
ˈɛ	-	0.31
ˈeɪ̯	-	0.308
ˈoʊ̯	-	0.294
ˈʌɪ̯	ˈɔ	0.286
ˈʌɪ̯	-	0.286
ˈu	ˈɔ̯aː	0.273
ˈu	ˈɔːu̯	0.273
ˈu	-	0.273
ɚ	ɪ_ɹ	0.269
d	-	0.259
ˈæ	ˈɔ_l	0.25
ˈæ	ˈœ	0.25
ˈaɪ̯	-	0.25
v	-	0.25
ˈoʊ̯	ˈai̯	0.235
ˈeɪ̯	ˈa	0.231
t	ʰt	0.231
f	v	0.231
ˈɔ	ˈa	0.222
ɡ	ʤ̊	0.222
ɡ	ɡ̊_ʊ	0.222
k	ʰk	0.214
ˈɛ	ˈɛ	0.207
ˈi	-	0.188
ʔ	t_a	0.185
θ	ʧʰ	0.182
ˈu	ʊ_ɹ	0.182
ˈɪ	ˈiː	0.179
ˈoʊ̯	ˈɔ̯aː	0.176
ˈoʊ̯	ˈaːi̯	0.176
ɫ	t͡l̥	0.174
ˈʌ	ˈɔːu̯	0.167
w	kʰ_v	0.167
ˈi	ˈøː	0.156
ˈaʊ̯	ˈʊ_ɡ̊	0.154
ˈaʊ̯	ˈʊ	0.154
ˈaʊ̯	ˈɪ_ɡ̊	0.154
d	a	0.148
ˈɪ	-	0.143
k	ʧ	0.143
ˈɛ	ˈɛːi̯	0.138
ˈɛ	ˈœ	0.138
ɫ	l̥	0.13
ˈi	ˈʊ̯iː	0.125
ˈi	ˈɛːa̯	0.125
ˈi	ˈɔ̯aː	0.125
ˈi	ˈɔːi̯	0.125
ˈoʊ̯	ˈɛ	0.118
ɚ	ɹ_a	0.115
s	ʃ	0.114
ŋ	ɲ	0.111
ˈɛ	ˈɔ	0.103
ˈɛ	ˈeː	0.103
n	nː	0.103
ˈi	ˈɛːi̯	0.094
ɹ	-	0.091
m	mː	0.087
w	-	0.083
n	n̥	0.077
ʔ	ʈ	0.074
d	j_a	0.074
d	j	0.074
ˈɪ	ˈʏ	0.071
ˈɪ	ˈɛ	0.071
ˈɪ	ˈeː	0.071
ˈɪ	j	0.071
ˈi	ˈeː	0.062
s	sː	0.057
n	ˈʊ_nː	0.051
n	ʤ̊ː_ʊ	0.051
n	-	0.051
