Bokmål Norwegian	Danish	probability
ˈɑː_ɾ	ˈɑː	1.0
ˈɑ_ɾ	ˈɑˀ	1.0
ˈœʏ̯	ˈʌˀ	1.0
ˈæ	-	1.0
ˈoː_ɾ	ˈɒˀ	1.0
ʋ_ə	w	1.0
ʈː	ɐ_d̥	1.0
ʈ	d̥	1.0
ɾ_ə	ɐ	1.0
ɪ	e	1.0
ɡː	ɡ̊	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
sː	s	1.0
s_ˈɛ	s_ˈɛ	1.0
s	s	1.0
pː	b̥	1.0
pʰ	pʰ	1.0
p	b̥	1.0
n	n	1.0
mː	m	1.0
l_ʋ	lˀ_ʋ	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
k_ə	ə	1.0
i	i	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
tʰ	ʦʰ	0.975
ə	ə	0.964
l	l	0.959
ˈʉ	ˈu	0.905
m	m	0.897
ç	kʰ	0.82
ʂ	s_ɡ̊	0.783
j	j	0.777
d	d̥	0.728
ʋ	ʋ	0.727
ˈɪ	ˈe	0.687
ˈyː	ˈyˀ	0.683
ˈeː	ˈeˀ	0.663
lː	lˀ	0.659
ŋː	ŋˀ	0.647
k	ɡ̊	0.647
ˈiː	ˈiˀ	0.61
ˈæɪ̯	ˈeˀ	0.606
ˈɑ	ˈæ	0.6
ˈʉː	ˈuˀ	0.596
t	ð̞ˠ	0.588
ɡ	ɡ̊	0.578
ˈæː	ˈɛ	0.557
tː	d̥	0.557
ˈoː	ˈɔˀ	0.553
nː	n	0.545
ˈʊ	ˈʌ	0.5
ˈʊ	-	0.5
ˈɔ	ˈʌ	0.495
ɾ	ʁ	0.486
nː	nˀ	0.455
ˈɛ	ˈe	0.451
ˈæː	ˈɛˀ	0.443
tː	ð̞ˠ	0.443
ɳ	ɐ_n	0.432
ˈʏ	ˈœ	0.422
ˈøː	ˈøː	0.417
t	d̥	0.412
ˈuː	ˈo	0.395
ˈiː	ˈiː	0.39
ŋː	ŋ	0.353
ɾ	ɐ	0.352
ˈɑː	ˈɑˀ	0.343
ɳ	ɐˀ_n	0.341
lː	l	0.341
ˈuː	ˈoˀ	0.337
ˈʏ	ˈø	0.325
ˈœ	ˈø	0.323
ˈyː	ˈyː	0.317
ɡ	w	0.316
ˈɑ	ˈɑ	0.31
ˈɔ	-	0.308
ˈɑː	ˈɛː	0.279
ˈœ	ˈœ	0.274
k	j	0.273
ˈɛ	ˈɛ	0.27
ˈœ	ˈœˀ	0.266
ˈʏ	ˈy	0.253
ˈoː	ˈɔː	0.251
ˈʉː	ˈuː	0.246
ˈæɪ̯	ˈɑ_jˀ	0.229
ɳ	n	0.227
ˈøː	ˈøˀ	0.226
j	ɡ̊	0.223
ʂ	ɕ	0.217
ʋ	w	0.215
d	ð̞ˠ	0.202
ˈɑː	ˈæˀ	0.2
ˈɔ	ˈɔ	0.196
ˈoː	ˈɒː	0.195
ç	ʦʰ	0.18
ˈɑː	ˈæ_ð̞ˠ	0.178
ˈeː	ˈeː	0.173
ˈæɪ̯	ˈɑˀ_j	0.165
ˈeː	ˈɛˀ	0.164
ˈʉː	-	0.158
ˈɪ	ˈɛ	0.156
ˈɪ	ˈi	0.156
ˈøː	-	0.155
ˈuː	ˈoː	0.148
ˈɛ	ˈeˀ	0.142
ˈœ	ˈøˀ	0.137
ˈɛ	ˈɑ	0.136
ˈuː	-	0.12
ˈøː	ˈœˀ_ð̞ˠ	0.116
ɾ	ɐˀ	0.112
ɡ	j	0.107
m	-	0.103
ˈʉ	-	0.095
ˈɑ	-	0.09
ˈøː	ˈœː	0.087
k	w	0.08
d	-	0.069
ʋ	wˀ	0.059
