Yiddish	Old English	probability
a	ɑ	1.0
b	b	0.595
b	v	0.242
b	f	0.152
d	d	0.434
d	θ	0.396
d	ð	0.169
f	f	0.667
f	p	0.261
h	h	1.0
j	j	1.0
k	k	0.36
k	ʧ	0.275
k	j	0.147
k	ʤ	0.118
k	ʧː	0.055
l	l	0.603
l	ɫ	0.346
m	m	0.887
m	mː	0.059
n	n	0.798
n	-	0.149
n	nː	0.054
p	v	0.79
p	pː	0.21
s	t	0.724
s	s	0.276
t	d	0.674
t	t	0.272
t	θ	0.054
v	w	0.83
v	ʍ	0.133
z	s	0.852
z	z	0.117
ŋ	ŋ	0.959
ə	e	0.331
ə	ɑ	0.318
ə	o	0.246
ə	r_e	0.06
ɛ	ɑ	0.856
ɛ	o	0.144
ɡ	ɡ	0.47
ɡ	j	0.267
ɡ	ɣ	0.127
ɡ	k	0.054
ɪ	i	1.0
ʀ	r	0.913
ʃ	ʃ	0.516
ʃ	s	0.446
ʎ	l	1.0
ʦ	t	0.929
ʦ	tː	0.071
ʧ	ʃː	1.0
ˈa	ˈɑ	0.391
ˈa	ˈæɑ̯	0.309
ˈa	ˈæ	0.072
ˈa	ˈoː	0.068
ˈa	ˈeo̯	0.058
ˈaɪ̯	ˈiː	0.486
ˈaɪ̯	ˈeːo̯	0.241
ˈaɪ̯	ˈiːy̯	0.118
ˈaɪ̯	ˈyː	0.06
ˈaɪ̯	o	0.057
ˈi	ˈo	1.0
ˈɔ	ˈo	0.26
ˈɔ	ˈæ	0.111
ˈɔ	ˈoː	0.108
ˈɔ	ˈɑ	0.106
ˈɔ	ˈæː	0.102
ˈɔ	ˈæːɑ̯	0.093
ˈɔ	ˈu	0.092
ˈɔ	ˈy	0.061
ˈɔɪ̯	ˈæːɑ̯	0.45
ˈɔɪ̯	ˈuː	0.269
ˈɔɪ̯	ˈiːy̯	0.077
ˈɔɪ̯	ˈu	0.057
ˈɛ	ˈe	0.267
ˈɛ	ˈeo̯	0.194
ˈɛ	ˈiːy̯	0.102
ˈɛ	ˈeːo̯	0.078
ˈɛ	ˈu	0.078
ˈɛ	ˈæːɑ̯	0.068
ˈɛ	ˈi	0.066
ˈɛ	ˈɛ	0.059
ˈɛ	ˈy	0.055
ˈɛɪ̯	ˈɑː	0.823
ˈɛɪ̯	ˈiːy̯	0.109
ˈɛɪ̯	ˈæː	0.068
ˈɪ	ˈi	0.462
ˈɪ	ˈeːo̯	0.179
ˈɪ	ˈeː	0.133
ˈɪ	ˈy	0.063
ˈɪ	ˈiː	0.054
ˈʊ	ˈu	0.568
ˈʊ	ˈoː	0.234
ˈʊ	ˈuː	0.08
χ	ʧ	0.306
χ	x	0.251
χ	ç	0.214
χ	-	0.129
χ	k	0.101
