Old French	Old French	probability
ˈɛ_w	ˈo_k	1.0
ˈɛ_f	w	1.0
ˈɔ_j	ˈe	1.0
ˈy_j	o̯ˈa_p	1.0
ˈy	ˈu	1.0
ˈĩ	ˈi	1.0
ʧ_ə	k_ə	1.0
ʧ_j	k	1.0
ʎ_ə	e	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ə_n	e_n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	-	1.0
v_r	r	1.0
ũ	-	1.0
t_s	ʦʲ	1.0
t_#>	t_#>	1.0
p	p	1.0
n_s	nʲ	1.0
m	m	1.0
l_#>	r_#>	1.0
k_r	k_r	1.0
k_#>	#>	1.0
k	k	1.0
j_ˈɛ	ˈe	1.0
j_t	p_t	1.0
j_s	ʧ_e	1.0
i	j	1.0
f_#>	#>	1.0
e_s	s	1.0
ã	-	1.0
a	-	1.0
<#_ʦ	<#_ʧ	1.0
<#_ɔ	<#_u	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_ˈo	1.0
n	n	0.941
f	f	0.913
b	b	0.867
n_#>	n_#>	0.818
ˈũ	ˈu	0.812
t	t	0.792
ˈa	ˈa	0.789
u	u	0.778
r	r	0.753
#>	e_#>	0.696
v	v	0.684
ˈã	ˈɨ	0.667
ʧ	k	0.667
ˈi	ˈi	0.655
s	s	0.652
ˈe	ˈa	0.625
s_#>	#>	0.625
d	z	0.625
ˈẽ	ˈi	0.615
ʎ	kʲ	0.6
ˈu	ˈo	0.545
j	-	0.538
l	l	0.519
ə	ə	0.464
ˈu	ˈu	0.455
ʎ	-	0.4
ʦ	ʧ	0.375
ʦ	ʦ	0.375
w	ˈo	0.375
s_#>	j_#>	0.375
d	e	0.375
ʧ	k_ə	0.333
ʤ	ʤ	0.333
ʤ	ʒ	0.333
ʤ	-	0.333
ə	e	0.333
v	-	0.316
w	-	0.312
ˈɛ	ˈa	0.303
ˈɔ	ˈe	0.286
s	ʃ	0.261
ʦ	-	0.25
ˈɛ	ˈe	0.242
ˈẽ	ˈɨ	0.231
u	-	0.222
ˈɔ	ˈo	0.214
ˈa	-	0.211
ˈã	ˈa	0.2
ˈũ	-	0.188
ˈe	ˈe	0.188
ˈe	-	0.188
w	o̯ˈa	0.188
l	r	0.185
n_#>	#>	0.182
ˈɔ	o̯ˈa	0.179
ˈẽ	-	0.154
j	j	0.154
ˈɛ	-	0.152
#>	ə_#>	0.143
ˈã	-	0.133
b	f_r	0.133
w	w	0.125
t	d	0.125
ˈɛ	ˈa_p	0.121
ˈɛ	j_ˈe	0.121
l	e	0.111
l	-	0.111
ˈɔ	e̯ˈa	0.107
ˈi	j_ˈe	0.103
ˈi	-	0.103
r	e_r	0.096
#>	k_#>	0.089
s	ʦ	0.087
f	-	0.087
t	ʦ	0.083
j	r	0.077
j	k	0.077
l	j	0.074
ˈɔ	ˈə	0.071
ˈɔ	ˈau̯	0.071
ˈɔ	k	0.071
ˈi	ˈe	0.069
ˈi	e̯ˈa	0.069
ˈɛ	e̯ˈa	0.061
n	e	0.059
ə	u	0.058
j	ʧ_e	0.051
j	ʤ_e	0.051
j	ɡ	0.051
