Swiss German	Swiss German	probability
χː_tː	tː	1.0
χː_#>	#>	1.0
ˈɒ_tː	ˈɑː	1.0
ˈøː	ˈøː	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	ˈiː	1.0
ˈyː_#>	ˈeː_#>	1.0
ˈoː_d̥	ˈøː	1.0
ɣ̊	kʰ	1.0
ɡ̊_ə	ə	1.0
ɡ̊_#>	#>	1.0
ə_r	ɾ	1.0
ŋ_kː	kː	1.0
ŋ_#>	nː_#>	1.0
ŋ	ŋː	1.0
æ	ə_n	1.0
z̥_#>	s_#>	1.0
v̥	f	1.0
tː_#>	#>	1.0
r_n	ɳ	1.0
r_#>	#>	1.0
p͡f	pʰ	1.0
pː	-	1.0
n_d̥	nː	1.0
l_d̥	lː	1.0
kː_ə	ɡː	1.0
d̥_r	tʰ_ɾ	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ʋ_ˈu	<#	1.0
<#_ʋ	<#	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d̥	<#_tʰ	1.0
<#	<#_j	1.0
#>	n_#>	1.0
r	ɾ	0.913
h	h	0.905
ʋ	ʋ	0.895
<#_tː	<#_d	0.875
b̥	b	0.85
ˈuː	ˈʉː	0.818
m	m	0.818
χː	k	0.8
ˈuə̯	ˈuː	0.8
ˈiː	ˈiː	0.8
d̥	-	0.8
ə	ə	0.781
z̥	s	0.778
l	l	0.774
ˈi	ˈɪ	0.722
ʒ̊	s	0.722
ˈy	-	0.7
ˈɒː	ˈoː	0.667
ˈɒ	ˈɑ	0.667
ˈeː	-	0.667
ɡ̊	ɡ	0.652
sː	t	0.611
n	n	0.611
tː	t	0.579
ˈu	ˈʉ	0.571
ʃː	s_k	0.556
ˈæi̯	ˈæɪ̯	0.545
ʦ	tʰ	0.538
ˈyː	ˈyː	0.5
ˈyə̯	ˈœ	0.5
ˈyə̯	-	0.5
ˈiə̯	ˈyː	0.5
ˈiə̯	-	0.5
ˈau̯	ˈøː	0.5
i	i	0.5
i	-	0.5
fː	p	0.5
b̥_#>	ʋ_#>	0.5
b̥_#>	#>	0.5
ˈoː	ˈøː	0.444
ʃː	s	0.444
kː	ɡː	0.429
n	nː	0.389
ˈæ	ˈɛ	0.364
ˈɒː	ˈɑː	0.333
ˈyː	-	0.333
ˈoː	-	0.333
ˈo	ˈuː	0.333
ˈeː	ˈøː	0.333
ˈau̯	-	0.333
fː	ʋ	0.333
ˈy	ˈʏ	0.3
kː	kː	0.286
kː	-	0.286
ˈi	-	0.278
ˈæi̯	ˈɛ	0.273
ˈo	ˈʉ	0.25
ˈo	-	0.25
ʦ	tː	0.231
ʦ	-	0.231
l	lː	0.226
ˈoː	ˈoː	0.222
sː	-	0.222
ɡ̊	j	0.217
ˈu	ˈʏ	0.214
ˈu	-	0.214
χː	-	0.2
ˈuə̯	-	0.2
ˈiː	-	0.2
d̥	d	0.2
ˈæi̯	ˈeː	0.182
ˈæ	-	0.182
ˈuː	-	0.182
m	mː	0.182
ə	-	0.172
ˈyː	ˈʉː	0.167
ˈo	ˈʉː	0.167
ˈau̯	ˈœʏ̯	0.167
ʒ̊	ʂ	0.167
sː	tː	0.167
fː	-	0.167
tː	d	0.158
tː	-	0.158
b̥	ʋ	0.15
ˈɒ	-	0.148
ɡ̊	-	0.13
<#_tː	<#	0.125
ˈɒ	ˈɑː	0.111
ʒ̊	s_k	0.111
z̥	ʂ	0.111
z̥	s_ˈøː	0.111
ʋ	-	0.105
tː	s	0.105
h	-	0.095
ˈæ	ˈɑ	0.091
ˈæ	ˈæː	0.091
ˈæ	ˈeː	0.091
ˈæ	j_ˈæː	0.091
ˈæ	j	0.091
ˈɒ	ˈɔ	0.074
