Afrikaans	Afrikaans	probability
ˈʊə̯_χ	ˈaɪ̯	1.0
ˈʊə̯_r	ˈɔː	1.0
ˈɪø̯	ˈɐ	1.0
ˈɛː	-	1.0
ˈəɪ̯_#>	ˈiː_#>	1.0
ˈə_χ	ˈaɪ̯_t	1.0
ˈœu̯	ˈəʊ̯_ɫ	1.0
ˈyː_r	ə	1.0
ˈoː	ˈe	1.0
ˈi_χ	ˈaɪ̯	1.0
ˈi_#>	ˈiː_#>	1.0
ˈa_ɫ	ˈɑː	1.0
ˈa_n	ˈuː	1.0
ɦ	h	1.0
ə_χ	ɪ	1.0
ə_ŋ	n	1.0
ə_r	ə	1.0
ŋ	ŋ	1.0
w	ˈəʊ̯	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
n_#>	#>	1.0
m_ˈɑː	m	1.0
m	m	1.0
k_#>	#>	1.0
i	-	1.0
d_ˈʊə̯	d_ˈe	1.0
d_r	d_ɹ	1.0
b	b	1.0
<#_χ	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_k	<#_kʰ	1.0
n	n	0.9
v̥	f	0.871
v	w	0.848
p	p	0.8
d̥	d	0.794
ˈœɪ̯	ˈaʊ̯	0.75
s	s	0.719
ˈœ	ˈɪ	0.714
ˈæː	ˈɑː	0.667
ˈæ	-	0.667
ˈə	ˈɪ	0.65
k	k	0.65
ɫ	l	0.617
ˈɛ	ˈɪ	0.6
j	j	0.6
ˈəɪ̯	ˈaɪ̯	0.562
ˈa	ˈæ	0.556
ə	-	0.538
χ_#>	f_#>	0.5
χ_#>	#>	0.5
χ	ʤ	0.5
ˈa_χ	ˈeɪ̯	0.5
ˈa_χ	ˈaɪ̯_t	0.5
ˈa_r	ˈɔː	0.5
ˈa_r	ˈɑː	0.5
d	θ	0.483
ˈɔ	ˈɐ	0.417
d	d	0.414
ˈɛ	ˈe	0.4
j	d	0.4
ˈu	ˈiː	0.375
#>	ˈuː_#>	0.375
#>	d_#>	0.375
k	ʧ	0.35
r	ɹ	0.341
ɫ	ɫ	0.34
ˈʊə̯	ˈiː	0.333
ˈæː	ɜː	0.333
ˈæ	ˈe	0.333
ˈi	ˈiː	0.333
r	ə	0.293
ˈœ	-	0.286
ˈi	ˈɪ	0.267
ˈi	-	0.267
ˈɑː	ˈiː	0.261
ˈɑː	ˈeɪ̯	0.261
χ	əʊ̯	0.25
χ	j	0.25
ˈɪə̯	ˈəʊ̯	0.25
ˈəɪ̯	ˈəʊ̯	0.25
ˈə	ˈaɪ̯	0.25
ˈɔ	-	0.25
ˈœɪ̯	ˈɐ	0.25
#>	v_#>	0.25
ˈa	ˈɑː	0.222
d̥	θ	0.206
ˈɪə̯	ˈe	0.2
p	pʰ	0.2
ˈəɪ̯	-	0.188
ˈu	ˈʊ	0.188
ˈu	ˈɐ	0.188
ˈɑː	-	0.174
ˈʊə̯	ˈɪ	0.167
ˈʊə̯	ˈəʊ̯	0.167
ə	ɪ	0.154
ə	ɡ	0.154
ə	ə	0.154
v	-	0.152
ˈɪə̯	ˈɪ	0.15
ˈɪə̯	ˈiː	0.15
ˈɪə̯	-	0.15
ˈi	ˈe	0.133
ˈɑː	ˈe	0.13
v̥	v	0.129
ˈɔ	ˈʊ	0.125
ˈɔ	ˈɒ	0.125
ˈu	ˈuː	0.125
ˈu	-	0.125
r	ˈɜː	0.122
r	ˈɔː	0.122
r	-	0.122
ˈʊə̯	ˈɐ	0.111
ˈʊə̯	ˈe	0.111
ˈʊə̯	-	0.111
ˈa	ˈɒ	0.111
ˈa	ˈe	0.111
d	ð	0.103
ˈɪə̯	ˈe_ð	0.1
ˈə	-	0.1
n	-	0.1
s	ʃ	0.088
ˈɑː	ˈɛ	0.087
ˈɑː	ˈɑː	0.087
ˈɔ	ˈɔː	0.083
s	z	0.07
s	s_t	0.07
s	k_s	0.053
