Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ_ɦ	ˈɛ	1.0
ˈɔ_h	ˈɔ_ɾ	1.0
ˈũ	ˈu	1.0
ˈu_ɾ	ˈu_ɾ	1.0
ˈu	ˈu	1.0
ˈo_v	ˈo	1.0
ˈo_j	ˈɔ	1.0
ˈe_k	ˈi_k	1.0
ˈe_j	ˈe	1.0
ˈe_h	i	1.0
ʧ	t	1.0
ʒ	ʤ	1.0
ɾ_ˈe	ɾ_ˈɛ	1.0
ɾ_ɐ	a	1.0
ɦ_n	r	1.0
ɦ	ɾ	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
v_i	i	1.0
ũ	-	1.0
p	p	1.0
m	m	1.0
l_ɐ	a	1.0
k	k	1.0
ĩ	-	1.0
f	f	1.0
e_ʃ	s	1.0
a_d	a_ð	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_h	<#_a_r	1.0
<#_d	<#_d	1.0
ˈa	ˈa	0.947
ɐ	a	0.935
i	i	0.935
u	u	0.912
t	t	0.885
ˈi	ˈi	0.783
ɾ	ɾ	0.72
j_ʃ	ʒ_i	0.714
l	l	0.71
ˈĩ	ˈi	0.692
s	s	0.683
z	ʒ	0.667
<#	<#_a	0.667
ˈɐ̃	ˈa	0.636
b	b	0.636
a	a	0.632
ˈɔ	ˈɔ	0.625
v	b	0.625
ˈɛ	ˈɛ	0.611
n	n	0.6
ẽ	i	0.6
d	ð	0.6
ɡ	ɣ	0.579
e	i	0.562
ʤ	ð	0.5
ʤ	d	0.5
w̃	n_i	0.444
e	-	0.438
h	i	0.432
ˈẽ	ˈɛ_n	0.429
n	-	0.4
j̃	n	0.4
j	z	0.4
ẽ	-	0.4
ˈɛ	ˈe	0.389
ˈe	ˈɛ	0.385
ʎ	ɭː	0.385
ʎ	ɣ	0.385
ˈo	ˈo	0.375
#>	u_#>	0.375
ˈe	ˈi	0.346
z	-	0.333
w̃	n_u	0.333
<#	<#_ˈa	0.333
ˈo	ˈu	0.312
l	ɖː	0.29
j_ʃ	ʃ	0.286
ˈõ	ˈo	0.273
o	ɔ	0.273
o	u	0.273
o	o	0.273
b	β	0.273
h	ɾ_i	0.27
ʃ	s	0.269
j̃	n_ʤ	0.267
d	t	0.267
a	ˈa	0.263
ˈo	ˈɔ	0.25
w	w	0.235
ʎ	-	0.231
ʃ	z	0.231
w̃	i	0.222
s	ʧ	0.22
ˈi	-	0.217
ˈẽ	ˈe	0.214
ˈẽ	n	0.214
ɡ	ɡ	0.211
ɡ	-	0.211
j	n	0.2
j	j	0.2
j	i	0.2
ˈɔ	ˈu	0.188
ˈɔ	-	0.188
v	-	0.188
ˈɐ̃	ˈa_n	0.182
ˈõ	ˈu_n	0.182
ˈõ	ˈu	0.182
ˈõ	ˈo_n	0.182
ˈõ	n	0.182
o	-	0.182
w	l_i	0.176
w	i	0.176
w	-	0.176
ɾ	ɛ_ɾ	0.16
#>	ŭ_#>	0.156
#>	i_#>	0.156
ˈĩ	ˈi_ŋ	0.154
ˈĩ	ˈi_n	0.154
ˈẽ	-	0.143
j̃	i	0.133
j̃	-	0.133
d	d	0.133
ɾ	-	0.12
w	u	0.118
w	l_u	0.118
ˈe	ˈe	0.115
ʃ	ŭ	0.115
t	-	0.115
h	ɾ	0.108
h	r	0.108
a	-	0.105
#>	ɔ̆_#>	0.094
#>	n_i_#>	0.094
ˈɐ̃	ˈɔ	0.091
ˈɐ̃	n	0.091
b	-	0.091
h	-	0.081
ˈe	ɾ	0.077
ˈe	i_ɾ	0.077
ʃ	p	0.077
ʃ	k_ɾ	0.077
ʃ	ĭ	0.077
ʃ	i	0.077
ʃ	f_ɾ	0.077
j̃	ɲ	0.067
i	-	0.065
ˈo	ˈɔ_n	0.062
v	β	0.062
v	ˈi	0.062
v	b_ɾ	0.062
#>	ă_#>	0.062
#>	a_#>	0.062
ˈa	l_ˈa	0.053
