American English	American English	probability
ˈɛə̯	ˈa	1.0
ˈɛ_n	n	1.0
ˈoʊ̯_ɫ	l	1.0
ˈoʊ̯_n_#>	ˈɔe̯_#>	1.0
ˈaɪ̯_#>	ɡ_a_#>	1.0
ʤ	ɡ	1.0
ʃ	ʃ	1.0
ɾ	s	1.0
ɫ	l	1.0
ɪ	-	1.0
ə_n	a	1.0
ə	-	1.0
ð	d	1.0
z	s	1.0
w	ʋ	1.0
tʰ	ʦ	1.0
s_t	ʃ_d	1.0
pʰ	p͡f	1.0
oʊ̯	ɡ	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_θ	<#_d	1.0
<#_ɹ	<#_ʁ	1.0
<#	<#_ˈɛ	1.0
d	d	0.938
ŋ	ŋ	0.9
ˈu	-	0.889
ɡ	ɡ	0.857
ɚ	ʌ	0.808
ˈɝ	-	0.8
s	s	0.784
ˈʌɪ̯	ˈəi̯	0.714
n	n	0.707
θ	d	0.667
i	ɪ	0.667
ɹ	ʁ	0.621
ˈæ	ˈa	0.6
ˈaʊ̯	ˈao̯	0.571
p	f	0.545
ˈʊ	ˈuə̯	0.5
ˈʊ	ˈo	0.5
t	ʦ	0.5
t	d	0.5
f_#>	l_b_#>	0.5
f_#>	b_#>	0.5
ʔ	s	0.458
ˈɑ	ˈa	0.429
v	f	0.4
v	b	0.4
#>	ɡ_#>	0.4
ˈeɪ̯	ˈa	0.385
ˈɛ	ˈɛ	0.375
ˈoʊ̯	ˈɔe̯	0.357
ˈʌ	ˈo	0.348
θ	-	0.333
ʧ	ç	0.333
ʧ	kʰ	0.333
ʧ	-	0.333
k	ɡ	0.333
i	eə̯	0.333
#>	ɡ_a_#>	0.333
ɹ	ʕ	0.31
ˈɛ	-	0.292
ˈʌɪ̯	-	0.286
ˈoʊ̯	ˈae̯	0.286
ˈaʊ̯	-	0.286
p	f_a	0.273
k	ç	0.267
ˈɔ	ˈɔ	0.25
ˈɔ	ˈi	0.25
ˈɔ	ˈa	0.25
ˈɔ	-	0.25
ˈaɪ̯	ˈəi̯	0.25
ˈaɪ̯	-	0.25
ˈɪ	ˈi	0.24
ˈɪ	ˈe	0.24
n	-	0.22
s	ʃ	0.216
ˈɑ	ˈɛ	0.214
ˈɑ	-	0.214
ˈoʊ̯	ˈa	0.214
ˈɝ	ˈʌ	0.2
ˈæ	ˈɛ	0.2
ˈæ	ˈaː	0.2
v	b_a	0.2
k	ɡ_a	0.2
k	x	0.2
ˈi	-	0.194
ɚ	ʕ	0.192
ˈaɪ̯	ˈao̯	0.188
ˈaɪ̯	ˈae̯	0.188
p	-	0.182
ˈʌ	ˈu	0.174
ˈʌ	ˈoː	0.174
ˈɛ	ˈoː	0.167
ʔ	ʦ	0.167
ʔ	s_a	0.167
ˈɪ	ˈɪ	0.16
ˈeɪ̯	ˈaː_ɡ	0.154
ˈeɪ̯	ˈaː	0.154
ˈeɪ̯	ɡ	0.154
ˈeɪ̯	-	0.154
ˈɑ	ˈɔ	0.143
ˈoʊ̯	-	0.143
ˈaʊ̯	ˈuː	0.143
ɡ	-	0.143
#>	ʌ_#>	0.133
#>	x_#>	0.133
ˈʌ	ˈao̯	0.13
ˈi	ˈɔː	0.129
ˈi	ˈiə̯	0.129
ˈaɪ̯	ˈiə̯	0.125
ˈɪ	-	0.12
ˈu	ˈɔə̯	0.111
ŋ	i	0.1
ˈi	ˈoː	0.097
ˈi	ˈiː	0.097
ˈi	ˈeː	0.097
ˈʌ	ˈuə̯	0.087
ˈʌ	-	0.087
ˈɛ	ˈɛː	0.083
ˈɛ	ˈeə̯	0.083
ʔ	ç_d	0.083
ʔ	x_d	0.083
ˈɪ	ˈəi̯	0.08
ˈɪ	ˈu	0.08
ˈɪ	ˈeː	0.08
n	a	0.073
ɹ	ʌ	0.069
ˈi	ˈuə̯	0.065
ˈi	ˈi	0.065
ˈi	ˈao̯	0.065
ˈi	ˈae̯	0.065
d	t	0.062
