Old French	Old French	probability
θ	-	1.0
ˈɛ_w	ˈuː_k	1.0
ˈỹ	ˈu	1.0
ˈy_j	ˈɔ	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_ʎ	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈẽ_j	ˈe	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa_j	ˈaː	1.0
ʧ	c	1.0
ʦ_#>	#>	1.0
ʦ	ʧ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ə_#>	#>	1.0
ɔ	-	1.0
ŋ	ŋ	1.0
w_ˈɛ	ˈuː	1.0
v_r	r	1.0
v	v	1.0
ũ	o	1.0
t_ˈu	d_ˈu	1.0
t_ə	t_e	1.0
s_#>	#>	1.0
r_ə	i	1.0
r_t	r_t	1.0
p	p	1.0
o	-	1.0
n_d	n	1.0
m_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
k	k	1.0
j_ˈɛ	ˈiː	1.0
j_ˈẽ	ˈɛ	1.0
j_s	ʧ	1.0
ĩ	i	1.0
i	i	1.0
f_#>	f_#>	1.0
f	f	1.0
e	-	1.0
d	d	1.0
ã	a	1.0
<#_ʦ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_e	<#	1.0
<#_ã	<#_a	1.0
<#	<#_v	1.0
s	s	0.963
t	t	0.946
ˈa	ˈa	0.889
b	b	0.889
r	r	0.885
n	n	0.829
n_#>	ŋ_#>	0.818
<#_l	<#_l	0.706
a	a	0.7
ˈe	ˈaː	0.68
ə	e	0.674
u	o	0.667
r_#>	#>	0.613
z	-	0.6
s_ə	s_e	0.6
<#_ʤ	<#_j	0.6
ˈũ	ˈo	0.579
j	-	0.525
ˈɔ_j	ˈeː	0.5
ʤ	ʤ	0.5
ˈu	ˈo	0.462
ˈẽ	ˈi	0.462
w	w	0.429
ˈy	ˈu	0.417
z	z	0.4
s_ə	s	0.4
<#_ʤ	<#	0.4
r_#>	r_#>	0.387
ˈu	ˈoː	0.385
ˈɔ_j	ˈe	0.357
w	-	0.357
ˈi	ˈiː	0.348
ˈi	ˈi	0.348
#>	t_#>	0.348
ˈɔ	-	0.333
ˈy	ˈuː	0.333
ʎ	l_i	0.333
ʎ	j	0.333
ʎ	i	0.333
u	u	0.333
ˈɛ	j_ˈɛ	0.302
ʤ	-	0.3
a	-	0.3
ˈɔ	w_ˈa	0.292
ˈy	ˈo	0.25
j	j	0.25
ˈe	-	0.24
ˈẽ	ˈe	0.231
ˈi	ˈɛ	0.217
w	l	0.214
ˈɛ	ˈɛ	0.209
ʤ	d	0.2
n_#>	#>	0.182
<#_l	<#	0.176
#>	ʧ_#>	0.174
n	ɲ	0.171
ˈɔ	w_ˈɛ	0.167
ˈũ	w_ˈi	0.158
ˈũ	-	0.158
ˈu	-	0.154
ˈẽ	ˈɛ	0.154
ˈẽ	-	0.154
ə	i	0.151
ˈɔ_j	ˈi	0.143
ˈɛ	-	0.14
#>	s_#>	0.13
#>	k_#>	0.13
#>	e_#>	0.13
<#_l	<#_j	0.118
ˈɛ	ˈe	0.116
ˈɛ	ˈa	0.116
ˈa	a	0.111
b	-	0.111
ˈũ	ˈu	0.105
j	d	0.1
ˈi	-	0.087
#>	ŋ_#>	0.087
ˈɔ	ˈe	0.083
ˈɔ	ˈa_w	0.083
ˈe	ˈa_d	0.08
j	ˈaː	0.075
ˈɛ	ˈaː	0.07
ə	a	0.058
t	-	0.054
