Old West Norse	American English	probability
θ	θ	1.0
ˈɛː	-	1.0
ˈɔː	ˈu	1.0
ˈɔ_l	ɫ	1.0
ˈɔ	-	1.0
ˈɒu̯	ˈɛ	1.0
ˈɑ_ɣ	ˈeɪ̯	1.0
ˈɑ_l	ˈæ	1.0
ˈøy̯	ˈi	1.0
ˈyː_r̥	ˈaʊ̯	1.0
ˈyː	ˈi	1.0
ˈuː_ɣ	ˈaɪ̯	1.0
ˈeː_r̥	ˈi	1.0
ˈe_ɣ	ˈeɪ̯	1.0
ˈa	ˈɛə̯	1.0
ʝː	ˈeɪ̯	1.0
ɾ	ɹ_ə	1.0
ɡː	ʤ	1.0
ɟ	-	1.0
ɑː	t_i	1.0
ð_r̥	d	1.0
ð_i	ð	1.0
ç	h	1.0
x_w	w	1.0
v_ɑ	v	1.0
tː_r̥	ʔ	1.0
tː	ʔ	1.0
tʰ	tʰ	1.0
t_ɑ	ʔ	1.0
t_r̥	ʔ	1.0
sː	s	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
r̥ː	ɚ	1.0
r_ɑ	ɚ	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
m	m	1.0
lː	ɫ	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈɔ	ˈɛ	1.0
j_ˈoː	ˈi	1.0
i_r̥	ɚ	1.0
i	-	1.0
h	h	1.0
f	f	1.0
d	d	1.0
cː	ʧ	1.0
cʰ	kʰ	1.0
b	b	1.0
a	-	1.0
s	s	0.976
n	n	0.973
r̥	-	0.91
ɑ	-	0.892
ŋ	ŋ	0.85
ɡ	-	0.821
r	ɹ	0.805
nː	n	0.783
ˈeː	ˈi	0.74
ˈɛi̯	ˈoʊ̯	0.735
ɣ	-	0.732
ˈøː	ˈi	0.67
ˈi	ˈɪ	0.67
l	ɫ	0.661
kː	k	0.61
v	v	0.584
ˈɛ	ˈɛ	0.58
t	t	0.573
ˈɑu̯	ˈɛ	0.557
ð	d	0.55
ˈoː	-	0.537
u	n	0.529
ˈu	ˈʌ	0.525
ˈiː	ˈaɪ̯	0.523
ˈe	ˈɛ	0.522
ˈy	ˈɪ	0.516
u	-	0.471
j	-	0.462
ˈɑu̯	ˈi	0.443
ˈuː	ˈaʊ̯	0.429
ˈɛ	ˈæ	0.42
ˈo	ˈɔ	0.42
ˈuː	-	0.418
ˈɑ	ˈɑ	0.409
kː	ŋ	0.39
l	l	0.339
ˈøː	-	0.33
ˈi	ˈaɪ̯	0.33
ˈy	ˈɔ	0.312
ˈe	-	0.304
ˈɑː	ˈi	0.295
ɣ	ˈaɪ̯	0.268
ˈɛi̯	-	0.265
ˈo	ˈʌ	0.262
ˈiː	-	0.26
ˈeː	ˈʌɪ̯	0.26
ˈu	-	0.241
t	ʔ	0.237
v	w	0.234
j	ˈɪ	0.23
ˈo	w	0.217
nː	-	0.217
ˈiː	ˈʌɪ̯	0.216
ð	θ	0.206
ˈoː	ˈu	0.192
t	-	0.191
ˈɑː	ˈu	0.183
v	-	0.183
ɡ	ɡ	0.179
ˈe	ˈɪ	0.173
ˈy	-	0.172
j	ˈɛ	0.154
j	l	0.154
ˈuː	ˈaɪ̯	0.153
ŋ	-	0.15
ˈɑː	-	0.144
ˈu	ˈaʊ̯	0.142
ˈoː	ˈʌ	0.135
ˈoː	ˈʊ	0.135
ð	ð	0.125
ð	-	0.118
ˈɑː	ˈoʊ̯	0.116
ˈɑː	ˈɛ	0.11
r	ɚ	0.106
ˈo	-	0.102
ˈɑ	ˈæ	0.095
ˈɑ	ˈeɪ̯	0.095
ˈu	ˈʊ	0.093
r̥	ɚ	0.09
r	ˈɝ	0.089
ˈɑ	-	0.087
ˈɑ	ˈoʊ̯	0.086
ˈɑ	ˈɛə̯	0.083
ˈɑ	ˈɔ	0.082
ˈɑː	ˈʌɪ̯	0.076
ˈɑː	ˈeɪ̯	0.076
ˈɑ	ˈi	0.062
ɑ	i	0.056
ɑ	k	0.051
