American English	American English	probability
ˈɛə̯	ˈa	1.0
ˈoʊ̯_n	ˈɛɪ̯_n	1.0
ˈi_#>	ˈiː_#>	1.0
ʧ	k	1.0
ʤ	ə	1.0
ʃ	ʃ	1.0
ɾ	t	1.0
ɪ	-	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð_ɚ	ɐ	1.0
ð	d	1.0
v_#>	f_#>	1.0
v	v	1.0
t_i	ɒː	1.0
t	t	1.0
s_#>	z̥_#>	1.0
pʰ	-	1.0
oʊ̯	-	1.0
l	l	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ_ç	1.0
h	h	1.0
d_ˈɛ	d_ˈeo̯	1.0
d_ɚ	ɐ	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
n	n	0.946
ɚ	ɐ	0.909
f	f	0.9
w	v	0.846
ɫ	l	0.826
ˈaʊ̯	ˈuː	0.818
p	p	0.818
ʔ	t	0.8
ɡ	ɣ	0.8
m	m	0.783
k	k	0.769
θ	d	0.765
ɹ	r	0.735
ˈʊ	ˈʊ	0.667
ˈɔ	-	0.6
ˈæ	ˈa	0.6
s	s	0.562
ˈɪ	ˈɪ	0.56
ˈu	-	0.556
d	d̥	0.537
ˈɝ	ˈoː_ɐ	0.5
ˈɝ	-	0.5
z	z_ə	0.5
z	z	0.5
ˈu	ˈaʊ̯	0.444
s	z	0.438
ˈɔ	ˈoː	0.4
ˈʌɪ̯	ˈɪ	0.375
ˈʌɪ̯	ˈiː	0.375
ˈɑ	ˈɔ	0.357
ˈɑ	ˈa	0.357
ˈaɪ̯	ˈiː	0.353
ˈʌ	ˈʊ	0.333
ˈʊ	ˈaʊ̯	0.333
ˈoʊ̯	ˈɛɪ̯	0.3
ˈoʊ̯	ˈɔ	0.3
ˈeɪ̯	ˈɒː	0.3
ˈeɪ̯	ˈa	0.3
ˈeɪ̯	-	0.3
ˈaɪ̯	ˈɪ	0.294
d	d	0.293
ɹ	ɐ	0.265
ˈi	ˈɛɪ̯	0.258
ˈʌɪ̯	-	0.25
ˈɛ	-	0.24
θ	d̥	0.235
ˈaɪ̯	-	0.235
k	k_n	0.231
ˈi	ˈɔʏ̯	0.226
ˈɛ	ˈɛɪ̯	0.2
ˈɛ	ˈɛ	0.2
ˈæ	ˈaː	0.2
ˈæ	ˈa_l	0.2
ˈoʊ̯	ˈoː	0.2
ˈoʊ̯	-	0.2
ʔ	t_n	0.2
ɡ	-	0.2
ˈʌ	-	0.19
ˈaʊ̯	-	0.182
p	b_m	0.182
ɫ	l_ə	0.174
ˈi	ˈɒː	0.161
ˈɪ	ˈʏ	0.16
w	w	0.154
ˈɑ	ˈɒː	0.143
ˈɑ	-	0.143
m	m_n	0.13
ˈi	ˈeo̯	0.129
ˈi	-	0.129
ˈɪ	ˈɛ	0.12
ˈɛ	ˈeː	0.12
ˈaɪ̯	ˈɛɪ̯_ŋ	0.118
ˈeɪ̯	ˈɛə̯	0.1
d	n	0.098
ˈʌ	ˈʏ	0.095
ˈʌ	ˈɔ	0.095
ˈʌ	ˈuː	0.095
ˈʌ	ˈoː	0.095
ˈʌ	ˈaʊ̯	0.095
ɚ	ˈyː_ɐ	0.091
m	m_ˈɒː	0.087
ˈɪ	ˈiː	0.08
ˈɪ	-	0.08
ˈɛ	ˈʏ	0.08
ˈɛ	ˈɛː	0.08
ˈɛ	ˈeo̯	0.08
d	-	0.073
f	-	0.067
ˈi	ˈøː	0.065
n	n_n	0.054
