Ligurian	Ligurian	probability
ˈy_ŋ	ˈũ	1.0
ˈy_t	ˈo_ð	1.0
ˈy	ˈu	1.0
ˈu_ŋ	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe_ŋ	ˈẽ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ʧ	-	1.0
ʒ_e	ʃ	1.0
ɥ	ð	1.0
ɔː	-	1.0
ŋ_#>	w̃_#>	1.0
y	j_m	1.0
w_ˈiː	ˈɔ_ʃ	1.0
v_ˈa	v_ˈa	1.0
sː	j_v	1.0
s_u	s_u	1.0
s_t	ʃ_t	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
p	p	1.0
o	u	1.0
m	m	1.0
k	k	1.0
j_a	ɾ_ɐ	1.0
i_ŋ	ĩ	1.0
f	f	1.0
e_r	ɨ_ɾ	1.0
e_n	ẽ	1.0
e_#>	#>	1.0
d_e	ɾ	1.0
a_#>	#>	1.0
<#_ʧ	<#_ʃ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
a	ɐ	0.972
l	l	0.886
u	u	0.86
ˈi	ˈi	0.857
ɡ	ɣ	0.85
n	n	0.833
d	d	0.818
ˈaː	ˈa	0.8
b	b	0.8
r	ɾ	0.757
ˈø	ˈo	0.75
ˈyː	ˈu	0.75
ɲ	ɲ	0.75
v	v	0.722
s	s	0.722
ʃ	ʃ	0.714
t	t	0.686
e	ɨ	0.682
#>	ɾ_#>	0.65
ʤ	ʎ	0.6
<#_a	<#_ɐ	0.6
ˈøː	ˈo	0.583
ˈu	ˈo	0.562
j	-	0.545
ˈɛ	ˈɛ	0.5
ˈe	ˈe	0.5
ŋ_a	ɐ	0.5
ŋ_a	j_ɐ	0.5
w	w	0.5
w	-	0.5
u_ŋ	ũ	0.5
u_ŋ	õ	0.5
<#	<#_ˈo	0.5
<#	<#_ɐ	0.5
ˈɔː	ˈo	0.455
ˈɔ	ˈɔ	0.444
ʒ	-	0.429
ˈøː	ˈɔ	0.417
ˈuː	ˈo	0.4
ŋ	ɲ	0.4
z	ʒ	0.4
<#_a	<#	0.4
ˈeː	ˈɛ	0.368
ˈɔː	ˈɔ	0.364
ˈɔ	ˈo	0.333
ˈiː	ˈi	0.333
ˈiː	ˈe	0.333
ˈa	ˈɐ̃	0.31
ʒ	z	0.286
ʒ	v	0.286
ʃ	-	0.286
v	β	0.278
ˈa	ˈa	0.276
ˈɛː	ˈɛ	0.267
ˈɛː	ˈa	0.267
ˈuː	ˈɔ	0.267
ˈɛ	ˈɐ	0.25
ˈɛ	ˈi	0.25
ˈø	ˈo_j	0.25
ˈyː	ˈu_ɾ	0.25
ˈu	ˈu	0.25
ɲ	j_ɲ	0.25
i	ˈi	0.25
i	i	0.25
j	j	0.227
ˈɔ	-	0.222
ˈeː	ˈɐ_j	0.211
ˈa	ˈɐ	0.207
ˈɛː	-	0.2
ˈuː	ˈu	0.2
ˈiː	ˈi_ɾ	0.2
ʤ	ʒ	0.2
ʤ	-	0.2
ŋ	ɲ_u	0.2
ŋ	n	0.2
ŋ	-	0.2
z	z	0.2
z	j	0.2
z	-	0.2
b	v	0.2
ˈu	ˈɐ̃	0.188
ˈɔː	ˈo_w	0.182
d	ð	0.182
t	ð	0.171
ˈe	ˈɛ	0.167
ˈe	ˈɐ	0.167
ˈe	-	0.167
n	-	0.167
i	ɨ	0.167
i	u_ʃ	0.167
i	-	0.167
ˈeː	ˈɐ	0.158
ˈeː	ˈe	0.158
ɡ	ɡ	0.15
s	i_ʃ	0.148
ˈi	-	0.143
ˈa	-	0.138
j	ɾ	0.136
ˈɛː	ˈe	0.133
ˈɛː	ð_ɨ	0.133
ˈuː	ˈɔ_l	0.133
ˈiː	-	0.133
#>	ɐ_#>	0.125
#>	u_#>	0.125
l	-	0.114
e	-	0.114
r	-	0.108
ˈeː	ɨ	0.105
ˈaː	ˈa_ɫ	0.1
ˈaː	ɐ	0.1
#>	ʃ_#>	0.1
j	ɐ	0.091
e	ˈe	0.091
t	j_t	0.086
r	ɫ	0.081
ˈa	ˈa_j	0.069
e	ɾ	0.068
t	-	0.057
s	ʃ	0.056
r	ʁ	0.054
