Luxembourgish	Luxembourgish	probability
ˈʊ	ˈuː	1.0
ˈɜɪ̯_#>	#>	1.0
ˈɛː	j	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈʉ	1.0
ˈæːʊ̯	ˈʉː	1.0
ˈæ	-	1.0
ˈuː	-	1.0
ˈoː	ˈoː	1.0
ˈi	-	1.0
ˈeː_ɕ	ˈæɪ̯	1.0
ˈe_ŋ	ˈiː	1.0
ʑ	ɡ	1.0
ʃ_ˈə	ʂ	1.0
ʃ_#>	s_k_ə_#>	1.0
ʀ_#>	ɳ_#>	1.0
ʀ	ɾ	1.0
ɡ̊	-	1.0
ə_ɕ	i	1.0
ə_n	ə	1.0
ɕ_t	tː	1.0
ɐ_d̥	ˈuː_ɾ	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
z̥_#>	s_#>	1.0
z̥	sː	1.0
z	s	1.0
t_#>	#>	1.0
t	t	1.0
n_#>	#>	1.0
l_d̥	lː	1.0
kʰ	kʰ	1.0
k	ɡː	1.0
f_#>	#>	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
h	h	0.895
ˈæːɪ̯	ˈiː	0.8
n_d̥	nː	0.8
l	l	0.786
ɕ	k	0.778
m	m	0.76
ɡ	ɡ	0.75
ə	-	0.75
v	ʋ	0.72
ˈiː	-	0.714
w	ʋ	0.714
#>	ɾ_#>	0.714
f	f	0.708
s	t	0.688
ˈiə̯	-	0.667
ˈe	ˈʏ	0.667
p	-	0.667
ʃ	s	0.64
ʦ	tʰ	0.615
χ	k	0.6
ˈɑʊ̯	ˈʉː	0.6
ˈəʊ̯	ˈøː	0.556
ˈɑ	ˈɑ	0.5
ˈuə̯	ˈɑ	0.5
ˈuə̯	-	0.5
v̥_#>	ʋ_#>	0.5
v̥_#>	#>	0.5
n	n	0.5
d	d	0.5
ˈo	ˈʉ	0.467
ˈeː	ˈæɪ̯	0.467
ˈɑɪ̯	-	0.444
n	nː	0.429
ˈɜɪ̯	ˈyː	0.412
χ	-	0.4
ˈɑʊ̯	-	0.4
ˈu	ˈuː	0.375
ˈu	-	0.375
ɐ	ɾ	0.364
ˈɜɪ̯	ˈøː	0.353
d	tʰ	0.353
ˈɑɪ̯	ˈyː	0.333
ˈiə̯	ˈeː	0.333
ˈe	ˈɪ	0.333
p	pː	0.333
ˈə	ˈɛ	0.312
ˈə	-	0.312
ɐ	ə_ɾ	0.303
ˈɑ	ˈɪ	0.3
f	p	0.292
ˈiː	ˈɛ	0.286
ˈaː	ˈɑ	0.286
w	-	0.286
#>	ˈuː_#>	0.286
v	-	0.28
ˈo	-	0.267
ˈeː	ˈɛ	0.267
ˈə	ˈɪ	0.25
ˈu	ˈʉː	0.25
ˈaː	ˈɑː	0.25
ɡ	j	0.25
ʃ	s_k	0.24
m	mː	0.24
ʦ	-	0.231
ˈəʊ̯	ˈoː	0.222
ˈəʊ̯	-	0.222
ˈɑɪ̯	ˈiː	0.222
ɕ	-	0.222
l	lː	0.214
ˈɑ	-	0.2
ˈæːɪ̯	-	0.2
n_d̥	n_ə	0.2
s	-	0.188
ʦ	tː	0.154
ɐ	ɾ_ə	0.152
ə	ə	0.15
d	-	0.147
ˈo	ˈɔ	0.133
ˈo	ˈœ	0.133
ˈeː	ˈeː	0.133
ˈeː	-	0.133
ˈə	ˈʉ	0.125
s	tː_ə	0.125
ɐ	ˈæː	0.121
ʃ	ʂ	0.12
ˈɜɪ̯	ˈœ	0.118
ˈɜɪ̯	ˈoː	0.118
ˈaː	ˈɛ	0.107
ˈaː	ˈɑ_ɾ	0.107
ˈaː	ˈøː	0.107
ˈaː	ˈuː	0.107
h	j	0.105
ə	ʋ	0.1
n	ə	0.071
ɐ	ə	0.061
