West Frisian	West Frisian	probability
χ_t	ʔ	1.0
χ	-	1.0
ˈɪə̯_n_#>	ˈoʊ̯_#>	1.0
ˈɪə̯_l	ˈæ_f	1.0
ˈɪə̯_#>	ˈɛ_d_#>	1.0
ˈɪ_χ	ˈʌɪ̯	1.0
ˈɛ_j	ˈi	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈɛ	1.0
ˈø	-	1.0
ˈyː	ˈʌ	1.0
ˈy	ˈʌ	1.0
ˈu̯o	ˈi	1.0
ˈu	ˈʌ	1.0
ˈoː	ˈaʊ̯	1.0
ˈiː_k	k	1.0
ˈi_#>	ˈi_#>	1.0
ˈa_χ	ˈʌɪ̯	1.0
ʦ_j	θ	1.0
ʦ	ʧ	1.0
ʋ	w	1.0
ɪ	i	1.0
ɡ	ɡ	1.0
ə_χ	i	1.0
ə_r	ɚ	1.0
ə_l	ɫ	1.0
ə_#>	#>	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
z	z	1.0
t_j	t	1.0
s_k	ʃ	1.0
m	m	1.0
j_ˈɪ	ˈi	1.0
j_ˈɔ	ˈʌɪ̯	1.0
h	h	1.0
f_r	f_ɹ	1.0
f	f	1.0
b	b	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
s	s	0.921
j	-	0.846
d	d	0.808
p	p	0.8
s_#>	s_#>	0.769
k	k	0.75
d̥	d	0.667
l	ɫ	0.611
<#_t	<#_θ	0.6
ˈɪ	ˈɪ	0.583
t	ʔ	0.561
ˈiː	ˈaɪ̯	0.545
n	n	0.54
ˈuː	ˈaʊ̯	0.538
ˈɪə̯	ˈi	0.533
ˈiə̯	ˈi	0.524
ˈɛi̯	ˈeɪ̯	0.5
ˈɛi̯	-	0.5
ˈɔː	ˈɛə̯	0.5
ˈɔː	-	0.5
ˈeː	ˈɪ	0.5
ˈeː	ˈi	0.5
ˈoə̯	ˈɔ	0.467
v	w	0.462
r	ɹ	0.452
ˈa	-	0.438
ˈɛː	-	0.429
ɣ	-	0.429
ˈɪ	-	0.417
<#_t	<#_tʰ	0.4
ˈaː	-	0.385
v	v	0.385
r	ɚ	0.381
ˈɛ	ˈɛ	0.364
ˈɪə̯	ˈɛ	0.333
ˈɔ	ˈʌ	0.333
ˈuə̯	-	0.333
ˈi	ˈɪ	0.333
t	t	0.317
ˈuː	ˈaɪ̯	0.308
ˈaː	ˈɛ	0.308
ə	-	0.308
l	l	0.306
ˈɛː	ˈɑ_ɹ	0.286
ˈɛː	ˈæ	0.286
ɣ	ˈaʊ̯	0.286
ɣ	ʤ	0.286
ˈɛ	ˈɑ	0.273
ˈiː	ˈʌɪ̯	0.273
ˈuə̯	ˈʊ	0.25
ˈuə̯	ˈu	0.25
ˈi	ˈi	0.25
ˈi	ˈaɪ̯	0.25
ˈa	ˈeɪ̯	0.25
k	ʧ	0.25
ˈiə̯	ˈoʊ̯	0.238
ə	ə	0.231
s_#>	#>	0.231
ˈɔ	ˈɑ	0.222
ˈoə̯	ˈʌ	0.2
ˈoə̯	-	0.2
p	pʰ	0.2
d̥	θ	0.2
ˈa	ˈæ	0.188
ˈɛ	ˈɝ	0.182
ˈɛ	-	0.182
ˈiː	ˈi	0.182
ˈɔ	ˈʊ	0.167
ˈɔ	ˈɪ	0.167
ˈuə̯	ˈʌ_ð	0.167
ˈi	-	0.167
n	n_d	0.16
n	-	0.16
ˈuː	-	0.154
ˈaː	ˈæ	0.154
ˈaː	ˈeɪ̯	0.154
ə	θ	0.154
ə	ɡ	0.154
ə	n	0.154
v	w_ˈɔ	0.154
j	ˈi	0.154
ˈiə̯	ˈɛ	0.143
ˈɪə̯	-	0.133
ˈoə̯	ˈoʊ̯	0.133
d̥	ɫ_d	0.133
ˈa	ˈɑ	0.125
t	-	0.122
d	θ	0.115
ˈɔ	-	0.111
ˈiə̯	-	0.095
r	-	0.095
l	-	0.083
s	s_ˈɪ	0.079
d	-	0.077
r	ð_ɚ	0.071
n	ɹ_n	0.06
