Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈɔ	-	1.0
ˈœʏ̯	ˈɔː	1.0
ˈæ	-	1.0
ˈiː_ə	ˈɛ_j	1.0
ʋ_ˈiː	β	1.0
ʋ_#>	v̥_#>	1.0
ʋ	β	1.0
ʈː	ʀ_t	1.0
ʈ	-	1.0
ɾ_ˈœ	ʀ	1.0
ɾ_#>	#>	1.0
ɡ_#>	x_#>	1.0
ŋː	ŋ	1.0
ç	k	1.0
t	t	1.0
sː	s	1.0
s_t	s	1.0
s_#>	z̥_#>	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
k_t	x	1.0
k	k	1.0
i	-	1.0
h_ˈøː	ɦ	1.0
h	ɦ	1.0
f	v	1.0
d_ˈyː	d	1.0
d_#>	d̥_#>	1.0
b	b	1.0
<#_ˈoː	<#	1.0
<#_ɾ	<#_ʀ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
ɾ	ʀ	0.909
d	d	0.882
tʰ	d	0.867
ɡ	ɣ	0.846
ˈyː	ˈeː	0.818
ˈoː	ˈɒː	0.818
l	l	0.8
ˈɑː	ˈaː	0.778
<#	<#_β	0.778
nː	n	0.762
s_k	s	0.75
ˈæː	ˈeː	0.667
ɳ	ʀ_ə	0.667
tː	t	0.667
ˈæɪ̯	ˈɛː	0.636
ˈiː	ˈiː	0.636
s	z	0.629
ˈʏ	-	0.6
ɡː	k	0.6
ə	ə	0.591
ˈɪ	ˈɪː	0.571
ʂ	ʃ	0.571
ˈuː	ˈʊː	0.556
ˈʉ	ˈʊː	0.5
ʋ_ə	ə	0.5
ʋ_ə	v_ə	0.5
kː	ŋ_k	0.5
kː	k	0.5
#>	d̥_#>	0.48
ˈʉː	ˈuː	0.45
lː	l_ə	0.444
lː	l	0.444
ʂ	z	0.429
j	-	0.417
ˈʏ	ˈœ	0.4
ˈeː	ˈeː	0.4
ˈeː	-	0.4
ɡː	-	0.4
ˈøː	ˈu	0.385
ˈɑ	ˈaː	0.375
ˈɛ	-	0.364
ˈiː	ˈeː	0.364
ə	-	0.364
ˈʉː	-	0.35
ˈœ	-	0.333
ˈæː	-	0.333
ɳ	ʀ	0.333
tː	x	0.333
s	s	0.314
ˈøː	-	0.308
ˈʉ	-	0.286
ˈuː	-	0.278
ˈɑ	ˈɑ	0.25
s_k	ʃ	0.25
j	ɦ	0.25
nː	n_d	0.238
ˈɑː	-	0.222
ˈœ	ˈʊː	0.222
ˈœ	ˈɔ	0.222
ˈœ	ˈøː	0.222
<#	<#_j	0.222
ˈɑ	ˈɑː	0.208
ˈʉː	ˈeː	0.2
ˈeː	ˈɛː	0.2
ˈɛ	ˈɑ	0.182
ˈæɪ̯	ˈeː	0.182
ˈæɪ̯	-	0.182
ˈyː	-	0.182
ˈoː	ˈʊː_n	0.182
ˈuː	ˈoː	0.167
j	ɣ	0.167
j	x	0.167
ˈøː	ˈøː	0.154
ˈøː	ˈi	0.154
ɡ	ə_x	0.154
ˈʉ	ˈɔː	0.143
ˈɪ	ˈɪ	0.143
ˈɪ	ˈɛ	0.143
ˈɪ	-	0.143
#>	v̥_#>	0.14
ˈɛ	ˈɛː	0.136
ˈɛ	ˈæː	0.136
tʰ	t_ˈi	0.133
#>	x_#>	0.12
d	-	0.118
lː	w	0.111
l	j	0.1
l	-	0.1
#>	k_#>	0.1
ˈɛ	ˈɪ	0.091
ˈɛ	ˈi	0.091
ˈɑ	ˈæː	0.083
ˈɑ	ˈæ	0.083
ˈʉ	ˈʊ	0.071
#>	n_#>	0.06
#>	j_ə_#>	0.06
s	-	0.057
ɾ	ə	0.055
