Romansch	Romansch	probability
ˈuɔ̯	ˈo	1.0
ˈo	ˈɔ	1.0
ˈe	ˈe	1.0
ˈaː_r	ˈaː	1.0
ˈa_w	ˈa	1.0
ʨ_#>	t_#>	1.0
ʦ	ʧ	1.0
ʒ	z	1.0
ʎ_#>	#>	1.0
ʃ_#>	s_#>	1.0
ɲ_#>	ɲ_#>	1.0
ɲ	ɲ	1.0
ə_d	a_d	1.0
ə_#>	#>	1.0
w_r	w_r	1.0
w_n	ŋ	1.0
t_ˈu	d_ˈu	1.0
t	t	1.0
s_#>	#>	1.0
r_ˈiː	r_ˈi	1.0
r_ˈa	r	1.0
r_ə	r_e	1.0
r_t	r_t	1.0
r_#>	#>	1.0
p_ˈaː	p_ˈa	1.0
p	p	1.0
o	o	1.0
n	n	1.0
m_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ə	c_e	1.0
k	k	1.0
j_ˈɛ	ˈuː	1.0
j_r	d_i	1.0
f_#>	f_#>	1.0
f	f	1.0
<#_ˈa	<#_ˈa	1.0
<#_ə	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#	<#_v	1.0
s	s	0.949
r	r	0.944
v	v	0.931
n_#>	ŋ_#>	0.889
b	b	0.875
d	d	0.862
ʧ	ʧ	0.846
ɡ	ɡ	0.833
<#_n	<#_n	0.818
ˈiː	ˈi	0.8
j	j	0.8
<#_l	<#_l	0.786
ʨ	c	0.778
ə	e	0.72
ˈɛː	j_ˈɛ	0.7
ˈaː	ˈa	0.7
ə_r	i	0.667
ˈuː	ˈo	0.636
ʃ	s	0.611
ˈiː_r	ˈiː	0.6
ŋ	ŋ	0.6
w_#>	k_#>	0.6
ˈa	ˈa	0.595
ˈeː	-	0.571
ˈa_j	ˈe	0.571
ˈɔː	w_ˈa	0.5
ˈɔ	ˈa	0.5
ˈu	ˈo	0.5
ˈiə̯	ˈiː	0.5
ˈiə̯	-	0.5
e	e	0.5
e	-	0.5
u	o	0.455
ʎ	l_i	0.444
i	i	0.444
ˈi	ˈi	0.429
ˈeː	ˈe	0.429
#>	l_#>	0.417
ˈiː_r	ˈuː_r	0.4
ŋ	ŋ_k	0.4
w_#>	#>	0.4
w	-	0.4
ʎ	l	0.333
ə_r	r_i	0.333
i	-	0.333
ˈɛ	ˈi	0.304
ˈɛ	j_ˈɛ	0.304
ˈɛː	ˈɛ	0.3
ˈaː	ˈaː	0.3
ʥ	ɟ	0.3
ʥ	j	0.3
w	w	0.3
ˈa_j	ˈeː	0.286
u	u	0.273
u	-	0.273
ˈa	ˈaː	0.27
ˈɔː	w	0.25
ˈɔː	-	0.25
#>	t_#>	0.25
ʎ	-	0.222
i	u	0.222
ˈɛ	ˈɛ	0.217
ˈi	ˈu	0.214
ˈi	ˈiː	0.214
<#_l	<#	0.214
ˈu	ˈoː	0.2
ˈiː	ˈu	0.2
ʥ	ʤ	0.2
ʥ	-	0.2
w	l	0.2
j	ˈeː	0.2
ˈɔ	ˈuː	0.188
ˈɔ	w_ˈɛ	0.188
ə	a	0.187
ˈuː	ˈoː	0.182
ˈuː	w_ˈi	0.182
<#_n	<#_ɲ	0.182
ˈɛ	-	0.174
ˈu	ˈu	0.167
ʃ	z	0.167
ɡ	v	0.167
#>	ʧ_#>	0.167
#>	s_#>	0.167
ʧ	-	0.154
ʨ	k	0.148
ˈi	ˈuː	0.143
ˈa_j	ˈɛ	0.143
d	-	0.138
ˈu	ˈɔ	0.133
ˈɔ	ˈɔ	0.125
b	-	0.125
ʃ	ʤ	0.111
ʃ	-	0.111
n_#>	#>	0.111
w	ˈɔː	0.1
ə	i	0.093
ˈa	ˈo	0.081
ʨ	-	0.074
v	b	0.069
r	r_i	0.056
ˈa	-	0.054
s	ʧ	0.051
