Franco-Provençal	Romansch	probability
ˈe_ʃ	ʃ	1.0
ˈe_v	ˈa_w	1.0
ˈe_n	ˈiː_n	1.0
ˈe_l	ˈɛː	1.0
ˈa_#>	#>	1.0
ʒ	-	1.0
ʁ_o	ə_r	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛː	-	1.0
ɛ	e	1.0
ɔ̃	-	1.0
ɔ	u	1.0
u	-	1.0
t_#>	ʨ_#>	1.0
p	p	1.0
o_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
ĩ	-	1.0
f_#>	f_#>	1.0
f	f	1.0
e	-	1.0
d	d	1.0
a_#>	#>	1.0
a	ə	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_ʃ	1.0
<#_a	<#_ə	1.0
v	v	0.897
b	b	0.882
k	k	0.842
n	n	0.833
ʃ	ʨ	0.826
ʁ	r	0.8
l	l	0.8
ʎ	ʎ	0.786
ˈo	ˈu	0.75
ˈø	-	0.714
ˈĩ	ˈi_n	0.714
t	t	0.706
ˈɔ̃	ˈu_n	0.667
o	u	0.667
j	-	0.667
i	ə	0.667
ə	ə	0.647
ˈɛ	-	0.643
ð	r	0.625
ˈɑː	ˈa	0.6
ˈaː	ˈa	0.6
s	s	0.588
ˈa	ˈa	0.522
ˈɔ	ˈuː	0.5
ˈɔ	-	0.5
<#	<#_ˈa	0.5
<#	<#_ʨ	0.5
ˈi	ˈiː	0.429
z	ʃ	0.429
ˈɛː	ˈa_j	0.4
ˈɑː	l	0.4
ˈaː	ˈaː	0.4
ˈu	ˈɔː	0.375
ˈu	-	0.375
ˈɛ̃	ˈɛ_n	0.364
ˈɛː	-	0.35
ˈɔ̃	ˈu	0.333
o	-	0.333
i	-	0.333
ˈoː	ˈɔː	0.308
#>	r_#>	0.304
s	ʧ	0.294
ˈø	ˈu	0.286
ˈĩ	n	0.286
z	ʧ	0.286
z	-	0.286
ˈɛ̃	n	0.273
ˈa	ˈaː	0.261
ˈɑ̃	ˈɔ_n	0.25
ˈɑ̃	w_n	0.25
ˈu	ˈu	0.25
ˈo	-	0.25
#>	s_#>	0.239
ˈi	ˈi	0.238
j	ˈaː	0.238
ˈoː	ˈɔ	0.231
ˈoː	ˈa_w	0.231
ˈoː	-	0.231
w	ˈu	0.231
w	-	0.231
ˈɛ	ˈɛ	0.214
ʎ	-	0.214
ə	-	0.206
#>	ʨ_#>	0.196
ˈi	-	0.19
ð	j	0.188
ð	-	0.188
ˈɛ̃	ˈɛ	0.182
ˈɛ̃	j_n	0.182
ˈe	ˈɛ	0.182
ˈe	w	0.182
ˈe	-	0.182
t	s_t	0.176
ˈɑ̃	ˈɔ_m	0.167
ˈɑ̃	ˈa	0.167
ˈɑ̃	n	0.167
n	ɲ	0.167
k	-	0.158
w	ˈa	0.154
ˈɛː	ˈa	0.15
ˈɛ	ˈɛː	0.143
ˈi	ˈeː	0.143
ˈa	-	0.13
ˈe	ə	0.121
t	-	0.118
b	v	0.118
w	ˈo	0.115
w	j_ˈɛ	0.115
v	-	0.103
ˈɛː	ˈaː	0.1
ʁ	-	0.1
l	ˈɛː	0.1
l	-	0.1
j	l	0.095
ˈe	ˈiː	0.091
ˈe	ˈa	0.091
ˈe	r	0.091
ə	r	0.088
ˈa	w	0.087
ʃ	ʃ	0.087
ʃ	-	0.087
w	ˈɛ	0.077
w	ˈɔː	0.077
#>	ʃ_#>	0.065
#>	f_#>	0.065
ˈe	j	0.061
ʁ	r_t	0.06
ə	v_ə	0.059
s	s_ˈa	0.059
s	-	0.059
