English	English	probability
θ_#>	#>	1.0
θ	d	1.0
ˈɪ_ə	ɐ	1.0
ˈɛ	ˈoː	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈe_ð	ˈɛ_l	1.0
ˈaɪ̯_t	ˈɪ_ç	1.0
ʃ	ʃ	1.0
ɜː	ˈœ	1.0
əʊ̯	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	z̥	1.0
w_ˈɔː	v	1.0
w	v	1.0
tʰ	tʰ	1.0
s_t	s	1.0
s_#>	z̥_#>	1.0
pʰ	pʰ	1.0
m	m	1.0
l_ˈiː	l_ˈoː	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	s	1.0
h	h	1.0
b	b	1.0
<#_n	<#_n	1.0
f	f	0.966
ɹ	r	0.923
d	d	0.907
ˈæ	ˈa	0.9
ɡ	ɡ	0.9
ɫ	l	0.889
ə	ɐ	0.889
n	n	0.882
ˈɜː	-	0.75
ˈaʊ̯	ˈuː	0.692
ˈɒ	ˈɔ	0.667
n_d	n	0.667
k	ɡ	0.625
ˈʊ	ˈʊ	0.6
#>	ç_#>	0.6
t	d	0.588
s	z	0.571
ˈuː	-	0.556
p	b	0.545
ʧ	ɡ	0.5
ʧ	kʰ	0.5
ʤ	ɡ	0.5
ʤ	ç	0.5
v	m	0.5
ˈeɪ̯	ˈoː	0.455
ˈɔː	ɐ	0.444
ˈuː	ˈaʊ̯	0.444
ˈɪ	ˈɪ	0.419
ˈʊ	ˈaʊ̯	0.4
ˈəʊ̯	ˈaɪ̯	0.4
ˈɑː	ˈaː	0.4
ˈɑː	ˈa	0.4
ɪ	ɪ	0.4
ɪ	-	0.4
j	ʒ	0.4
j	ɡ	0.4
#>	ŋ_#>	0.4
ˈɐ	ˈʊ	0.364
ˈaɪ̯	ˈiː	0.357
ˈɔː	ˈaʊ̯_ɐ	0.333
ˈɒ	ˈa	0.333
n_d	n_n	0.333
ˈe	-	0.3
ˈiː	ˈɔʏ̯	0.296
s	ʃ	0.286
p	b_m	0.273
ˈəʊ̯	ˈaʊ̯	0.267
t	t	0.265
ˈiː	ˈaɪ̯	0.259
ˈɜː	ˈɔː	0.25
ˈaɪ̯	ˈɪ	0.25
v	v	0.25
v	f	0.25
ˈɔː	ˈa	0.222
ˈəʊ̯	-	0.2
ˈɑː	ˈoː	0.2
ˈe	ˈaʊ̯	0.2
ɪ	i	0.2
j	ˈɛː	0.2
ˈɪ	ˈʏ	0.194
k	ɡ_n	0.188
k	k	0.188
ˈeɪ̯	ˈɛ	0.182
ˈeɪ̯	ˈa_x	0.182
ˈeɪ̯	-	0.182
p	p	0.182
ˈaʊ̯	ç	0.154
ˈaʊ̯	-	0.154
ˈe	ˈeː	0.15
ˈe	ˈaɪ̯	0.15
ˈiː	ˈoː	0.148
ˈiː	ˈaʊ̯	0.148
t	d_n	0.147
ˈaɪ̯	-	0.143
s	s	0.143
ˈɐ	ˈʏ	0.136
ˈɐ	ˈuː	0.136
ˈɐ	ˈoː	0.136
ˈɐ	ˈaʊ̯	0.136
ˈəʊ̯	ˈøː	0.133
ɫ	ɡ_l	0.111
ə	-	0.111
ˈaɪ̯	ˈaɪ̯	0.107
ˈæ	ˈœː	0.1
ˈe	ˈɛ	0.1
ˈe	ˈœ	0.1
ɡ	j	0.1
ˈɪ	ˈyː	0.097
ˈɪ	-	0.097
ˈɐ	ˈøː	0.091
ɹ	-	0.077
ˈiː	ˈeː	0.074
ˈiː	-	0.074
ˈaɪ̯	ˈaʊ̯_x	0.071
ˈaɪ̯	ç	0.071
ˈɪ	ˈɔʏ̯	0.065
ˈɪ	ˈø	0.065
ˈɪ	ˈiː	0.065
n	n_n	0.059
n	-	0.059
