American English	American English	probability
ˈɛə̯	ˈɒ	1.0
ˈɛ_s	ʃː	1.0
ˈɔ_ɹ	r	1.0
ˈoʊ̯_n	ˈæi̯	1.0
ˈoʊ̯_#>	ˈeː_#>	1.0
ˈi_#>	ˈyː_#>	1.0
ˈaɪ̯_d	ˈiː_tː	1.0
ʤ	kː	1.0
ʃ_#>	ʃː_#>	1.0
ɾ	sː_ə	1.0
ɪ	-	1.0
ɡ	ɡ̊	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
z	z̥	1.0
w	ʋ	1.0
tʰ	ʦ	1.0
s_l	ʒ̊_l	1.0
pʰ	p͡f	1.0
p	fː	1.0
oʊ̯	ɡ̊	1.0
n_d_#>	ŋ_#>	1.0
m	m	1.0
l	l	1.0
kʰ	ɣ̊	1.0
j	j	1.0
i_n	æ	1.0
i	i	1.0
h	h	1.0
d_ˈɛ	tː_ˈoː	1.0
d_ˈi	tː_ˈyː	1.0
d_ɹ	tː_r	1.0
d_ɫ	d̥_l	1.0
b	b̥	1.0
<#_θ	<#_d̥	1.0
<#_ˈʌ	<#_ˈu	1.0
<#_ɹ	<#_r	1.0
<#_l	<#_l	1.0
<#_d	<#_tː	1.0
#>	ɡ̊_#>	1.0
ɹ	r	0.92
f	v̥	0.917
ɫ	l	0.909
n	n	0.884
ʃ	ʒ̊	0.778
t	tː	0.733
ˈɔ	ˈo	0.714
f_#>	b̥_#>	0.714
ɚ	r	0.704
ˈɝ	r	0.667
ˈaʊ̯	ˈuː	0.667
<#	<#_ɡ̊	0.667
ˈʊ	ˈuə̯	0.6
ˈeɪ̯	ˈɒ	0.583
d	tː	0.577
ʧ	ɣ̊	0.571
s	z̥	0.568
θ	d̥	0.556
ʔ	sː	0.556
ˈɪ	ˈi	0.5
ˈoʊ̯	ˈæi̯	0.5
ð	tː_ə	0.5
ð	d̥_ə	0.5
k	χː	0.5
ˈu	-	0.444
ˈɛ	ˈæ	0.435
ʧ	χː	0.429
d	d̥	0.423
ˈʌɪ̯	ˈiː	0.4
ˈʊ	ˈo	0.4
ˈʌ	ˈu	0.389
ˈaɪ̯	ˈi	0.375
v	fː	0.375
v	b̥_ə	0.375
ˈɑ	ˈɒ	0.357
ˈɝ	ˈu_r	0.333
ˈæ	ˈɒː	0.333
ˈu	ˈuə̯	0.333
<#	<#_r	0.333
k	kː	0.312
ɚ	ə_r	0.296
ˈɔ	ˈɒ	0.286
ˈɑ	-	0.286
f_#>	#>	0.286
ˈʌ	-	0.278
t	-	0.267
ˈoʊ̯	ˈɒ	0.25
ˈeɪ̯	ˈɒː	0.25
ˈaɪ̯	ˈyː	0.25
v	b̥	0.25
s	ʒ̊	0.25
θ	tː	0.222
θ	-	0.222
ˈʌ	ˈoː	0.222
ˈæ	ˈɒ_l	0.222
ˈæ	ˈɒ	0.222
ˈæ	ˈæ	0.222
ˈu	ˈøi̯	0.222
ʃ	ʃː	0.222
ˈɑ	ˈo	0.214
ˈʌɪ̯	χː	0.2
ˈʌɪ̯	ˈɒ_χː	0.2
ˈʌɪ̯	ˈiə̯	0.2
ˈɪ	ˈy	0.192
k	χː_ə	0.188
ʔ	ʦ	0.185
ˈɛ	-	0.174
ˈoʊ̯	-	0.167
ˈi	ˈau̯	0.167
ˈeɪ̯	ˈæ_ɡ̊	0.167
ˈaʊ̯	ˈuə̯	0.167
ˈaʊ̯	ˈu	0.167
ʔ	tː	0.148
ˈɑ	ˈæ	0.143
ˈi	ˈɒː	0.133
ˈi	ˈyə̯	0.133
ˈi	-	0.133
ˈɛ	ˈe	0.13
ˈaɪ̯	ˈyː_ɡ̊	0.125
ˈaɪ̯	ˈiː	0.125
ˈaɪ̯	ɡ̊	0.125
ˈʌ	ˈuə̯	0.111
ʔ	χː_tː	0.111
ˈi	ˈoː	0.1
ˈi	ˈiə̯	0.1
ɫ	ɡ̊_l	0.091
s	ʃː	0.091
s	sː	0.091
ˈɛ	ˈɒː	0.087
ˈɛ	ˈy	0.087
ˈɛ	ˈoː	0.087
ˈoʊ̯	w	0.083
f	v̥_ˈo	0.083
ɹ	-	0.08
ˈɪ	ˈæ	0.077
ˈɪ	ˈyː	0.077
ˈɪ	ˈu	0.077
ˈɪ	ˈiː	0.077
n	ə	0.07
ˈi	ˈøː	0.067
ˈi	ˈyː	0.067
ˈi	ˈeː	0.067
