West Flemish	West Flemish	probability
ˈɪ	ˈɪ	1.0
ˈɛː	ˈaɪ̯	1.0
ˈøː	ˈøː	1.0
ˈæ_ɾ	ˈaː	1.0
ˈyː_v̥	v̥	1.0
ˈyː	ˈuː	1.0
ˈu_ʋ	ˈuː	1.0
ˈi	ˈiː	1.0
ʋ	v	1.0
ʃ_h	ʃ	1.0
ɾ_ə	ɐ	1.0
ɾ_d̥	ɐ_d	1.0
ɪ	ɪ	1.0
ɦ_ˈi	ˈɛː	1.0
ɦ_ɾ	ɡ_r	1.0
ɦ_n	ŋ	1.0
ɦ_j	j	1.0
ə	-	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥	z̥	1.0
v̥	f	1.0
v_n	m	1.0
t_n	d_n	1.0
n_d	n	1.0
m_n	m	1.0
m	m	1.0
l	l	1.0
j	ʒ	1.0
iə̯	aɪ̯	1.0
h	x	1.0
d̥	d	1.0
b	b	1.0
<#_t	<#_tʰ	1.0
<#	<#_h	1.0
n	n	0.967
v	f	0.929
d	d	0.929
ˈɑ	ˈa	0.905
ˈɒː	ˈoː	0.833
z	z	0.833
ɦ	ɡ	0.818
ˈu	ˈʊ	0.75
p	b	0.727
ˈɛ	ˈɪ	0.667
ˈɔ	ˈɔ	0.667
ˈuə̯	ˈaʊ̯	0.667
ˈiə̯	ˈaɪ̯	0.65
t	d	0.613
ˈoː	ˈaʊ̯	0.609
ɦ_ə	ɡ	0.6
ˈœ	ˈʏ	0.571
ɦ̥	ç	0.571
w	l	0.556
s	ʃ	0.545
k	ɡ	0.5
ɾ	ɐ	0.472
ˈeː	ˈeː	0.462
k	kʰ	0.433
ˈœ	ˈʊ	0.429
ɦ̥	x	0.429
ˈæ	ˈɛ	0.4
ˈæ	-	0.4
ɦ_ə	ç	0.4
ɾ	r	0.396
s	s	0.364
ˈɛ	-	0.333
ˈɔ	-	0.333
ˈuə̯	ˈɔʏ̯	0.333
t	t	0.29
p	-	0.273
ˈu	ˈaʊ̯_l	0.25
ˈeː	-	0.231
w	ˈœ_l	0.222
w	-	0.222
ˈæ	h	0.2
ˈiə̯	ˈyː	0.2
ɦ	-	0.182
ˈoː	ˈɔʏ̯	0.174
ˈɒː	-	0.167
z	ʃ	0.167
ˈeː	ˈeɪ̯	0.154
ˈeː	ˈaɪ̯	0.154
ˈiə̯	-	0.15
ˈoː	ˈoː	0.13
t	-	0.097
ˈɑ	-	0.095
ɾ	-	0.094
s	-	0.091
ˈoː	-	0.087
v	v	0.071
d	-	0.071
k	-	0.067
