Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɛː	ˈɛː	1.0
ˈøː	ˈo	1.0
ˈo_r	ˈɔː	1.0
ˈi_d	ˈoː_d	1.0
ˈeː_r	ˈɛ_ɐ	1.0
ˈe_d	ˈuː_d̥	1.0
ˈaːɪ̯	ˈœ_n	1.0
ˈaː	ˈɪ_ɕ	1.0
ˈaɪ̯	-	1.0
ʧ	ˈiː_ɕ	1.0
ʤ	k	1.0
ʍ	ʋ	1.0
ʃ	ʃ	1.0
ə_r	ɐ	1.0
ə_n	ə	1.0
ð	d	1.0
z	-	1.0
x	x	1.0
w_ˈɪ	ʋ	1.0
w	ʋ	1.0
tʰ	ʦ	1.0
t_#>	#>	1.0
s_l	ʃ_l	1.0
s_#>	z̥_#>	1.0
r_ˈi	ʀ	1.0
r_t	ʦ	1.0
pʰ	-	1.0
n_ˈe	n	1.0
n_d	ŋ_ə	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kʰ	k	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
e	ə_ɕ	1.0
d_r	d_ʀ	1.0
b	b	1.0
<#_ˈe	<#_ˈeː	1.0
θ	d	0.8
ɡ	j	0.8
j	j	0.8
l	l	0.774
n	n	0.766
i	-	0.75
ŋ	ŋ	0.727
<#_r	<#_ʀ	0.714
ˈu	ˈuː	0.7
ˈɛ	ˈɛ	0.643
ˈʌ	ˈo	0.615
ˈuː	ˈɔʊ̯	0.6
ˈo	ˈɔ	0.6
ə	-	0.6
ç	ɕ	0.6
v	v	0.6
ˈø	ˈoː	0.556
ˈa	ˈa	0.538
#>	ɕ_#>	0.538
s	z	0.514
ˈuː_#>	ˈoː_#>	0.5
ˈuː_#>	#>	0.5
t	s	0.484
ˈeː	ˈaː	0.455
p	p	0.444
d	d̥	0.414
ˈuː	ˈɔ_ɫ	0.4
ˈo	-	0.4
ə	ə	0.4
ç	ˈaː	0.4
v	ə_f	0.4
r	ʀ	0.4
ˈiː	ˈeː	0.389
k	ɕ	0.389
d	d	0.379
ˈəi̯	ˈiː	0.364
ˈeː	-	0.364
ˈe	ˈeɪ̯	0.364
ˈe	ˈa	0.364
ˈɑː	ˈa	0.357
s	ʃ	0.351
ˈɪ	ˈe	0.333
r	ɐ	0.333
p	f	0.333
k	k	0.333
ˈu	-	0.3
t	t	0.29
ˈɑː	ˈa_ɫ	0.286
<#_r	<#	0.286
ˈəi̯	-	0.273
ˈi	ˈøː	0.273
ˈe	ˈeː	0.273
ŋ	ŋ_ɡ̊	0.273
i	e	0.25
n	ŋ	0.234
ˈʌ	-	0.231
ˈa	ˈɛ	0.231
ˈa	-	0.231
ˈi	-	0.227
l	ɫ	0.226
ˈø	ˈɔ	0.222
ˈø	-	0.222
p	f_ə	0.222
ˈɛ	ˈeː	0.214
ˈɑː	ˈaː	0.214
d	ɡ̊	0.207
θ	d̥	0.2
ɡ	-	0.2
r	-	0.2
j	ˈøʏ̯	0.2
ˈəi̯	ˈɪ	0.182
ˈəi̯	ˈyː	0.182
ˈi	ˈeː	0.182
ˈeː	ˈoː_n	0.182
ˈiː	ˈyː	0.167
ˈiː	ˈeɪ̯	0.167
ˈiː	-	0.167
k	k_ə	0.167
t	ʦ	0.161
ˈʌ	ˈʊ	0.154
#>	ɐ_#>	0.154
#>	z̥_#>	0.154
#>	d̥_#>	0.154
ˈɛ	-	0.143
ˈɑː	-	0.143
ˈi	ˈɔʊ̯	0.136
s	s	0.135
ˈɪ	ˈɪ	0.128
ˈɪ	ˈoː	0.128
ˈɪ	-	0.128
ˈiː	ˈoː	0.111
k	x	0.111
ˈɪ	ˈœ	0.103
ˈɪ	ˈeː	0.103
ˈi	ˈoː	0.091
ˈi	ʀ	0.091
ˈɪ	ˈa	0.077
r	ˈɔː	0.067
t	x	0.065
