Scots	Scots	probability
θ	d	1.0
ˈɪ_ð	ˈaʊ̯_d	1.0
ˈɪ_r	ˈɔː	1.0
ˈɛː	-	1.0
ˈøː	ˈaʊ̯	1.0
ˈoː	-	1.0
ˈiː_#>	#>	1.0
ˈeː_r	ˈaː	1.0
ˈe_d	ˈaʊ̯_d	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈɪ_ɡ	1.0
ˈaɪ̯	-	1.0
ʧ	kʰ	1.0
ʤ	ɡ	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ɛ	n	1.0
ə_r	ɐ	1.0
ə	-	1.0
ŋ	ŋ	1.0
w_ˈa	v	1.0
v	m	1.0
tʰ	tʰ	1.0
s_t	s	1.0
r_ˈɪ	ˈœ	1.0
r_t	d	1.0
r_n	ɐ_n	1.0
pʰ	pʰ	1.0
n_ˈe	n_ˈoː	1.0
m	m	1.0
kʰ	kʰ	1.0
k_ə	ɡ	1.0
k_s	s	1.0
h	h	1.0
e	ɪ	1.0
d_r	d_r	1.0
b	b	1.0
<#_ˈʌ	<#	1.0
<#_k	<#_kʰ	1.0
f	f	0.967
l	l	0.952
d	d	0.944
n	n	0.872
w	v	0.85
ɡ	ɡ	0.769
i	-	0.75
ˈa	ˈa	0.667
p	b	0.667
ˈʌ	ˈʊ	0.636
ˈe	ˈaɪ̯	0.636
ˈəi̯	ˈiː	0.615
ç	x	0.6
x	x	0.6
k	ɡ	0.6
ˈu	ˈuː	0.571
ˈo	ˈɔ	0.571
ˈø	ˈaʊ̯	0.556
r	r	0.531
t	d	0.514
ˈʌu̯	ˈʊ_l	0.5
ˈʌu̯	-	0.5
ˈɪ	ˈɪ	0.5
ˈɑː	ˈa	0.5
ð	d	0.5
ð	-	0.5
z	z̥	0.5
z	-	0.5
s	z	0.488
ˈiː	ˈaɪ̯	0.471
#>	ç_#>	0.462
ˈø	-	0.444
ˈuː	ˈuː	0.444
ˈo	ˈaʊ̯	0.429
ˈeː	ˈoː	0.417
ˈeː	-	0.417
ç	ç	0.4
x	ç	0.4
j	ɡ	0.4
j	-	0.4
ˈʌ	-	0.364
r	ɐ	0.344
ˈuː	-	0.333
ˈa	-	0.333
p	b_m	0.333
#>	ŋ_#>	0.308
ˈɛ	ˈa	0.3
ˈi	ˈɔʏ̯	0.296
s	ʃ	0.279
t	t	0.27
ˈi	-	0.259
i	i	0.25
ˈiː	ˈiː	0.235
ˈəi̯	-	0.231
#>	m_#>	0.231
ˈuː	ˈʊ_l	0.222
ˈu	ˈʊ	0.214
ˈu	-	0.214
ˈɛ	-	0.2
k	ɡ_n	0.2
k	k	0.2
j	ˈɛː	0.2
ˈi	ˈoː	0.185
ˈe	ˈa	0.182
ˈe	-	0.182
ˈiː	ˈaʊ̯	0.176
ˈɑː	ˈaː	0.167
ˈɑː	ˈaʊ̯	0.167
ˈɑː	ˈaɪ̯	0.167
ˈeː	ˈoː_n	0.167
ˈɪ	ˈʏ	0.158
ˈɪ	-	0.158
ˈəi̯	ˈyː	0.154
ɡ	ç	0.154
ˈɛ	ˈeː	0.15
ˈɛ	ˈaɪ̯	0.15
w	v_ˈeː	0.15
ˈi	ˈaʊ̯	0.148
t	d_n	0.135
ˈiː	ˈɔʏ̯	0.118
s	z̥	0.116
s	s	0.116
ˈi	ˈaɪ̯	0.111
ˈɛ	ˈɪ	0.1
ˈɛ	ˈɛ	0.1
t	-	0.081
ˈɪ	ˈa	0.079
ɡ	j	0.077
r	ˈaː	0.062
r	-	0.062
d	n	0.056
ˈɪ	ˈøː	0.053
ˈɪ	ˈaʊ̯	0.053
