Yiddish	Yiddish	probability
ˈʊ_#>	ˈʏ_#>	1.0
ˈɪ_ʀ	ˈɛ	1.0
ˈɔ_ʀ	ʀ	1.0
ˈɔ_ɫ	ˈœ_lʲ	1.0
ˈaɪ̯_ɡ	w	1.0
ˈa_ɫ	ˈuː_l	1.0
ˈa_s	ˈɒː_d	1.0
ˈa_n	ˈœi̯	1.0
ʧ	-	1.0
ʦ	t	1.0
ʃ_v	s	1.0
ʃ_t	s_t	1.0
ʀ_ˈʊ	ʀ	1.0
ʀ_ə	ʀ	1.0
ʀ	ʀ	1.0
ɪ_k	i	1.0
ɡ_n	d_ə	1.0
ɡ_#>	#>	1.0
ɛ	-	1.0
ə_n	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z_ˈʊ	s	1.0
v_ˈɔ	ˈʊ	1.0
s_t	s_t	1.0
p	p	1.0
n_t	n	1.0
n_d	n	1.0
k_ˈɛ	k	1.0
j	j	1.0
h	h	1.0
f_n	p_ə	1.0
f_#>	p_#>	1.0
d_#>	#>	1.0
b_n	v_ə	1.0
b_#>	ə_v̥_#>	1.0
b	b	1.0
a	ˈɔu̯	1.0
<#_ˈa	<#	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
#>	ə_n_#>	1.0
ɫ	l	0.927
v	v	0.92
z	s	0.917
m	m	0.913
f	f	0.808
k	k	0.8
ə	ə	0.778
ɡ	ɡ	0.625
ˈɛɪ̯	ˈiː	0.615
ʃ	ʃ	0.588
ˈaɪ̯	ˈi	0.562
<#_ˈɔɪ̯	<#_ˈuː	0.5
<#_ˈɔɪ̯	<#	0.5
χ	x	0.474
ˈʊ	ˈʊ	0.444
n	n	0.441
ʃ	s	0.412
s	tʲ	0.4
ˈɛɪ̯	-	0.385
χ	k	0.368
t	d	0.357
d	d	0.357
s	t	0.333
n	ə	0.305
ˈɔɪ̯	ˈʏ	0.304
d	d̥	0.286
ˈʊ	ˈœ	0.278
ˈa	ˈɒ	0.269
ɡ	j	0.25
ə	-	0.222
ˈɔɪ̯	ˈyː	0.217
ˈɔɪ̯	ˈuː	0.217
ˈɪ	ˈi	0.216
t	t	0.214
d	-	0.214
k	-	0.2
ˈaɪ̯	ˈa	0.188
ˈɛ	ˈɛː	0.185
ˈɛ	-	0.185
ˈʊ	ˈaː	0.167
ˈɔ	ˈɛi̯	0.167
ˈɔ	ˈɔː	0.167
ˈɔ	ˈeː	0.167
ˈɔ	-	0.167
ˈɪ	ˈiː	0.162
ˈɪ	ˈa	0.162
ˈɪ	-	0.162
χ	k_ə	0.158
ˈa	ˈʊ	0.154
ˈa	ˈœ	0.154
ˈɛ	ˈeː	0.148
t	d̥	0.143
t	dʲ	0.143
d	tʲ	0.143
s	z	0.133
s	s	0.133
ˈaɪ̯	ˈʏ	0.125
ˈaɪ̯	ˈai̯	0.125
ɡ	j_ə	0.125
n	-	0.119
ˈa	ˈeː	0.115
f	v	0.115
ˈʊ	ˈʏ	0.111
ˈɛ	ˈɛi̯	0.111
ˈɛ	ˈiː	0.111
ˈɛ	ˈi	0.111
ˈɪ	ˈʊ	0.108
n	nʲ	0.102
t	-	0.095
ˈɔɪ̯	ˈœː	0.087
ˈɔɪ̯	ˈiː	0.087
ˈɔɪ̯	-	0.087
m	-	0.087
ˈɔ	ˈɛː	0.083
ˈɔ	ˈɔ	0.083
ˈɔ	ˈœ	0.083
ˈɔ	ˈaː	0.083
z	-	0.083
ˈɪ	ˈɛ	0.081
v	-	0.08
ˈa	ˈɛ	0.077
ˈa	ˈɔː	0.077
ˈa	ˈɒː	0.077
ˈa	ˈa	0.077
f	v̥	0.077
ˈɛ	ˈa	0.074
ˈɛ	j_ˈa	0.074
ɫ	lʲ	0.073
ˈɪ	ˈɛi̯	0.054
ˈɪ	ˈɔː	0.054
