Aromanian	Aromanian	probability
ˈə	-	1.0
ˈu_p	ˈo_β	1.0
ˈu_n	ˈõ	1.0
ˈi_n	ˈẽ	1.0
ˈi_#>	ˈɨ_#>	1.0
ˈa_v	ˈo_w	1.0
ʧ	-	1.0
ʦ_i	ʃ	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
z	-	1.0
w_ə	v_ɨ	1.0
v	v	1.0
u_r	ɾ	1.0
t_ˈi	β	1.0
t_#>	ð_u_#>	1.0
s_i	s_ɨ	1.0
r_u	ɾ_u	1.0
r_#>	u_#>	1.0
p_t	j_t	1.0
p_l	ʃ	1.0
n_ə	ɐ	1.0
n_t	t	1.0
n_i	w̃	1.0
m_t	t	1.0
m_n	n	1.0
k_ʎ	ʎ	1.0
k_o̯ˈa	k_ˈɔ	1.0
k_e̯ˈa	p_ˈɛ	1.0
j_#>	ʃ_#>	1.0
i_r	ˈe	1.0
i_n	ẽ	1.0
f_l	ʃ	1.0
e	ɫ	1.0
b_u	ũ	1.0
a_r	ʁ	1.0
a	ɐ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_ˈa	1.0
r_i	ɾ	0.917
u	u	0.862
m	m	0.852
ˈɨ	ˈɐ̃	0.8
ə	ɐ	0.778
f	f	0.778
p	p	0.727
r	ɾ	0.714
l	l	0.714
j	v	0.7
ʤ	ʒ	0.667
ʎ	ʎ	0.667
ɲ	m	0.667
w	-	0.667
d	d	0.667
#>	u_#>	0.649
ˈi	ˈi	0.636
ˈo	ˈo	0.625
ˈa	ˈa	0.615
k	k	0.61
ʣ	d	0.571
e̯ˈa	ˈe	0.556
<#_a	<#_ɐ	0.556
b	b	0.545
ʃ	s	0.538
ʦ	s	0.5
s	s	0.5
t	t	0.464
o̯ˈa	ˈɔ	0.462
b	v	0.455
<#_a	<#	0.444
ˈe	ˈɛ	0.429
ʣ	ʒ	0.429
i	ɨ	0.426
ˈu	ˈu	0.393
o̯ˈa	ˈo	0.385
ˈo	ˈɔ	0.375
ˈe	ˈe	0.357
ʤ	-	0.333
ʎ	-	0.333
ɲ	-	0.333
w	v_u	0.333
d	-	0.333
t	ð	0.321
n	ɲ	0.318
n	n	0.318
ʃ	-	0.308
k	ɣ	0.293
ˈu	ˈo	0.286
l	-	0.286
e̯ˈa	ˈɐ	0.278
ʦ	z	0.25
ʦ	t	0.25
ˈi	-	0.227
f	-	0.222
ˈe	ˈɐ_j	0.214
s	ʃ	0.208
s	i_ʃ	0.208
ˈɨ	ˈɐ	0.2
j	-	0.2
#>	ʃ_#>	0.189
p	-	0.182
ˈu	-	0.179
i	ɾ	0.17
e̯ˈa	ˈɛ	0.167
#>	ɐ_#>	0.162
ʃ	s_ˈa	0.154
o̯ˈa	ˈu	0.154
m	-	0.148
t	-	0.143
u	-	0.138
ˈi	ˈɐ	0.136
n	j	0.136
n	-	0.136
ˈa	ˈɛ	0.128
ə	ɨ	0.111
ə	u	0.111
i	ɐ	0.106
i	-	0.106
ˈa	ˈɐ	0.103
ˈa	ɐ	0.103
j	ĩ	0.1
r	ˈe	0.095
r	ʁ	0.095
p	β	0.091
n	w̃	0.091
i	j	0.085
s	-	0.083
r_i	ɫ	0.083
ˈu	ˈũ	0.071
ˈu	ˈõ	0.071
t	s	0.071
i	i	0.064
ˈa	ˈo	0.051
