Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	ɦ_ˈi	1.0
ˈɛɪ̯	-	1.0
ˈɔ	ˈɔ	1.0
ˈœː	ˈæ	1.0
ˈœ_l	w	1.0
ˈø	-	1.0
ˈyː	ˈiə̯	1.0
ˈeɪ̯	ˈeː	1.0
ˈaʊ̯_l	ˈu	1.0
ˈa	ˈɑ	1.0
ʒ	j	1.0
ɪ	ç	1.0
ɡ_r	ɦ_ɾ	1.0
ə	ʋ	1.0
ɐ_d	ɾ_d̥	1.0
z̥	z̥	1.0
z	z	1.0
v̥	ˈyː_v̥	1.0
t	t	1.0
s	s	1.0
r	ɾ	1.0
pʰ	-	1.0
p	p	1.0
kʰ	k	1.0
k	k	1.0
j	ɦ_j	1.0
i	ə_ɦ̥	1.0
d_ˈaʊ̯	d_ˈoː	1.0
d_n	t_n	1.0
b_m	p_n	1.0
aɪ̯	iə̯	1.0
<#_tʰ	<#_t	1.0
<#_h	<#	1.0
v	ʋ	0.913
n	n	0.894
f	v	0.839
ˈoː	ˈɒː	0.833
ˈiː	ˈi	0.833
l	l	0.8
m	m	0.783
b	b	0.714
ˈuː	ˈyː	0.692
ɐ	ɾ	0.69
ˈɪ	ˈɪ	0.667
ˈɛ	ˈæ	0.667
ˈøː	ˈøː	0.667
ˈeː	ˈeː	0.667
x	h	0.625
ˈaɪ̯	ˈiə̯	0.571
ˈɔʏ̯	ˈuə̯	0.556
ˈʊ	ˈu	0.545
ˈaʊ̯	ˈoː	0.524
ʃ	s	0.522
ˈʏ	ˈœ	0.5
ˈʏ	-	0.5
ŋ	ŋ	0.5
ˈaʊ̯	ˈuə̯	0.476
ˈɔʏ̯	ˈoː	0.444
ɡ	ɦ	0.444
ç	ɦ̥	0.444
ˈaː	ˈæ_ɾ	0.429
ɡ	k	0.407
x	ɦ̥	0.375
d	d	0.371
d	d̥	0.339
ˈɛ	-	0.333
ˈøː	-	0.333
ˈeː	-	0.333
ˈaɪ̯	ˈɛː	0.333
ŋ	ŋ_k	0.333
ç	-	0.333
ˈuː	-	0.308
ʃ	ʃ_h	0.304
d	t	0.29
ˈaː	ɾ	0.286
ˈaː	w	0.286
b	p	0.286
ˈʊ	ˈœ	0.273
ç	ɦ_ə	0.222
ˈɪ	ˈɛ	0.19
ˈʊ	-	0.182
ʃ	z	0.174
ɐ	ə_ɾ	0.172
ˈoː	ˈoː	0.167
ˈiː	-	0.167
ŋ	ɦ_n	0.167
f	v̥	0.161
ɡ	k_ə	0.148
ˈɪ	-	0.143
l	w	0.143
ɐ	ɾ_ə	0.138
m	v_n	0.13
ˈaɪ̯	ˈeː	0.095
v	v	0.087
m	m_n	0.087
n	n_d	0.076
l	-	0.057
