Walloon	Walloon	probability
ˈɛ̃ː	æɛ̯	1.0
ˈɛː_j	e	1.0
ˈɛ_l	ɛ_l	1.0
ˈɛ_j	ɪ_l	1.0
ˈɛ_#>	#>	1.0
ˈɑ̃	ã	1.0
ˈœ̃	ɥ_ẽɪ̯̃	1.0
ˈøː_#>	øʏ̯_#>	1.0
ˈeː	i	1.0
ʧ_#>	ʒ_#>	1.0
ʧ	ʃ	1.0
ʤ	ʒ	1.0
ʒ	z	1.0
ʃ_#>	#>	1.0
ʀ_w	ʁ_w	1.0
ɲː	ʒ_œ_n	1.0
ɡ	ɡ	1.0
ɛː	æɛ̯	1.0
ɔ̃	ɒ̃ʊ̯̃	1.0
ɔː	-	1.0
ɑ̃	-	1.0
v	v	1.0
t_#>	#>	1.0
s_t	t	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_ˈɛ	ɛɪ̯	1.0
j_ˈa	oʊ̯	1.0
j_#>	#>	1.0
i	-	1.0
f_#>	v_ʁ_#>	1.0
ẽ	ẽɪ̯̃	1.0
b	b	1.0
<#_ʀ	<#_ʁ	1.0
<#_s	<#_e	1.0
<#_k	<#	1.0
<#	<#_e	1.0
p	p	0.938
ʀ	ʁ	0.906
f	f	0.903
s	s	0.848
ˈɔ̃	ɒ̃ʊ̯̃	0.846
ˈi	i	0.833
ˈe	e	0.8
t	t	0.792
d	d	0.733
ˈẽ	ẽɪ̯̃	0.667
a	a	0.667
ʃ	s	0.636
ˈoː	-	0.625
ɲ	ɲ	0.625
ˈɛ̃	ã	0.615
ˈɛː	ɛ	0.6
ˈu	-	0.6
w_ˈa	ɑɔ̯	0.6
#>	øʏ̯_#>	0.556
w	w	0.545
ˈøː	aœ̯	0.5
ˈy	ɥ_i	0.5
ˈy	-	0.5
ˈa	a	0.5
ˈa	-	0.5
w_ˈɛ̃	æɛ̯	0.5
w_ˈɛ̃	ẽɪ̯̃	0.5
ˈɛ	ɛ	0.485
ɛ	-	0.467
ɔ	u	0.462
j	j	0.455
ˈɛː	-	0.4
ˈu	w	0.4
w_ˈa	ɑɔ̯_ʁ	0.4
ˈɛ̃	ẽɪ̯̃	0.385
ˈɔ	u	0.381
ˈoː	u	0.375
ɲ	ẽɪ̯̃	0.375
ˈɔː	æɛ̯	0.333
ˈɔ	-	0.333
ˈẽ	j_ẽɪ̯̃	0.333
w	-	0.318
ɔ	ɔ	0.308
d	ʣ	0.267
ˈøː	y	0.25
ˈøː	w	0.25
ˈiː	i	0.25
ɔ	-	0.231
#>	ɛ_#>	0.222
#>	ɒ̃ʊ̯̃_#>	0.222
ˈuː	œ_f	0.214
ˈuː	œ	0.214
ˈiː	e	0.208
ˈɔː	w	0.2
ˈɔː	-	0.2
ˈe	æɛ̯_ʁ	0.2
ɛ	œ	0.2
ɛ	æɛ̯	0.2
a	-	0.2
ˈɔ	ɔ	0.19
ˈɛ	ɪ	0.182
ˈɛ	æɛ̯	0.182
ʃ	ʃ	0.182
ʃ	t_ʁ	0.182
j	ɛ	0.182
j	æɛ̯	0.182
ˈi	-	0.167
ˈɔ̃	w_ẽɪ̯̃	0.154
ˈuː	ɔ	0.143
ˈuː	u_ʁ	0.143
ˈuː	u	0.143
ˈuː	-	0.143
w	æɛ̯	0.136
ˈɔː	oʊ̯	0.133
ˈɔː	a	0.133
ɛ	a	0.133
a	œ	0.133
ˈiː	ɛ	0.125
ˈiː	j_e	0.125
ˈiː	j	0.125
t	ʦ	0.125
f	v	0.097
ˈɔ	o	0.095
ˈɛ	a	0.091
s	t	0.091
j	l	0.091
j	-	0.091
ˈiː	ɪ	0.083
ˈiː	j_øʏ̯	0.083
t	d_ʁ	0.083
p	-	0.062
ˈɛ	-	0.061
s	z	0.061
ʀ	æɛ̯_ʁ	0.057
