Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ_ʃ	ˈe_s	1.0
ˈɛ_h	ˈɛ_rː	1.0
ˈũ	ˈu	1.0
ˈu_ɾ	ˈu_r	1.0
ˈo_ɡ	ˈɔ_k	1.0
ˈo_s	ˈɔ_sː	1.0
ˈo_d	ˈu_tː	1.0
ˈe_k	ˈɛ_kː	1.0
ˈe_j	ˈa	1.0
ˈe_h	e	1.0
ˈa_d	ˈa_t	1.0
ʃ_u	sː_u	1.0
ʃ_#>	#>	1.0
ɦ_v	r_b	1.0
ɦ	r	1.0
ɐ̃	-	1.0
w_ɾ	r	1.0
v_ˈe	v_ˈe	1.0
v_ˈa	v_ˈa	1.0
ũ	-	1.0
u_ʃ	i	1.0
p	p	1.0
õ	u_n	1.0
l	lː	1.0
k_ɐ	kː_a	1.0
j̃_#>	#>	1.0
j_ʃ_#>	j_#>	1.0
j_ʃ	ʧ_e	1.0
j_ɐ	n_a	1.0
j_t	tː	1.0
j_#>	e_#>	1.0
j	j	1.0
i_#>	#>	1.0
h_ʧ	r_t	1.0
d_ɐ	t_a	1.0
a_d	a_t	1.0
a_b	a_p	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_p_j	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
m	m	0.971
f	f	0.955
k	k	0.951
ˈa	ˈa	0.944
u	u	0.901
ɐ	a	0.884
h_#>	#>	0.857
t	t	0.84
v	v	0.833
s	s	0.806
ʒ	ɟ	0.786
ɾ	r	0.771
ˈo	ˈɔ	0.76
ˈɔ	ˈɔ	0.75
ʧ	t	0.714
ˈu	ˈu	0.692
ˈĩ	ˈi	0.667
n	n	0.667
e_ʃ	s	0.667
b	b	0.652
a	a	0.65
ˈi	ˈi	0.615
ˈɛ	ˈe	0.6
d	t	0.583
i	e	0.568
ˈe	ˈɛ	0.559
ˈɐ̃	ˈa	0.538
w	l	0.524
ˈẽ	ˈɛ_n	0.5
ʤ	d	0.5
ʤ	-	0.5
ɡ	k	0.5
o	u	0.5
j̃	ɲ	0.5
ẽ	u	0.5
ẽ	-	0.5
#>	e_#>	0.481
h	r_e	0.455
ʎ	ʎ	0.429
ʎ	c	0.429
z	-	0.429
d	d	0.417
ˈɛ	ˈɛ	0.4
ɡ	ɡ	0.389
j̃	n	0.389
e	i	0.389
e	-	0.389
w̃	n_u	0.364
h	r	0.364
ˈõ	ˈo	0.333
ˈẽ	ˈɛ	0.333
n	nː	0.333
e_ʃ	ʃ	0.333
ˈɐ̃	ˈa_n	0.308
ʃ	s	0.308
o	ˈɔ	0.3
ˈe	ˈe	0.294
ʧ	tː	0.286
z	ʧ	0.286
z	z	0.286
w	w	0.286
w̃	e	0.273
b	p	0.261
#>	u_#>	0.259
#>	a_#>	0.259
ˈõ	ˈɔ_n	0.25
ˈõ	ˈɔ	0.25
a	ˈa	0.25
i	u	0.243
ˈo	ˈo	0.24
ˈi	ˈɛ	0.231
ʃ	ʧ_e	0.231
e	e	0.222
ʒ	-	0.214
o	-	0.2
i	i	0.189
w̃	n_e	0.182
w̃	n	0.182
h	e	0.182
ɾ	e_r	0.171
ˈõ	ˈu	0.167
ˈĩ	ˈi_ŋ	0.167
ˈĩ	ˈi_n	0.167
ˈẽ	n	0.167
t	tː	0.16
ˈu	ˈo	0.154
ˈu	-	0.154
ˈi	-	0.154
ʃ	f_j	0.154
ʃ	e	0.154
ʃ	c	0.154
ˈɔ	ˈo	0.15
ˈe	-	0.147
ʎ	-	0.143
h_#>	ˈa_#>	0.143
ɡ	kː	0.111
j̃	-	0.111
ˈɔ	ˈɔ_d	0.1
a	-	0.1
w	u	0.095
w	l_u	0.095
b	v	0.087
s	ʦː	0.083
ˈɐ̃	ˈo	0.077
ˈɐ̃	ˈa_ŋ	0.077
v	b	0.067
v	-	0.067
ɾ	-	0.057
ˈa	l	0.056
s	ʧː	0.056
s	ʦ	0.056
u	-	0.055
