Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɪ_ç	ˈɛ	1.0
ˈɪ_t	ð̞ˠ	1.0
ˈɛː	ˈɑ_jˀ	1.0
ˈɔɪ̯	ˈæ	1.0
ˈøː	ˈoˀ	1.0
ˈuː_#>	#>	1.0
ˈoː	-	1.0
ˈiː_#>	#>	1.0
ˈeː_r	ˈɑˀ	1.0
ˈe_d	ˈœˀ_ð̞ˠ	1.0
ˈaːɪ̯	ˈɛ	1.0
ˈaː	j_ˈɑ_j	1.0
ʤ	ɡ̊	1.0
ʍ	ʋ	1.0
ɪ	i	1.0
ɡ	ɡ̊	1.0
ə_n	ə_n	1.0
ŋ_k	ɡ̊_ə	1.0
ð_ə	ɐ	1.0
ð	-	1.0
ç_t	d̥	1.0
ç	-	1.0
z	s_ə	1.0
x	-	1.0
w_ˈa	ʋ	1.0
v_ə	w	1.0
tʰ	ʦʰ	1.0
s_w	s	1.0
s	s	1.0
r_ˈi	ʁ	1.0
r_n	ɐˀ_n	1.0
r_d	ɐˀ	1.0
r_#>	#>	1.0
pʰ	pʰ	1.0
p_#>	b̥_#>	1.0
l_d	lˀ	1.0
kʰ	kʰ	1.0
i	-	1.0
e	e	1.0
b	b̥	1.0
<#_r	<#_ʁ	1.0
<#_j	<#	1.0
<#_d	<#_d̥	1.0
l	l	0.917
ˈeː	-	0.889
h	h	0.87
f	f	0.833
m	m	0.818
ʃ	s_ɡ̊	0.778
d	ð̞ˠ	0.733
ˈa	-	0.727
ˈo	-	0.7
w	ʋ	0.684
ˈaɪ̯	-	0.667
n	n	0.659
θ	ʦʰ	0.625
ŋ	ŋˀ	0.625
n_d	nˀ	0.625
ˈeː_#>	ˈɔˀ_#>	0.6
p	b̥_ə	0.6
ˈəi̯	ˈiˀ	0.538
ˈø	ˈoˀ	0.5
ˈø	-	0.5
ə_r	ʌ	0.5
ə_r	ɐ	0.5
j	ɡ̊	0.5
j	-	0.5
t	d̥	0.475
ˈu	-	0.467
ˈɑː	-	0.455
ˈe	ˈeˀ	0.438
ə	ə	0.429
t	ð̞ˠ	0.425
ˈɛ	ˈɛ	0.412
ˈu	ˈuˀ	0.4
ˈeː_#>	#>	0.4
p	b̥	0.4
#>	ɡ̊_ə_#>	0.4
#>	j_#>	0.4
r	ʁ	0.39
r	ɐ	0.39
ŋ	ŋ	0.375
n_d	n_ə	0.375
ˈʌ	ˈɔ	0.364
ˈʌ	-	0.364
ˈɑː	ˈa	0.364
k	j	0.364
ˈɪ	ˈe	0.333
ˈuː	ˈu_lˀ	0.333
ˈuː	ˈoˀ	0.333
ˈuː	-	0.333
ˈaɪ̯	ˈɶˀ	0.333
ˈi	-	0.318
w	-	0.316
ˈiː	-	0.308
ˈo	ˈo	0.3
ə	w	0.286
ə	-	0.286
ˈʌ	ˈʌ	0.273
ˈa	ˈɑ	0.273
k	ɡ̊	0.273
d	-	0.267
ˈɪ	-	0.25
ˈe	-	0.25
ˈɛ	-	0.235
ˈiː	ˈɛˀ	0.231
ˈi	ˈœˀ	0.227
ʃ	s	0.222
#>	w_#>	0.2
θ	ð̞ˠ	0.188
ˈɑː	ˈʌ	0.182
k	w	0.182
k	kʰ	0.182
ˈɛ	ˈeˀ	0.176
ˈɛ	ˈe	0.176
n	n_ə	0.159
ˈəi̯	ˈuˀ	0.154
ˈəi̯	ˈiː	0.154
ˈəi̯	-	0.154
ˈiː	ˈøː	0.154
ˈiː	ˈyː_w	0.154
ˈiː	ˈyˀ	0.154
ˈi	ˈøː	0.136
ˈi	ˈyˀ	0.136
ˈu	ˈuː	0.133
h	j	0.13
θ	nˀ	0.125
ˈe	ˈɑ_jˀ	0.125
ˈe	ˈa	0.125
n	nˀ	0.114
ˈɪ	ˈœ	0.111
ˈeː	ˈæˀ	0.111
t	-	0.1
r	-	0.098
ˈi	ˈɔˀ	0.091
ˈi	ˈœ	0.091
m	m_ˈɔː	0.091
m	-	0.091
ˈɪ	ˈø	0.083
l	lˀ	0.083
f	w	0.083
f	lˀ_ʋ	0.083
r	ɐˀ	0.073
n	-	0.068
θ	ʨ	0.062
ˈe	ˈaː	0.062
ˈɪ	ˈoˀ	0.056
ˈɪ	ˈi	0.056
ˈɪ	ˈeˀ	0.056
ˈɪ	ˈa	0.056
