Romansch	Portuguese	probability
a	ɐ	1.0
b	b	0.845
b	v	0.085
b	k	0.069
d	d	0.477
d	ð	0.377
d	z	0.062
e	ɨ	1.0
eː	ˈe	0.242
f	f	0.694
f	v_ɨ	0.13
f	v_u	0.067
f	-	0.051
f	ʃ	0.051
i	ɨ	0.415
i	u	0.167
i	i	0.118
i	j	0.114
i	-	0.078
j	ˈe	0.336
j	-	0.221
j	j	0.133
j	ɣ	0.069
j	ˈo_ɣ	0.06
j	ˈɛ	0.06
k	k	0.769
k	ɣ_u	0.087
k	ʃ	0.087
l	l	0.523
l	-	0.232
l	ɫ	0.107
l_ˈa	ˈa	1.0
m	m	0.889
n	-	0.372
n	n	0.365
n	ɲ	0.096
n	w̃	0.063
n_t	d	1.0
n_ˈa	n	1.0
o	u	0.461
o	-	0.147
o	ɔ	0.147
p	p	1.0
p_l	ʃ	1.0
r	ɾ	0.758
r	ʁ	0.101
r	ɾ_u	0.084
r_s	s	1.0
s	s	0.584
s	ʃ	0.363
t	t	0.503
t	t_u	0.119
t	t_ɨ	0.103
t	ð_ɨ	0.069
t	ð_u	0.063
t	ð	0.05
u	w	0.202
u	-	0.134
u	õ	0.134
u	ɐ	0.134
u	u	0.124
u	ɔ	0.097
u	o	0.068
v	v	0.821
v	β	0.153
w	w	0.385
w	w̃	0.233
w	β	0.118
w	j	0.09
w	-	0.087
w	ɫ	0.057
z	t	0.574
z	z	0.283
ŋ	-	0.45
ŋ	ĩ	0.297
ŋ	ɡ	0.182
ə	ɐ	0.629
ə	-	0.162
ə	ɨ	0.06
ə_ʥ	ɐ	1.0
ɡ	ɡ	0.603
ɡ	ɣ	0.207
ɡ	-	0.086
ɡ	ʒ	0.086
ɲ	ɲ	0.457
ɲ	ɲ_u	0.385
ɲ	-	0.108
ʃ	ʃ	0.413
ʃ	i_ʃ	0.22
ʃ	ʒ	0.12
ʃ	-	0.113
ʃ	z	0.077
ʎ	ʎ_u	0.467
ʎ	ʎ	0.336
ʎ	l	0.163
ʒ_ɡ	v	1.0
ʥ	ʒ	0.394
ʥ	-	0.168
ʥ	b	0.168
ʥ	ɡ	0.114
ʥ	ɣ	0.114
ʥ_ə	ɐ	1.0
ʦ	s_u	0.324
ʦ	-	0.186
ʦ	j	0.186
ʦ	t	0.186
ʦ	j_t	0.086
ʧ	s	0.763
ʧ	s_u	0.115
ʧ	k	0.089
ʨ	k	0.675
ʨ	k_u	0.096
ʨ	t_u	0.088
ʨ	t_ɨ	0.088
ʨ	-	0.053
ˈa	ˈa	0.374
ˈa	-	0.193
ˈa	ˈɐ̃	0.15
ˈa	ˈɐ	0.121
ˈa	ˈo	0.089
ˈa_n	ˈɐ̃	1.0
ˈa_w	ˈɐ̃	1.0
ˈaː	ˈa	0.909
ˈaː	ˈe	0.09
ˈe	ˈɐ	0.307
ˈe	ˈe	0.294
ˈe	ẽ	0.075
ˈe	ˈa	0.075
ˈe	ˈo	0.075
ˈe	ˈɛ	0.061
ˈe	ɨ	0.05
ˈeː	ˈɛ	0.53
ˈeː	ˈe	0.186
ˈeː	ˈɨ	0.172
ˈi	ˈi	0.411
ˈi	ˈu	0.233
ˈi	ˈɛ	0.09
ˈi	ˈe	0.076
ˈi	ɨ	0.052
ˈiː	ˈi	0.334
ˈiː	i	0.253
ˈiː	ˈu	0.253
ˈiː	ˈe	0.101
ˈo	ˈo	0.66
ˈo	ˈu	0.16
ˈoː	ˈɔ	0.492
ˈu	ˈo	0.438
ˈu	ˈu	0.229
ˈu	ˈɔ	0.196
ˈu	ˈɐ̃	0.069
ˈu_n	ˈõ	1.0
ˈuɔ̯	ˈo	0.242
ˈuː	ˈo	1.0
ˈɔ	ˈo	0.35
ˈɔ	ˈɔ	0.28
ˈɔ	u	0.111
ˈɔ	ˈɐ̃	0.056
ˈɔː	ˈo	0.488
ˈɔː	ˈɔ	0.28
ˈɔː	ˈɐ	0.172
ˈɛ	ˈɛ	0.428
ˈɛ	ˈɐ	0.216
ˈɛ	ˈe	0.14
ˈɛ	ˈo	0.103
ˈɛ	ˈẽ	0.052
ˈɛ_n	ˈẽ	0.641
ˈɛ_n	ˈĩ	0.289
ˈɛ_w	u	0.733
ˈɛ_w	ˈĩ	0.186
ˈɛː	ˈɛ	1.0
