Westphalian	Westphalian	probability
ˈɪə̯	ˈiː	1.0
ˈɛː	j	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈɑ	1.0
ˈɒː	ˈɑː	1.0
ˈø	ˈɛ	1.0
ˈyːœ̯	ˈoː	1.0
ˈyə̯	ˈʉ	1.0
ˈuː	ˈʉː	1.0
ˈuə̯	-	1.0
ˈoː	ˈuː	1.0
ˈiɛ̯	-	1.0
ɪ	i	1.0
ɣ	-	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
ç_#>	#>	1.0
ç	tː	1.0
z̥_#>	#>	1.0
z̥	s	1.0
z	s	1.0
v_ˈʊ	ˈʉ	1.0
t_n	t_ə	1.0
t_#>	#>	1.0
n_n	nː_ə	1.0
n_#>	#>	1.0
l_#>	l_#>	1.0
k_ə	k	1.0
k_n	ɪ	1.0
f	f	1.0
d_ɐ	ɾ	1.0
aɪ̯	ə	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
d̥_#>	#>	0.923
b	b	0.913
p	p	0.889
r	ɾ	0.882
h	h	0.882
ə	ə	0.875
s	s	0.857
ŋ	ŋː	0.818
v	ʋ	0.783
ˈa	ˈɑ	0.727
ɡ	-	0.714
ʃ	s	0.696
ˈiː	ˈiː	0.692
l	l	0.686
x	ɡ	0.667
ˈʊ	ˈʉ	0.636
ˈaɪ̯	ˈyː	0.636
ˈuːə̯	-	0.6
ˈaː	ˈɑː	0.6
m	m	0.6
ˈɪ	ˈɪ	0.591
ˈaʊ̯	ˈøː	0.583
t	t	0.577
ɐ	ɾ	0.552
k	k	0.52
ˈʏ	ˈʏ	0.5
ˈʏ	-	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈøː	ˈœ	0.5
ˈøː	ˈøː	0.5
ˈyː	ˈʏ	0.5
ˈyː	ˈyː	0.5
ˈeː	ˈæɪ̯	0.5
ˈaɪ̯_#>	ˈeː_#>	0.5
ˈaɪ̯_#>	#>	0.5
ʋ	ʋ	0.5
ʋ	-	0.5
ˈɪɛ̯	-	0.455
d	d	0.433
ˈuːə̯	ˈœ	0.4
ˈaː	ˈɑ	0.4
d	tʰ	0.4
ˈaɪ̯	-	0.364
n	n	0.346
ˈaʊ̯	-	0.333
l	lː	0.314
ɐ	ə_ɾ	0.31
n	ə	0.308
ˈeː	-	0.3
ɡ	ɡː	0.286
k	kʰ	0.28
ˈɪɛ̯	ˈɛ	0.273
m	mː	0.25
n	nː	0.231
ˈeː	ˈeː	0.2
x	j	0.2
t	tː	0.192
ˈʊ	ˈʉː	0.182
ˈʊ	ˈɔ	0.182
ˈɪɛ̯	ˈeː	0.182
ˈɪ	-	0.182
ŋ	-	0.182
ʃ	ʂ	0.174
d	-	0.167
ˈiː	ˈyː	0.154
ˈiː	-	0.154
m	ɾ_m	0.15
s	ʂ	0.143
ɐ	ɾ_ə	0.138
ˈɪ	ˈiː	0.136
x	-	0.133
ʃ	s_k	0.13
v	-	0.13
ə	-	0.125
k	ç	0.12
r	ɾ_ˈœ	0.118
h	j	0.118
t	-	0.115
p	pː	0.111
ˈɪɛ̯	ˈæ	0.091
ˈɪ	ˈɛ	0.091
ˈa	ˈɛ	0.091
ˈa	ˈɔ	0.091
ˈa	ˈɑː	0.091
v	ˈʉː	0.087
b	-	0.087
ˈaʊ̯	ˈœʏ̯	0.083
k	kː	0.08
t	ʈ	0.077
d̥_#>	d_#>	0.077
