Proto-Germanic	Proto-Germanic	probability
θ_s_#>	#>	1.0
θ	d	1.0
β_ɑ̃	v̥	1.0
β_ɑ	m	1.0
ˈɛː	ˈoː	1.0
ˈɑː	ˈoː	1.0
ˈɑ_ŋ	ˈa	1.0
ˈɑ_x	ˈoː	1.0
ˈɑ_r	ˈaː	1.0
ˈɑ_n	ˈeː_n	1.0
ˈɑ_l	ˈaː	1.0
ˈu_ŋ	ˈʊ	1.0
ˈu_r	ˈaʊ̯_ɐ	1.0
ˈĩː	ˈɪ	1.0
ˈiː_n	ˈiː_n	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈi_ŋ	ˈɪ	1.0
ˈeː	ˈiː	1.0
ˈe_k	ˈɪ_ɡ	1.0
ɸ	f	1.0
ɣ_l	ɡ_l	1.0
ɣ_j	ç	1.0
ɡʷ	ŋ	1.0
ɡ	ŋ	1.0
ɛː	ɐ	1.0
ɔ̃ː_#>	#>	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	ˈɪ_n	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ɑ_n	m	1.0
ŋ	ŋ	1.0
z_#>	#>	1.0
z	-	1.0
x_t	x_d	1.0
x_r	r	1.0
u	-	1.0
tː	-	1.0
t_ɑ	d	1.0
t_i	d	1.0
s_ɑ̃	z̥	1.0
s_t	s	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɑ̃	ɐ	1.0
r_ɑ	ɐ	1.0
r_u	ɐ	1.0
r_#>	#>	1.0
pː	b	1.0
nː	n	1.0
n_θ	n	1.0
n_ɑ̃_#>	#>	1.0
n_u	n	1.0
n_d	n	1.0
n	n	1.0
mː	ˈø	1.0
lː	l	1.0
l	l	1.0
kː	ɡ	1.0
kʷ	-	1.0
k_ɑ	ɡ	1.0
k_i	ɡ	1.0
jː	ˈaɪ̯	1.0
j_ˈuː	ˈɛː	1.0
iː	-	1.0
i_w	i	1.0
i	-	1.0
d	d	1.0
b	b	1.0
<#_θ	<#_d	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_d	1.0
#>	ɐ_#>	1.0
j	-	0.913
ð	d	0.882
m	m	0.867
ˈuː	ˈuː	0.857
ɑ	-	0.833
k	ɡ	0.818
p	b	0.8
w	v	0.758
ˈeu̯	ˈaɪ̯	0.75
β	f	0.714
ˈɑu̯	ˈaʊ̯	0.706
ɣ_ɑ	ç	0.667
e	ɐ	0.667
x	h	0.655
ˈi	ˈɪ	0.6
ˈɑ	ˈa	0.564
ˈɑi̯	ˈaɪ̯	0.562
t	d	0.55
ˈɔː	ˈaʊ̯	0.529
r	r	0.514
xʷ	v	0.5
xʷ	-	0.5
s	z	0.467
t	t	0.45
ˈɔː	ˈɔʏ̯	0.353
ɣ_ɑ	x	0.333
e	aɪ̯	0.333
r	ɐ	0.324
ˈu	ˈʊ	0.316
ɣ	ŋ	0.308
β	v	0.286
ˈeu̯	-	0.25
s	ʃ	0.244
w	-	0.242
ˈu	ˈʏ	0.237
ɣ	ɡ	0.231
ɣ	ç	0.231
ˈu	ˈɔ	0.211
ˈe	ˈɛ	0.208
ˈe	ˈeː	0.208
ˈe	ˈaɪ̯	0.208
ˈe	-	0.208
ˈɑ	ˈoː	0.205
p	pʰ	0.2
ˈɑi̯	ˈɪ	0.188
k	k	0.182
ˈɑu̯	ˈɔʏ̯	0.176
x	-	0.172
ˈi	ˈiː	0.16
ˈi	-	0.16
ɣ	-	0.154
ˈuː	-	0.143
m	-	0.133
ˈɑi̯	ˈeɪ̯	0.125
ˈɑi̯	-	0.125
ˈɔː	-	0.118
ˈɑu̯	-	0.118
ð	-	0.118
s	z̥	0.111
s	s	0.111
r	-	0.108
ˈu	ˈøː	0.105
ˈɑ	ˈɛ	0.103
x	ç	0.103
j	ʒ	0.087
ˈe	ˈʏ	0.083
ˈe	ˈoː	0.083
ɑ	ɪ	0.083
ɑ	ɐ	0.083
ˈi	ˈeː	0.08
ˈu	-	0.079
ˈɑ	ˈaʊ̯	0.077
ɣ	j	0.077
x	x	0.069
s	-	0.067
r	ˈaː	0.054
ˈɑ	-	0.051
