Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	ˈɐ	1.0
ˈʉː_#>	ˈaʊ̯_#>	1.0
ˈɔ_ɾ	ˈɔː	1.0
ˈœʏ̯	ˈiː	1.0
ˈøː_j	ˈaɪ̯	1.0
ˈuː_ɳ	ˈɔː_n	1.0
ˈeː_#>	ˈiː_#>	1.0
ˈeː	-	1.0
ʋ_ə	v	1.0
ʋ_#>	f_#>	1.0
ʈː	ˈɑː_t	1.0
ʈ	t	1.0
ɾ_ˈɛ	ɜː	1.0
ɾ_ə	ə	1.0
ɪ	-	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	-	1.0
tː	t	1.0
t	t	1.0
s_ə	z	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
s	s	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kː	ŋ_k	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈɐ	1.0
<#_ɾ	<#_ɹ	1.0
<#_j	<#	1.0
n	n	0.933
ə	-	0.863
l	l	0.844
ʋ	w	0.84
lː	ɫ	0.8
<#	<#_w	0.778
ˈʏ	ˈɪ	0.714
k	k	0.692
ˈɑː	ˈeɪ̯	0.667
ˈæɪ̯	ˈəʊ̯	0.667
ə_ɾ	ə	0.667
#>	d_#>	0.607
ˈɔ	-	0.6
ˈæː	-	0.6
nː_ə	n_d	0.6
ɡː	ʤ	0.571
ˈɪ	ˈɪ	0.533
tʰ	θ	0.526
ˈʉː	ˈaʊ̯	0.5
ˈiː	ˈaɪ̯	0.5
ʂ	ʃ	0.5
ʂ	s	0.5
nː	n	0.5
j	ɡ	0.5
j	h	0.5
<#_ˈɛ	<#_ˈe	0.5
<#_ˈɛ	<#	0.5
tʰ	tʰ	0.474
ɡ	ɡ	0.438
ɾ	ɹ	0.432
ˈʉ	ˈɐ	0.429
ˈøː	ˈiː	0.429
ˈøː	ˈe	0.429
ɡː	-	0.429
ˈœ	ˈiː	0.417
ˈɔ	ˈɐ	0.4
ˈæː	ˈe_ð	0.4
nː_ə	n	0.4
ˈɛ	ˈe	0.368
ˈuː	ˈuː	0.357
ɾ	ə	0.341
ˈɪ	ˈaɪ̯	0.333
ˈɑː	ˈɑː	0.333
ˈæɪ̯	ˈeɪ̯	0.333
ə_ɾ	d_ə	0.333
ˈɛ	-	0.316
ɡ	-	0.312
nː	n_d	0.312
ˈyː	ˈɪ	0.308
ˈyː	ˈaɪ̯	0.308
ˈɑ	ˈæ	0.304
ˈʏ	-	0.286
ˈiː	ˈɪ	0.278
ˈoː	ˈəʊ̯	0.267
ˈœ	ˈɪ	0.25
ˈyː	ˈiː	0.231
<#	<#_j	0.222
ˈɑ	ˈɔː	0.217
ˈʉː	ˈaɪ̯	0.214
ˈʉ	ˈʊ	0.214
ˈʉ	ˈaʊ̯	0.214
ˈuː	ˈʊ	0.214
ˈoː	ˈuː	0.2
ˈoː	ˈiː	0.2
ˈoː	-	0.2
lː	l	0.2
nː	-	0.188
#>	θ_#>	0.179
ˈɑ	ˈɑː	0.174
ˈɑ	-	0.174
ˈœ	ˈɐ	0.167
ˈœ	-	0.167
ˈɛ	ˈəʊ̯	0.158
ˈɛ	ˈaɪ̯	0.158
l	ɫ	0.156
ˈyː	-	0.154
k	ʧ	0.154
k	-	0.154
ˈʉː	ˈɒ	0.143
ˈʉː	ˈe	0.143
ˈʉ	-	0.143
ˈøː	ˈɪ	0.143
ˈuː	ˈɜː	0.143
ˈuː	ˈɐ_ð	0.143
ˈuː	-	0.143
#>	f_#>	0.143
ˈɪ	-	0.133
ˈoː	ˈɪ	0.133
ˈɑ	ˈɒ	0.13
ɡ	əʊ̯	0.125
ɡ	j	0.125
ɾ	-	0.114
ˈiː	ˈiː	0.111
ˈiː	-	0.111
ʋ	v	0.08
ʋ	-	0.08
#>	ˈuː_#>	0.071
ɾ	ˈɔː	0.068
n	-	0.067
ə	ə	0.059
