Québécois French	Québécois French	probability
ʣ	d	1.0
ʊ	-	1.0
ʃ	ʃ	1.0
ʁ_s	ʁ_s	1.0
ɲ	ɲ	1.0
ɥ	w	1.0
ɡ	ɡ	1.0
ɛɪ̯	ˈe	1.0
ɛ_#>	ˈe_#>	1.0
œ̃ʏ̯̃	j_ˈɔ̃	1.0
æɛ̯_ʁ	ˈe_ʁ	1.0
z	z	1.0
y_ʁ	ˈy	1.0
w_ɛ	ˈɛː	1.0
v_æɛ̯	v_ˈɛ	1.0
v	v	1.0
t	t	1.0
s_#>	s_ə_#>	1.0
p	p	1.0
o	ˈoː	1.0
n	n	1.0
m_#>	m_a_#>	1.0
m	m	1.0
l_ʏ	l	1.0
l_#>	#>	1.0
j_#>	ʎ_ə_#>	1.0
i_ʁ	ˈi	1.0
f_#>	f_#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_l	a_l	1.0
<#_ʁ	<#_ʁ	1.0
<#_ɔ	<#_ˈo	1.0
<#_a	<#_a	1.0
<#	<#_ˈɑː	1.0
s	s	0.947
k	k	0.917
ɒ̃ʊ̯̃	ˈɔ̃	0.846
e_#>	ˈa_#>	0.8
l	l	0.786
ʁ	ʁ	0.688
ɑ	ˈa	0.667
i	ˈi	0.632
w	w	0.625
ɔ	ˈɔ	0.571
y	ˈu	0.571
ɛ	ˈɛ	0.55
ɪ	ˈe	0.538
j	j	0.526
oʊ̯	ˈe_l	0.5
aœ̯	ˈø	0.5
aœ̯	-	0.5
a	ˈa	0.474
ʒ	ð	0.471
ɪ	ˈi	0.462
#>	ʃ_#>	0.438
ɔ	ɔ	0.429
øʏ̯	w	0.429
y	-	0.429
ẽɪ̯̃	ˈɛ̃	0.429
ã	ˈɑ̃	0.421
a	a	0.421
ɑɔ̯	ˈoː	0.4
œ	ə	0.4
w	-	0.375
ã	ˈɛ̃	0.368
ʒ	ʒ	0.353
e	e	0.35
ɑ	ɑː	0.333
ẽɪ̯̃	ˈĩ	0.333
u	o	0.318
oʊ̯	ˈoː	0.312
ɑɔ̯	ˈø	0.3
ɑɔ̯	-	0.3
e	j_ˈe	0.3
øʏ̯	ˈu	0.286
øʏ̯	w_ˈe	0.286
u	ˈo	0.273
œ	-	0.267
j	-	0.263
i	-	0.263
ɛ	-	0.25
ẽɪ̯̃	ˈɑ̃	0.238
u	ˈu	0.227
æɛ̯	ˈɛː	0.226
j	ʎ	0.211
ɛ	ˈe	0.2
œ	w_ˈe	0.2
e_#>	#>	0.2
oʊ̯	-	0.188
#>	ˈa_#>	0.188
#>	s_#>	0.188
#>	l_#>	0.188
u	ˈoː	0.182
ʒ	ð_o	0.176
l	l_a	0.167
æɛ̯	ˈa	0.161
ɒ̃ʊ̯̃	ɔ̃	0.154
e	ˈaː	0.15
œ	ˈoː	0.133
æɛ̯	ˈe	0.129
æɛ̯	ˈaː	0.129
æɛ̯	ɛ	0.129
ʁ	ð_ə	0.113
ʁ	ð	0.113
i	ˈe	0.105
ã	ˈĩ	0.105
a	-	0.105
e	j	0.1
e	i	0.1
æɛ̯	ˈɑː	0.097
k	-	0.083
æɛ̯	ˈa_j	0.065
æɛ̯	-	0.065
ʁ	ʁ_a	0.062
s	ʃ	0.053
ã	ɛ̃	0.053
ã	ɑ̃	0.053
