Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ_j̃	ʤ	1.0
ˈũ	ˈu	1.0
ˈõ	ˈo_ŋ	1.0
ˈo_ʃ	ˈo_s	1.0
ˈo_j	ˈɔ	1.0
ˈĩ_j̃	ˈi_n	1.0
ˈe_w	ˈi_o	1.0
ˈa	ˈa	1.0
ʧ_i	t	1.0
ʧ	-	1.0
ʤ	d	1.0
ʎ_ɐ	a	1.0
ʃ_#>	#>	1.0
ɾ_ɐ	r_a	1.0
ɾ_u	r_o	1.0
ɦ_v	r_b	1.0
ɦ_m	r_m	1.0
ɦ	r	1.0
ɐ_#>	#>	1.0
w̃	ŋ	1.0
w_ɐ	w_a	1.0
v	v	1.0
ũ	-	1.0
u_#>	#>	1.0
t_ˈa	t_ˈa	1.0
t	t	1.0
p	p	1.0
õ	o	1.0
o	o	1.0
n	n	1.0
l	l	1.0
k	k	1.0
j_ɐ	n_a	1.0
j	-	1.0
ĩ	i_ŋ	1.0
i_#>	#>	1.0
f	f	1.0
ẽ	-	1.0
e_ʃ	s	1.0
e_s	s	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_h	<#_r	1.0
ɐ	a	0.923
m	m	0.909
h	r	0.892
ɾ	r	0.85
ɡ	ɡ	0.818
u	o	0.808
d	d	0.8
ˈo	ˈo	0.792
ʒ	ð	0.778
ˈi	ˈi	0.769
a	a	0.75
ʎ	ʧ	0.714
ˈu	ˈu	0.7
b	b	0.684
ˈɔ	ˈo	0.667
ˈe_j	ˈɛ	0.667
ˈe	ˈe	0.667
ˈɐ̃	ˈa	0.632
z	z	0.625
e	e	0.625
ˈɛ	ˈɛ	0.619
#>	l_#>	0.6
s	s	0.581
ˈĩ	ˈi	0.571
w	l	0.533
ˈẽ	ˈe	0.5
ʃ	s	0.5
j̃	ŋ	0.5
j_ʃ	z_e	0.5
j_ʃ	s	0.5
i	e	0.5
ˈĩ	ˈi_ŋ	0.429
s	θ	0.419
#>	e_#>	0.4
z	-	0.375
e	-	0.375
i	o	0.357
ˈɔ	ˈɔ	0.333
ˈe_j	ˈa	0.333
b	v	0.316
ˈu	-	0.3
ˈẽ	ˈe_ŋ	0.3
ˈɛ	j_ˈe	0.286
ʎ	j	0.286
w	-	0.267
j̃	ɲ	0.25
j̃	n	0.25
a	ˈa	0.25
ˈi	-	0.231
ʒ	z	0.222
ʃ	p_j	0.214
ˈo	ˈɔ	0.208
ˈẽ	ˈɛ_n	0.2
ˈe	e	0.2
w	w	0.2
d	-	0.2
ˈɐ̃	ˈa_ŋ	0.158
ɾ	-	0.15
ʃ	ʧ	0.143
ʃ	f_j	0.143
i	-	0.143
u	ŋ	0.115
h	e_r	0.108
ˈɐ̃	ˈo	0.105
ˈɐ̃	ˈa_n	0.105
ˈɛ	ˈe	0.095
ɡ	k	0.091
ɡ	i_ɡ	0.091
m	-	0.091
ɐ	n_a	0.077
u	-	0.077
ˈe	ˈɛ	0.067
ˈe	ˈi	0.067
