Afrikaans	Afrikaans	probability
ˈʊə̯_d̥	ˈɛːi̯_j	1.0
ˈɪø̯	-	1.0
ˈɛː	-	1.0
ˈɛ_n	n	1.0
ˈɛ	ˈɛ	1.0
ˈœu̯	-	1.0
ˈæː	-	1.0
ˈyː	ˈʊ̯iː	1.0
ˈu_d̥	ˈɔːu̯_w	1.0
ˈoː	ˈɛːi̯	1.0
ˈi_n	ˈʊ_ʤ̊ː	1.0
ə_r	a_ɹ	1.0
ŋ_k	ʰk	1.0
v	v	1.0
t_ə	ʰt͡n̥	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ə	ˈɔ	1.0
r_#>	#>	1.0
n_d̥	nː	1.0
j	-	1.0
i	-	1.0
d_r	d̥_ɹ	1.0
b	b̥	1.0
<#_χ	<#_ɡ̊	1.0
<#_ˈɔ	<#_ˈʊ	1.0
<#_ɫ	<#_l	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#	<#_kʰ	1.0
m	m	0.913
r	ɹ	0.907
ɦ	h	0.9
s	s	0.843
ˈəɪ̯	ˈʊ̯iː	0.692
ɫ	l	0.686
ˈœ	ˈɪ	0.667
v̥	f	0.667
ˈœɪ̯	ˈʉːu̯	0.625
n	n	0.6
t	t	0.581
d̥	-	0.55
ŋ	ŋ_ɡ̊	0.538
ˈɔ	ˈʊ	0.526
#>	ʊ_ɹ_#>	0.504
p	p	0.5
k	k	0.5
ˈə	ˈɪ	0.474
ˈu	ˈøː	0.455
d̥	d̥	0.45
#>	a_#>	0.443
d	d̥	0.423
ˈɑː	ˈɔ̯aː	0.412
p	ʰp	0.4
ˈœɪ̯	-	0.375
ˈi	-	0.357
ˈɑː	ˈɛːa̯	0.353
ˈa	ˈa	0.344
ˈœ	-	0.333
ˈə	-	0.316
ˈʊə̯	-	0.312
d	tʰ	0.308
t	ʰt	0.29
ə	ɪ	0.286
ˈɪə̯	-	0.278
ˈʊə̯	ˈɔːi̯	0.25
ˈæ	ˈɛ	0.25
ˈæ	ˈœ	0.25
ˈæ	ˈeː	0.25
ˈæ	-	0.25
v̥	v	0.25
ˈɑː	ˈa	0.235
ŋ	ŋ	0.231
ˈɪə̯	ˈai̯	0.222
ˈa	ˈɛːa̯	0.219
ˈi	ˈʊ̯iː	0.214
ˈə	ˈiː	0.211
ˈɔ	ˈɔ	0.211
χ	ʤ̊	0.19
ə	ʊ	0.19
ə	-	0.19
ˈʊə̯	ˈɔ̯aː	0.188
ˈa	ˈɔ	0.188
ˈu	ˈɛ_ɡ̊	0.182
ˈu	ˈɔːu̯_w	0.182
ˈu	ˈɔːu̯	0.182
n	-	0.175
ɫ	t͡l̥	0.171
ˈɪə̯	ˈiː	0.167
ˈɔ	-	0.158
ˈəɪ̯	ˈaːi̯	0.154
ˈəɪ̯	ˈai̯	0.154
ŋ	t͡n̥	0.154
n	nː	0.15
k	ʧ	0.15
χ	ʰt	0.143
χ	v̥	0.143
χ	v	0.143
ˈi	ˈʉːu̯	0.143
ˈi	ˈɔːu̯	0.143
ˈi	ɡ̊	0.143
ə	ɹ	0.143
ˈʊə̯	ˈɛːi̯	0.125
ˈʊə̯	ˈoː	0.125
ˈa	ˈɛ	0.125
d	-	0.115
ˈɪə̯	ˈɛ_ɡ̊	0.111
ˈɪə̯	ˈeː_v	0.111
ˈɪə̯	ˈeː	0.111
ˈɔ	ˈœ	0.105
ɦ	j	0.1
p	pʰ	0.1
k	ʰk	0.1
k	ʧʰ	0.1
k	-	0.1
s	ʃ	0.098
χ	ʤ̊ː	0.095
χ	ɡ̊ː	0.095
χ	ɡ̊	0.095
χ	-	0.095
ə	ɡ̊_ʊ	0.095
ə	a	0.095
m	m_j	0.087
ɫ	l̥	0.086
v̥	v_ʊ	0.083
ŋ	ɲ	0.077
d	ʧʰ	0.077
d	tʰ_ˈʊ	0.077
n	n̥	0.075
t	ʈ	0.065
t	-	0.065
ˈa	ˈœ	0.062
ˈa	-	0.062
s	s_k	0.059
ɫ	ɡ̊_l	0.057
