Middle High German	East Frisian Low Saxon	probability
ˈɑ_s̻ː	ˈɒː_t	1.0
ˈɑ_l	ˈɔ_l	1.0
ˈøː	ˈøː	1.0
ˈæː	ˈæːɪ̯	1.0
ˈoː	ˈoː	1.0
ˈi_r	ˈiː	1.0
ˈeː	ˈɛːɪ̯	1.0
ˈe	-	1.0
ʦː	t	1.0
ʦ	t	1.0
ʃː	s_k	1.0
ʃ	s	1.0
ɡ̊	ɣ̊	1.0
ɡ_ə	ɣ̊	1.0
ɡ	ɡ	1.0
ɛ_h	ɑɪ̯	1.0
ə_r	ɐ	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	f	1.0
tː	d	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
s	z	1.0
rː	ˈøːø̯	1.0
r_ˈi	r_ˈɪ	1.0
r_ə	ɐ	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈoː	1.0
nː_ə	n	1.0
n_t	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈiə̯	l	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i	-	1.0
fː	p	1.0
f_ə	p	1.0
f	p	1.0
d̥	d̥	1.0
b̥	v̥	1.0
b	b	1.0
n	n	0.988
ə	-	0.911
b_ə	v	0.838
h	h	0.797
d	d	0.796
x	χ	0.771
ˈi	ˈɪ	0.737
w	v	0.724
ˈei̯	ˈæɪ̯	0.706
xː	k	0.702
ˈiː	ˈiː	0.688
ˈɑː	ˈɒː	0.687
ˈyə̯	ˈœy̯	0.662
ˈuə̯	ˈɑʊ̯	0.661
r	ɐ	0.639
ˈou̯	ˈoː	0.63
ˈuː	ˈuː	0.589
ˈyː	-	0.569
kː	ɣ̊	0.537
ˈu	ˈʊ	0.528
s_ə	z	0.519
s_ə	z̥	0.481
ˈiə̯	ˈæɪ̯	0.466
kː	k	0.463
ˈɑ	ˈɑ	0.444
t	t	0.443
t	d̥	0.44
ˈyː	ˈyː	0.431
ˈo	ˈoː	0.394
ˈɛ	ˈeː	0.377
ˈou̯	-	0.37
ˈyə̯	-	0.338
r	r	0.319
ˈɑː	ˈɔː	0.313
ˈy	ˈøː	0.308
xː	ˈøy̯_k	0.298
ˈei̯	-	0.294
ˈuː	-	0.293
ˈiə̯	-	0.275
ˈy	ˈʏ	0.262
ˈy	-	0.262
ˈiə̯	ˈæː	0.259
ˈu	-	0.252
ˈo	ˈɔ	0.236
x	-	0.229
ˈɛ	-	0.219
d	-	0.204
h	-	0.203
ˈy	ˈʏə̯	0.169
ˈɑ	ˈɑː	0.166
w	w	0.162
b_ə	v̥	0.162
ˈo	-	0.158
ˈɛ	ˈɛ	0.156
ˈɛ	ˈɑː	0.144
ˈu	ˈøː	0.141
ˈuə̯	-	0.14
ˈo	ˈœ	0.139
ˈuə̯	ˈœːy̯	0.133
ˈiː	ˈɪ	0.127
ˈiː	ˈɛːɪ̯	0.127
ˈɑ	ˈɒː	0.118
ˈuː	ˈuːu̯	0.118
t	d	0.117
ˈɑ	ˈɑːɑ̯	0.115
w	-	0.114
ˈi	-	0.112
ˈɛ	ˈeːe̯	0.103
ˈu	ˈɔ	0.079
ˈi	ˈɛ	0.078
ˈo	ˈʊ	0.073
ˈi	ˈɪə̯	0.073
ˈuə̯	ʊ	0.066
ˈɑ	ˈɒːɒ̯	0.064
ˈɑ	-	0.064
ˈiː	ˈiːi̯	0.058
