English	Swedish	probability
ˈɪ_ə	r	1.0
ˈɜː_s	ʂ	1.0
ˈɜː	ˈuː	1.0
ˈɛ	-	1.0
ˈɐ_ð	ˈuː	1.0
ʧ	k	1.0
ʤ	ɡː	1.0
ɹ	r	1.0
ɡ	ɛ	1.0
ɜː	r_ˈɛ	1.0
ŋ_k	kː_a	1.0
ð	d_ɛ	1.0
z	s_a	1.0
tʰ	tʰ	1.0
s_w	s	1.0
pʰ	pʰ	1.0
l	l	1.0
kʰ	kʰ	1.0
f	f	1.0
b	b	1.0
h	h	0.914
w	v	0.888
ˈæ	ˈa	0.82
ŋ	ŋː	0.806
d	d	0.799
s	s	0.761
p	p	0.706
ˈɒ	-	0.702
n	n	0.694
θ	tʰ	0.67
ɪ	-	0.655
k	k	0.653
m	m	0.636
ɫ	l	0.634
ˈɑː	ˈɑː	0.551
t	t	0.536
j	ɡ	0.536
ˈeɪ̯	ˈɑː	0.532
ʃ	s_k	0.509
ˈaʊ̯	ˈʉː	0.502
ˈʊ	ˈɵ	0.5
ˈʊ	ˈuː	0.5
ʃ	ɧ	0.491
ˈaɪ̯	ˈiː	0.479
ə	r	0.477
ˈuː	-	0.466
j	-	0.464
ˈəʊ̯	ˈeː	0.462
ˈuː	ˈoː	0.398
ˈeɪ̯	-	0.381
ˈe	ˈɛ	0.376
ˈɐ	ˈɵ	0.375
ˈɪ	ˈɪ	0.371
ˈiː	ˈøː	0.36
t	tː	0.351
k	kː	0.347
ɪ	ɪ_ɡ	0.345
ˈɔː	ˈa	0.327
ˈəʊ̯	-	0.311
ˈɒ	ˈʉː	0.298
p	pː	0.294
v	-	0.29
ˈaʊ̯	ˈɵ	0.283
ˈɔː	ˈɔ	0.264
m	mː	0.258
ˈɔː	ˈuː	0.255
ˈaɪ̯	ˈɪ	0.255
v	v_a	0.25
ˈe	ˈøː	0.235
ˈe	-	0.235
v	v	0.233
ˈəʊ̯	ˈɛː	0.227
v	v_ɛ	0.227
ˈɑː	ˈa_l	0.225
ˈɑː	-	0.225
ˈaʊ̯	ˈuː	0.215
θ	ɕ	0.202
d	-	0.201
ɫ	lː	0.195
ŋ	ŋ	0.194
ˈɐ	ˈʊ	0.193
ˈɐ	ˈoː	0.193
ˈiː	ˈœ	0.19
ˈæ	ˈɛ	0.18
ɫ	ɛ	0.171
s	ɧ	0.17
ˈɐ	ˈɔ	0.166
ˈɔː	-	0.155
ˈɪ	ˈɵ	0.136
ˈuː	ˈuː	0.136
n	nː	0.134
ˈɪ	ˈʏ	0.131
θ	tʰ_ˈœ	0.128
ə	ɛ_r	0.124
ˈaɪ̯	ˈɛ	0.119
ə	ɛ	0.118
w	-	0.112
ə	r_a	0.107
m	r_m	0.106
ˈiː	ˈʉː	0.102
ˈiː	ˈoː	0.099
ˈiː	ˈɛː	0.098
ə	a	0.095
ˈiː	-	0.093
ˈe	ˈʉː	0.09
ˈeɪ̯	jː	0.087
h	j	0.086
ə	r_ɛ	0.079
ˈɪ	ˈeː	0.077
ˈɪ	j	0.077
ˈaɪ̯	ˈa	0.074
ˈaɪ̯	-	0.074
ˈɐ	ˈʉː	0.073
s	sː	0.069
ˈɪ	ˈiː	0.068
t	k_t	0.066
ˈe	ˈɛː	0.064
n	-	0.06
ˈiː	ɔ	0.059
