Eastphalian	Eastphalian	probability
ˈʏ	-	1.0
ˈɛː	-	1.0
ˈɔʏ̯	-	1.0
ˈœ	-	1.0
ˈaʊ̯	ˈoː	1.0
ɣ̊	x	1.0
ɣ	-	1.0
ç	-	1.0
z	s	1.0
x	h	1.0
w	w	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_ə	n_s	1.0
l_f	l_b	1.0
k	k	1.0
h	h	1.0
f	f	1.0
d̥_#>	t_#>	1.0
d	ð	1.0
<#_ˈʏ	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɣ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
ˈɪ	ˈi	0.889
ˈa	ˈa	0.867
l	l	0.864
t	t	0.857
b	b	0.857
m	m	0.812
ˈuː	ˈuː	0.8
n	n	0.792
#>	s_#>	0.783
ˈiː	ˈiː	0.778
ʃ	s_k	0.778
ˈɛ	ˈi	0.75
v	w	0.75
ˈeo̯	ˈɔː	0.714
ˈʊ	ˈu	0.7
<#	<#_h	0.667
ˈoː	ˈɔː	0.6
<#_d	<#_d	0.571
ŋ	ŋ_ɡ	0.556
ˈɔ	ˈu	0.5
ˈɔ	ˈa	0.5
ˈɒː	ˈeː	0.5
ˈɒː	ˈa	0.5
j	j	0.5
j	-	0.5
ɐ	r	0.448
ˈeː	ˈi	0.429
<#_d	<#_θ	0.429
ˈɛɪ̯	ˈiu̯	0.4
ˈoː	ˈɔ	0.4
ə	oː	0.4
d̥	θ	0.353
ˈɛɪ̯	ˈɛː	0.333
ə	s	0.333
<#	<#_ˈu	0.333
ˈʊ	-	0.3
d̥	θ_s	0.294
ˈeː	ˈɛ	0.286
ˈeː	-	0.286
ˈeo̯	ˈɔ	0.286
ˈɛɪ̯	-	0.267
ˈɛ	-	0.25
ɐ	a_r	0.241
d̥	d_s	0.235
ˈiː	ˈi	0.222
ʃ	k	0.222
ŋ	ŋ	0.222
ŋ	-	0.222
ˈuː	ɡʷː	0.2
ə	a	0.2
m	a	0.188
v	β	0.15
#>	n_#>	0.15
t	t_a	0.143
b	p	0.143
l	lː	0.136
ˈa	ˈɛ	0.133
d̥	d_u	0.118
ˈɪ	ˈiː	0.111
ɐ	oː	0.103
v	ʍ	0.1
n	j_a	0.083
ɐ	r_u	0.069
ɐ	a	0.069
ɐ	-	0.069
ə	ɔː	0.067
#>	a_#>	0.067
n	nː	0.062
n	n_θ	0.062
