Alsatian	Alsatian	probability
ˈɔi̯	ˈu_ʋ	1.0
ˈɒ_l	ˈu	1.0
ˈœ	ˈoː	1.0
ˈøː	-	1.0
ˈøi̯	ˈyː	1.0
ˈæː	-	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈyː	1.0
ˈaː	-	1.0
ʦ	t	1.0
ʃ_w	z_ʋ	1.0
ʁ_ˈi	ˈæ_ɾ	1.0
ɡ̊_ʁ	ɦ_ɾ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
t_ʁ	d_ɾ	1.0
t_ə	d	1.0
s_ə	t_n	1.0
s_#>	t_#>	1.0
s	z	1.0
p͡f	p	1.0
p	p	1.0
m	m	1.0
k_ə	k_n	1.0
k_s	s	1.0
k_#>	ɦ_ə_#>	1.0
i_ʃ	k	1.0
f_ə	p_n	1.0
eː	iə̯	1.0
e	-	1.0
d̥_#>	d̥_#>	1.0
d̥	d	1.0
<#_ʁ	<#_ɾ	1.0
<#_ɡ̊	<#	1.0
<#_n	<#_n	1.0
<#_h_ˈɒ	<#_ˈɑ	1.0
<#_h	<#	1.0
ʁ	ɾ	0.935
f	v	0.88
b̥	b	0.875
n	n	0.865
ʋ	ʋ	0.833
kʰ	k	0.833
l	l	0.778
ˈɒː	ˈɑ	0.75
ˈʊː	ˈuə̯	0.727
ʃ	s	0.682
x	h	0.667
ə	n	0.632
ˈəi̯	ˈɛː	0.625
ˈɒ	ˈɑ	0.611
ˈi	ˈɪ	0.55
ˈe	-	0.545
ə_ʁ	ɾ	0.545
ˈoː	ˈoː	0.5
ˈei̯	ˈiə̯	0.5
ˈei̯	-	0.5
j	ɦ	0.5
j	j	0.5
i	ɦ̥	0.5
t	t	0.462
ə_ʁ	ə_ɾ	0.455
ˈo	ˈoː	0.444
ˈeː	-	0.429
ˈiː	ˈiə̯	0.4
t	d̥	0.385
#>	ɦ̥_#>	0.385
#>	k_#>	0.385
ˈəi̯	-	0.375
ˈoː	ˈɒː	0.357
ˈo	ˈœ	0.333
x	-	0.333
ˈeː	ˈoː	0.286
ˈeː	ˈiə̯	0.286
ˈɒ	ˈɒː	0.278
ˈʊː	ˈoː	0.273
ˈe	ˈɛ	0.273
ˈiː	ˈi	0.267
ˈɒː	-	0.25
ˈu	ˈɔ	0.25
ˈu	ˈu	0.25
ˈi	-	0.25
i	ɪ	0.25
i	ç	0.25
#>	d̥_#>	0.231
ˈo	-	0.222
l	w	0.222
ˈiː	ˈuə̯	0.2
ˈu	ˈœ	0.188
ˈu	ˈoː	0.188
ˈe	ˈæ	0.182
ʃ	k	0.182
ʋ	ɦ	0.167
kʰ	k_ˈɔ	0.167
ə	-	0.158
ˈoː	-	0.143
ʃ	ʃ_h	0.136
ˈiː	-	0.133
ˈu	-	0.125
b̥	v̥	0.125
f	p	0.12
ˈɒ	-	0.111
ə	ə_n	0.105
ə	ə	0.105
ˈi	ˈœ	0.1
ˈi	ˈæ	0.1
n	ˈiə̯_n	0.081
t	d	0.077
t	-	0.077
ʁ	-	0.065
n	-	0.054
