Brazilian Portuguese	Emilian	probability
#>	#>	0.961
<#	<#	1.0
<#_a	<#	1.0
<#_e	<#	1.0
<#_h	<#	0.253
a	a	0.702
a	ˈaː	0.112
a	ˈɛ	0.085
a	u	0.056
b	b	0.509
b	v	0.453
d	d	0.752
d	t	0.169
e	-	0.454
e	e	0.205
e	a	0.174
e	ˈa	0.078
ẽ	i	0.349
ẽ	e	0.232
ẽ	l	0.11
ẽ	-	0.077
f	f	1.0
h	r	0.958
i	-	0.679
i	i	0.306
i_#>	#>	1.0
ĩ	i	1.0
j	-	0.719
j	ˈɛ	0.143
j̃	ɲ	0.413
j̃	ŋ	0.27
j̃	-	0.092
j̃	n	0.084
j̃	ˈo	0.08
j̃	a	0.052
j̃_u	ŋ	1.0
k	k	0.95
k_u	k	1.0
l	l	1.0
m	m	0.915
m	-	0.079
n	n	0.945
n	m	0.055
o	u	0.634
o	ˈɛː	0.1
o	-	0.079
o	e	0.077
o	o	0.074
õ	ɲ	0.574
õ	u	0.289
p	p	1.0
p_u	p	1.0
s	s	0.57
s	θ	0.412
s_e	z	1.0
s_u	s	1.0
t	t	0.942
t	θ	0.058
t_u	t	1.0
u	-	0.762
u	i	0.079
u	u	0.055
v	v	0.755
v	b	0.127
v	-	0.054
v_i	v	0.253
v_u	v	1.0
w	l	0.563
w	w	0.237
w	ˈɛ	0.088
w	o	0.066
w	-	0.052
w̃	ŋ	0.875
w̃	-	0.123
z	-	0.425
z	z	0.392
z	ʤ	0.114
ɐ	a	0.885
ɐ	-	0.114
ɐ̃	a	0.064
ɡ	ɡ	0.851
ɡ	-	0.052
ɡ	ŋ_ɡ	0.052
ɡ_u	ɡ	1.0
ɦ	r	0.526
ɦ	r_e	0.383
ɦ	-	0.077
ɾ	r	0.843
ɾ	-	0.112
ɾ_i	r	0.503
ɾ_u	r	1.0
ʃ	s	0.492
ʃ	z	0.254
ʃ	p_j	0.089
ʃ	f_j	0.077
ʃ	ʧ	0.063
ʃ_#>	#>	1.0
ʃ_u	s	0.253
ʎ	j	0.367
ʎ	ˈɔː	0.231
ʎ	ʧ	0.13
ʎ	r	0.101
ʎ	-	0.071
ʎ	l	0.06
ʎ_u	ʧ	1.0
ʒ	ð	0.683
ʒ	-	0.12
ʒ	z	0.094
ʒ	ʤ	0.089
ʤ	d	0.573
ʤ	-	0.296
ʤ	t	0.09
ʧ	t	0.496
ʧ	ŋ_t	0.432
ʧ	-	0.066
ˈa	ˈɛ	0.67
ˈa	ˈaː	0.224
ˈe	ˈa	0.289
ˈe	-	0.191
ˈe	ˈiː	0.167
ˈe	e	0.118
ˈe	ˈɛ	0.072
ˈe	ˈa_d	0.057
ˈẽ	ˈæ	0.492
ˈẽ	ˈa	0.209
ˈẽ	ŋ	0.105
ˈẽ	ˈo	0.105
ˈẽ	ˈi	0.083
ˈi	ˈe	0.422
ˈi	ˈiː	0.191
ˈi	j	0.123
ˈi	-	0.089
ˈi	ˈi	0.071
ˈi	ˈɔː	0.052
ˈĩ	ˈe	0.693
ˈĩ	ˈiː	0.191
ˈĩ	ˈæ	0.1
ˈo	ˈɔ	0.24
ˈo	ˈɔː	0.204
ˈo	ˈʌu̯	0.144
ˈo	ˈuː	0.139
ˈo	ˈʌ	0.116
ˈo	ˈo	0.101
ˈo_w	ˈɔː	1.0
ˈõ	ˈʌ	0.424
ˈõ	ˈo	0.167
ˈõ	ˈaː	0.166
ˈõ	ˈɔ	0.152
ˈu	ˈuː	0.45
ˈu	ˈo	0.158
ˈu	ˈʌu̯	0.146
ˈu	ˈʌ	0.11
ˈu	ˈɔː	0.084
ˈũ	ˈo	1.0
ˈɐ̃	ˈa_ŋ	0.309
ˈɐ̃	ˈa	0.298
ˈɐ̃	ˈaː	0.233
ˈɐ̃	ˈɛ	0.081
ˈɐ̃	ˈʌ	0.072
ˈɔ	ˈʌu̯	0.36
ˈɔ	ˈɔː	0.332
ˈɔ	ˈɔ	0.11
ˈɔ	ˈo	0.073
ˈɔ	-	0.062
ˈɔ	ˈaː	0.061
ˈɛ	ˈɛ	0.51
ˈɛ	ˈɛː	0.198
ˈɛ	ˈa	0.131
ˈɛ	ˈiː	0.111
