Nynorsk Norwegian	Yiddish	probability
b	b	1.0
f	f	1.0
jː	ɡ	1.0
mː	m	1.0
pʰ	f	1.0
sː	d	1.0
tː	ʦ	1.0
v	v	1.0
ŋ	ɪ	1.0
ɲ	ŋ	1.0
ʉ	-	1.0
ʰpː	f	1.0
ˈæ	ˈa	1.0
ˈæʉ̯	ˈɔɪ̯	1.0
ˈæː	ˈɛ	1.0
lː	l	0.881
m	n	0.071
s	z	0.501
ç	d	0.071
ɑ	-	0.091
ɑ	n	0.691
ʂ	ʃ	0.531
ʰkː	k	0.171
ˈeː	ˈaɪ̯	0.11
ˈoː	ˈɔ	0.471
ˈuː	ˈɪ	0.081
ˈuː	-	0.151
ˈœʏ̯	ˈɔɪ̯	0.621
ˈɑː	ˈa	0.31
ˈɪ	ˈɪ	0.911
d	-	0.062
d	d	0.152
e	-	0.522
j	h	0.162
m	m	0.862
nː	n	0.732
p	f	0.782
ɛ	-	0.162
ɡ	ɡ	0.772
ʋ	f	0.22
ʋ	v	0.562
ʰtː	s	0.352
ˈyː	ˈɪ	0.342
ˈœ	ˈɔ	0.262
ˈɑ	ˈa	0.802
ˈʉː	ˈɛ	0.052
ˈʏ	v_ˈɪ	0.142
kʰ	k	0.883
n	n	0.893
s	ʃ	0.363
tʰ	d	0.513
ŋː	ŋ	0.983
ɑ	ə	0.213
ə	-	0.533
ɡː	-	0.203
ʂ	ʧ	0.123
ˈiː	ˈaɪ̯	0.633
ˈuː	ˈɔ	0.053
ˈœ	ˈɪ	0.153
ˈɔ	ˈʊ	0.313
ˈʉ	ˈɛ	0.113
ˈʉː	ˈɔ	0.063
ˈʊ	ˈɔ	0.633
ˈʏ	ˈɔ	0.073
j	l	0.064
k	-	0.094
l	-	0.074
t	s	0.844
tʰ	b	0.054
tʰ	t	0.084
ç	χ	0.114
ɾ	ʀ	0.964
ˈoː	ˈɛ	0.204
ˈuː	ˈʊ	0.624
ˈæɪ̯	ˈɛɪ̯	0.864
ˈøː	ˈɪ	0.404
ˈɔ	ˈɔ	0.164
ˈɔ	ˈa	0.294
ˈʉː	ˈɪ	0.214
ˈʊ	ˈa	0.104
çː	k	0.215
çː	ʦ	0.785
ˈeː	ˈɛ	0.435
ˈuː	ˈɔɪ̯	0.055
ˈɑ	ˈɔ	0.155
ˈʊ	ˈɛ	0.175
ˈʏ	ˈʊ	0.105
ˈʏ	ˈɛ	0.105
ˈʏ	ˈaɪ̯	0.105
d	t	0.786
k	χ	0.826
l	l	0.926
ʂ	z	0.346
ˈæɪ̯	ˈɔ	0.136
ˈøː	ə	0.096
ˈøː	ˈɛɪ̯	0.326
ˈœ	ˈɛ	0.466
ˈɔ	ˈɪ	0.056
ˈɔ	ˈɔɪ̯	0.096
ˈɛ	ˈa	0.086
ˈɛ	ˈɛ	0.636
ˈʉ	ˈɔɪ̯	0.186
ˈʉ	ˈʊ	0.486
h	h	0.967
j	ɡ	0.467
kʰ	-	0.117
n	-	0.107
s	-	0.107
t	ʦ	0.067
ç	k	0.77
ə	ə	0.467
ɡː	k	0.797
ˈeː	ˈa	0.067
ˈiː	ˈɛ	0.077
ˈoː	ˈɪ	0.07
ˈøː	ˈʊ	0.087
ˈøː	ˈɔɪ̯	0.087
ˈɔ	ˈɛ	0.077
j	-	0.148
k	k	0.08
p	p	0.218
ɛ	ə	0.838
ʋ	b	0.208
ʰtː	t	0.068
ʰtː	χ	0.58
ˈeː	ˈɪ	0.298
ˈyː	ˈaɪ̯	0.658
ˈɛ	ˈɪ	0.128
ˈʉ	v_ˈɔ	0.08
ˈʉː	ˈaɪ̯	0.068
ˈʉː	ˈʊ	0.128
ˈʉː	ˈɔɪ̯	0.468
ˈʊ	ˈʊ	0.088
e	ə	0.399
j	ˈɛ	0.109
lː	ʀ	0.119
nː	-	0.229
t	t	0.089
tʰ	ʦ	0.349
ɡ	χ	0.179
ʰkː	ŋ_k	0.829
ˈiː	ˈɪ	0.29
ˈoː	ˈʊ	0.179
ˈœ	ˈʊ	0.119
ˈœʏ̯	ˈɛ	0.379
ˈɑː	ˈɔ	0.69
ˈɛ	ˈaɪ̯	0.129
ˈɪ	ʀ	0.089
ˈʉ	-	0.09
ˈʏ	ˈɪ	0.469
