American English	Zeelandic	probability
θ_ˈɪ	d_ˈɪ	1.0
θ	d	1.0
ˈɪ_k	ˈiː_k	1.0
ˈɛə̯	ˈɑ	1.0
ˈɔ_ɹ	ɾ	1.0
ˈoʊ̯_ɫ	ˈɑu̯	1.0
ʧ	k	1.0
ʤ	x_ə	1.0
ɾ	t	1.0
ɹ_ˈɛ	ˈɔ	1.0
ɹ	ɾ	1.0
ɪ	-	1.0
ɡ	ə	1.0
ə	-	1.0
ŋ	ŋ	1.0
z	z_ə	1.0
w	ʋ	1.0
v	v_ə	1.0
t	t	1.0
p	p	1.0
oʊ̯	x	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s	s	1.0
k	k	1.0
j	j	1.0
h_ˈɛ	ˈɛː	1.0
f	v	1.0
d_ˈɛ	d_ˈʊə̯	1.0
b	b	1.0
n	n	0.898
ʔ	t	0.841
ˈaʊ̯	ˈyː	0.738
ɚ	ɾ	0.714
ɫ	ɫ	0.694
ð	-	0.683
s	z	0.649
ˈu	-	0.608
ʃ	s_x	0.599
ˈeɪ̯	ˈɛː	0.589
ˈɝ	ɾ	0.583
i	iː	0.525
d	d̥	0.507
ˈæ	ˈɑ	0.501
ˈɔ	ˈʊə̯	0.5
ˈɔ	ɾ	0.5
d	d	0.493
i	i	0.475
ˈoʊ̯	ˈɪə̯	0.46
ˈʌɪ̯	-	0.439
ˈɝ	ˈæ_ɾ	0.417
ʃ	s	0.401
ˈɪ	ˈi	0.398
ˈɪ	ˈɪ	0.372
ˈaɪ̯	ˈɪ	0.369
ˈoʊ̯	-	0.356
s	s	0.351
ˈʊ	ˈɔ	0.333
ˈʊ	ˈuː	0.333
ˈʊ	-	0.333
ð	d	0.317
ˈʌɪ̯	ˈɪ	0.292
ˈʌ	ˈɔ	0.288
ˈæ	-	0.287
ɚ	ə_ɾ	0.286
ˈeɪ̯	ˈɑ	0.28
ˈʌɪ̯	ˈi	0.269
ˈaʊ̯	-	0.262
ˈi	ˈiː	0.247
ˈɑ	ˈɔ	0.238
ˈɛ	ˈæ	0.224
ˈi	ˈʊə̯	0.224
ˈɑ	ˈæ	0.22
ˈu	x	0.22
ˈi	ˈɛː	0.218
ˈʌ	ˈu	0.217
ˈaɪ̯	ˈi	0.217
ˈɑ	ˈɑ	0.213
ˈæ	ɫ_ə	0.212
ˈɑ	ˈɛː	0.208
ˈʌ	ˈøː	0.206
ˈɛ	ˈɪə̯	0.205
ˈoʊ̯	ˈæi̯	0.184
ˈɛ	ˈeː	0.182
ˈu	ˈɑ_n	0.172
ˈɛ	ˈɪ	0.171
ˈaɪ̯	ˈʊə̯_x	0.165
ɫ	ə_ɫ	0.161
ʔ	x_t	0.159
ˈʌ	-	0.148
ˈaɪ̯	ˈiː	0.145
ɫ	ɫ_ə	0.145
ˈɛ	ˈʊə̯	0.135
ˈeɪ̯	x	0.131
ˈɑ	ˈɒː	0.121
ˈi	ˈuː	0.111
ˈaɪ̯	ˈyː	0.104
ˈʌ	ˈyː	0.088
ˈɛ	-	0.083
ˈi	ˈeː	0.08
ˈɪ	ˈʏ	0.077
ˈɪ	ˈæ	0.077
ˈɪ	ˈeː	0.077
n	ə_n	0.072
ˈi	-	0.065
ˈʌ	ˈɑ	0.053
