Old Church Slavonic	Proto-Balto-Slavic	probability
ʧ	k	1.0
ʦ	k	1.0
ʒ	ɡ	1.0
ʊ_ˈ	u	1.0
ʃ	k	1.0
ɯ	uː	1.0
ɑ_ˈ	ˀ	1.0
x	ʃ	1.0
v	w	1.0
u	au̯	1.0
s_ʊ	s_u	1.0
r_ɪ	i_r	1.0
r_æ	e	1.0
r	r	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
m	m	1.0
b	b	1.0
a	-	1.0
z	zʲ	0.935
ɡ	ɡ	0.916
l	l	0.901
k	k	0.78
ɛ_ˈ	e_́	0.733
ɔ_ˈ	a_́	0.725
t	t	0.678
i	ei̯	0.673
æ	ai̯	0.661
ɔ̃	a	0.647
j	-	0.647
ɑ	aː	0.559
d	d	0.537
ɔ	a	0.511
ɛ	e	0.49
ɔ	-	0.489
d	-	0.463
s	sʲ	0.449
ɪ	i_́	0.444
ʊ	a_s	0.408
ɛ̃	e	0.377
ɔ̃	a_ŋ	0.353
j	ai̯	0.353
ɪ	i	0.341
æ	-	0.339
i	iː	0.327
ɛ̃	i	0.311
ɛ̃	-	0.311
ˈ	-	0.309
s	-	0.301
ˈ	́	0.291
ɛ	ɛ	0.285
ɔ_ˈ	a	0.275
ɛ_ˈ	e	0.267
s	n_s	0.25
ˈ	́ˀ	0.236
t	-	0.227
ɛ	e_́	0.224
k	-	0.22
ɪ	-	0.215
ɑ	oː	0.21
ʊ	-	0.19
ˈ	ˀ	0.164
ʊ	u	0.119
ɑ	-	0.118
ɑ	a	0.113
ʊ	a_́	0.109
l	-	0.099
t	m_t	0.095
ɡ	-	0.084
ʊ	s	0.069
ʊ	a	0.069
z	z	0.065
