Lithuanian	Lithuanian	probability
̌_ɡ	́_ɡ	1.0
̌_#>	#>	1.0
ˈ_#>	#>	1.0
ˈ	-	1.0
ʒ	zʲ	1.0
ʑ	zʲ	1.0
ʊ_ˈ	u	1.0
ɪ_ˈ_#>	#>	1.0
ɪ_s	s	1.0
ɪ_#>	ei̯_#>	1.0
ɡʲ_ʑ	z	1.0
ɡʲ	ɡ	1.0
ɡ	ɡ	1.0
ɛʊ̯	j_au̯	1.0
ɛɪ̯	ei̯_ʃ	1.0
ɛ_ˈ	ɛ	1.0
ɐʊ̯_̌	au̯	1.0
ɐɪ̯	ai̯	1.0
ŋʲ	-	1.0
ŋ	ŋ	1.0
æː	e	1.0
æɪ̯	ei̯	1.0
z	-	1.0
vʲ	w	1.0
v	w	1.0
uː	uː	1.0
uə̯_̌	oː	1.0
uə̯	oː	1.0
tʲ	t	1.0
t	t	1.0
sʲ	s	1.0
s_#>	#>	1.0
rʲ	r	1.0
r_̌	́_r	1.0
pʲ	p	1.0
p	-	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m_̌	́_m	1.0
m	m	1.0
lʲ	l	1.0
kʲ	k	1.0
k	k	1.0
j	j	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
aː_̌	́	1.0
aʊ̯	-	1.0
aɪ̯	ai̯	1.0
<#_v	<#_w	1.0
<#_tʲ	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
#>	n_#>	1.0
s	s	0.935
ɐ	a	0.9
aː	a	0.778
r	r	0.769
ɪ	i	0.714
iː	i	0.667
dʲ	d	0.667
ɫ	l	0.636
ɐ_ˈ	aː_́ˀ	0.625
iə̯	ai̯	0.6
ɕ	sʲ	0.571
eː	aː_ˀ	0.545
̌	́	0.529
ʃ	ʃ	0.5
ʃ	sʲ	0.5
ɪ_ˈ	i_́	0.5
ɪ_ˈ	i	0.5
̌	-	0.471
̂	́ˀ	0.455
ɛ	e	0.455
eː	eː	0.455
ɕ	ʃ	0.429
iə̯	-	0.4
ʊ	u	0.375
ʊ	-	0.375
ɐ_ˈ	aː	0.375
ɫ	l_ˀ	0.364
ɛ	e_́	0.364
oː	oː	0.333
oː	aː_́ˀ	0.333
oː	aː	0.333
iː	-	0.333
dʲ	-	0.333
ɪ	-	0.286
̂	́	0.273
̂	-	0.273
ʊ	au̯	0.25
r	r_ˀ	0.231
aː	a_n	0.222
ɛ	-	0.182
s	-	0.065
ɐ	-	0.06
