Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈo	1.0
ɲ	ɲ	1.0
ɥ_i	ˈɔ_t	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɛɪ̯	ˈɛ_s	1.0
ɛ_l	l	1.0
ɑ	ˈaː	1.0
œ̃ʏ̯̃	ˈo_ŋ	1.0
z	z	1.0
v	v	1.0
s_œ	s	1.0
o	ˈɔ_s	1.0
n_#>	n_a_#>	1.0
n	n	1.0
m	m	1.0
k_l	ʧ	1.0
j_#>	#>	1.0
f	f	1.0
e_#>	#>	1.0
d	d_e	1.0
b	b	1.0
aœ̯	ˈʌu̯	1.0
a_ʁ	r	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_s	1.0
<#_d	<#_d	1.0
p	p	0.909
k	k	0.85
ʁ	r	0.831
oʊ̯	ˈɛ_l	0.8
ɑɔ̯	ˈɔː	0.778
t	t	0.722
ʒ	ð	0.7
l	l	0.696
ɪ	ˈe	0.667
ɔ	-	0.667
j	-	0.65
a	a	0.632
f_#>	v_#>	0.6
e	ˈɛ_r	0.588
ɛ_#>	#>	0.571
ʃ	k	0.526
s	s	0.514
ɒ̃ʊ̯̃	ˈʌ_ŋ	0.5
i	ˈiː	0.5
œ	-	0.455
y	ˈuː	0.444
æɛ̯	ˈɛ	0.433
ɛ_#>	z_#>	0.429
øʏ̯	ˈuː_ɡ	0.429
#>	a_#>	0.402
f_#>	#>	0.4
ẽɪ̯̃	ˈa_ŋ	0.389
s	θ	0.371
ʃ	k_a	0.368
a	ˈaː	0.368
œ	ˈɔː	0.364
ɪ	j_ˈɔː	0.333
ɔ	u	0.333
y	ˈo	0.333
w	ˈa	0.333
ẽɪ̯̃	ŋ	0.333
ã	ˈæ_ŋ	0.333
ɛ	ˈɛ	0.316
ʒ	-	0.3
e	ˈɛ	0.294
øʏ̯	ˈʌu̯	0.286
øʏ̯	ˈɔː	0.286
w	-	0.286
u	u	0.286
ẽɪ̯̃	ˈe_ŋ	0.278
ã	ŋ	0.278
ɛ	j	0.263
ɒ̃ʊ̯̃	ˈo_ŋ	0.25
ɒ̃ʊ̯̃	ŋ	0.25
æɛ̯	ˈaː	0.233
ɑɔ̯	u	0.222
y	-	0.222
ã	ˈa_ŋ	0.222
u	ˈɔ	0.214
u	-	0.214
ɛ	e	0.211
oʊ̯	-	0.2
#>	t_#>	0.183
œ	ˈʌu̯	0.182
l	j	0.174
t	t_e	0.167
ã	ˈa_n	0.167
k	k_w	0.15
j	j	0.15
i	ˈe	0.15
i	i	0.15
w	ˈiː	0.143
w	ˈa_d	0.143
u	ˈʌu̯	0.143
u	ˈo	0.143
l	j_ˈa	0.13
e	ˈɛ_d	0.118
s	-	0.114
t	-	0.111
ʃ	-	0.105
ɛ	ˈɛː	0.105
ɛ	-	0.105
æɛ̯	ˈɛː	0.1
æɛ̯	ˈa	0.1
j	j_a	0.1
j	a	0.1
i	ˈɛ_ð	0.1
i	ˈi	0.1
w	ˈʌu̯	0.095
p	p_ˈo	0.091
#>	r_#>	0.085
ʁ	e	0.078
æɛ̯	ˈɛ_d	0.067
æɛ̯	a	0.067
#>	d_#>	0.061
