Bokmål Norwegian	Bokmål Norwegian	probability
ˈʏ	ˈɪ	1.0
ˈʊ	ˈʌ	1.0
ˈʉː_#>	ˈaʊ̯_#>	1.0
ˈœʏ̯	ˈi	1.0
ˈøː_j	ˈaɪ̯	1.0
ˈøː_#>	ˈɛ_d_#>	1.0
ˈoː_#>	ˈoʊ̯_#>	1.0
ˈeː_#>	#>	1.0
ʋ_ə	v	1.0
ʋ_#>	f_#>	1.0
ʈː	ɹ_ʔ	1.0
ʈ	ɹ_ʔ	1.0
ɾ_ə	ɚ	1.0
ɳ	ɹ_n	1.0
ɪ	-	1.0
ə_ɾ	ɚ	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	-	1.0
sː	s	1.0
s_ə	z	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
s	s	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kː	ŋ_k	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈʌ	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ɾ	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_w	1.0
ʋ	w	0.905
n	n	0.889
ə	-	0.854
tː	ʔ	0.8
l	l	0.75
nː_ə	n_d	0.714
k	k	0.692
ˈøː	ˈi	0.667
ˈæː	-	0.667
ˈæɪ̯	ˈoʊ̯	0.667
ʂ	ʃ	0.667
ɡː	ʤ	0.667
t	ʔ	0.615
ˈɑː	ˈeɪ̯	0.6
lː	ɫ	0.6
ˈʉː	ˈaʊ̯	0.583
tʰ	tʰ	0.556
ɾ	ɹ	0.54
ˈɪ	ˈɪ	0.533
ˈœ	ˈi	0.5
ˈeː	ˈi	0.5
ˈeː	-	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
ˈɛ	ˈɛ	0.476
nː	n	0.462
ˈoː	ˈi	0.455
tʰ	θ	0.444
ˈʉ	ˈʌ	0.429
ˈɔ	-	0.429
ˈyː	ˈi	0.417
lː	ɫ_d	0.4
t	t	0.385
nː	n_d	0.385
#>	θ_#>	0.385
ɾ	ɚ	0.36
ˈøː	ˈɛ	0.333
ˈæː	ð	0.333
ˈæɪ̯	ˈeɪ̯	0.333
ˈuː	-	0.333
ˈiː	ˈaɪ̯	0.333
ʂ	s	0.333
ɡː	-	0.333
j	ɡ	0.333
j	h	0.333
j	-	0.333
ˈœ	ˈɪ	0.3
ˈɔ	ˈʌ	0.286
ˈɔ	ˈɔ	0.286
nː_ə	n	0.286
ˈuː	ˈu	0.278
ˈiː	ˈɪ	0.278
ˈɪ	ˈaɪ̯	0.267
ˈʉː	ˈaɪ̯	0.25
ˈɑ	ˈɑ	0.25
ˈɑ	-	0.25
ˈyː	-	0.25
l	ɫ	0.25
#>	n_#>	0.231
#>	f_#>	0.231
ˈuː	ˈɔ	0.222
ˈiː	-	0.222
ˈʉ	ˈʊ	0.214
ˈʉ	ˈaʊ̯	0.214
ˈɪ	-	0.2
ˈɑː	ˈɑ	0.2
ˈɑː	-	0.2
ˈɑ	ˈɛə̯	0.2
ˈɑ	ˈæ	0.2
ˈœ	ˈʌ	0.2
tː	-	0.2
ˈoː	ˈɛ	0.182
ˈoː	ˈu	0.182
ˈoː	ˈoʊ̯	0.182
ˈʉː	ˈɑ	0.167
ˈyː	ˈɪ	0.167
ˈyː	ˈu	0.167
ˈuː	ˈʊ	0.167
ˈiː	ˈʌɪ̯	0.167
nː	θ	0.154
k	ʧ	0.154
k	-	0.154
#>	ˈi_#>	0.154
ˈʉ	-	0.143
ˈɛ	ˈoʊ̯	0.143
n	-	0.111
ˈɑ	ˈɔ	0.1
ˈɛ	ˈʌɪ̯	0.095
ˈɛ	ˈɪ	0.095
ˈɛ	ˈæ	0.095
ˈɛ	-	0.095
ʋ	v	0.095
ə	ə	0.062
ɾ	ˈɝ	0.06
