Kashubian	Ukrainian	probability
ˈə	ˈɪ	1.0
ˈu_k	ˈi_ɦ	1.0
ˈõ	ˈu	1.0
ˈi	ˈɪ	1.0
ˈe	ˈi	1.0
ˈa_ŋ	ɐ	1.0
ʣ	d	1.0
ʒ	ʒ	1.0
ʂ	r	1.0
ɲ	nʲ	1.0
ɔ_#>	ɔ_#>	1.0
ŋ	-	1.0
x	x	1.0
u̯ɛ	ɔ	1.0
r	r	1.0
p_#>	b_#>	1.0
m	m	1.0
f_#>	w_#>	1.0
e	i	1.0
d	d	1.0
a_ŋ	ɐ	1.0
<#_r	<#_r	1.0
<#_l	<#_ɫ	1.0
<#_j	<#	1.0
ɡ	ɦ	0.8
t	t	0.8
l	lʲ	0.8
z	z	0.778
k	k	0.765
v	ʋ	0.727
s	s	0.727
ɛ	ɛ	0.714
a	ˈɑ	0.688
ʧ	ʧ	0.667
i	j	0.667
p	p	0.636
ˈu	ˈi	0.6
ˈa	ˈi	0.6
ʐ	rʲ	0.6
w	ɫ	0.588
ˈɛ	ˈɛ	0.538
ʦ	tʲ	0.5
ʃ	ʒ	0.5
ʃ	ʃ	0.5
ə	ˈɪ	0.5
ə	-	0.5
b	bʲ	0.5
b	b	0.5
u̯ˈɛ	ɔ	0.462
ˈɔ	ɔ	0.455
ˈɞ	ˈɔ	0.444
n	n	0.417
j	j	0.412
ˈu	ˈɔ	0.4
ˈa	ˈɑ	0.4
ʐ	r	0.4
u̯ˈɛ	ˈɔ	0.385
ˈɔ	ˈi	0.364
ˈɞ	ɐ	0.333
ʧ	k_ˈɪ	0.333
n	n_e	0.333
a	ɐ	0.312
ˈɛ	ˈɔ	0.308
ɛ	ˈi	0.286
v	w	0.273
s	sʲ	0.273
n	nʲ	0.25
j	ʋʲ	0.235
j	-	0.235
ˈɞ	i	0.222
ʦ	t_e	0.222
z	zʲ	0.222
ɡ	-	0.2
t	d	0.2
l	ɫ	0.2
i	ˈɪ_j	0.2
ˈɔ	ˈɔ	0.182
p	pʲ	0.182
p	b	0.182
w	ɫ_e	0.176
ʦ	t	0.167
ˈɛ	-	0.154
u̯ˈɛ	ˈi	0.154
i	e_j	0.133
w	ʍ	0.118
w	ʋ	0.118
k	kʲ	0.118
k	k_ɔ	0.118
j	ˈi	0.118
ʦ	ʦ	0.111
