West Flemish	West Flemish	probability
ˈɛː	ˈoʊ̯	1.0
ˈɑ_n	ˈu	1.0
ˈɑ_h	ˈʌɪ̯	1.0
ˈøː	ˈʌ	1.0
ˈæ_ɾ	ˈɝ	1.0
ˈiə̯_ɦ	ˈaɪ̯	1.0
ˈiə̯_n	ˈɛ_n	1.0
ʋ	w	1.0
ʃ_h	ʃ	1.0
ɾ_ə	ɚ	1.0
ɪ	ˈɪ	1.0
ɦ̥_#>	#>	1.0
ɦ_ə_l	ɫ	1.0
ɦ_ə	ʤ	1.0
ə_ɾ	ɚ	1.0
ŋ	ŋ	1.0
ç	i	1.0
z̥_#>	#>	1.0
z̥	s	1.0
z	s	1.0
v̥_#>	f_#>	1.0
v_ˈøː	f	1.0
v_ə	v	1.0
t_n	ʔ	1.0
s_#>	ʃ_#>	1.0
n_ə	n	1.0
m	m	1.0
l_ə	ˈoʊ̯_ɫ	1.0
k_ə	ʧ	1.0
k_n	k	1.0
j	j	1.0
iə̯	t_i	1.0
h_t	ʔ	1.0
d̥_#>	θ_#>	1.0
d̥	d	1.0
d_ˈiə̯	d_ˈi	1.0
d_n	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈʌ	1.0
<#_ˈɒː	<#_h_ˈɛ	1.0
<#_ɾ	<#_ɹ	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
ə	-	0.905
s	s	0.882
p	p	0.818
v	f	0.786
ˈyː	ˈaʊ̯	0.778
ˈɪ	ˈɪ	0.769
l	l	0.75
ɦ	ɡ	0.714
ɾ	ɹ	0.577
ˈiə̯	ˈi	0.545
w	ɫ	0.545
n	n	0.54
t	ʔ	0.516
h	ˈʌɪ̯	0.5
h	-	0.5
d	d	0.48
ˈiə̯	-	0.455
w	-	0.455
ˈœ	-	0.444
ˈɛ	ˈɪ	0.429
n	-	0.42
ˈɔ	ˈɑ	0.4
ˈɔ	-	0.4
ˈi	ˈaɪ̯	0.4
d	θ	0.4
t	t	0.387
ˈæ	ˈɛ	0.385
ˈɑ	ˈæ	0.381
ˈɒː	ˈeɪ̯	0.375
ɾ	ɚ	0.346
ˈœ	ˈɪ	0.333
ˈu	ˈʌ	0.333
ˈu	ˈoʊ̯_ɫ	0.333
ˈu	-	0.333
ˈeː	ˈɛ	0.333
k	k	0.321
ˈɒː	ˈi	0.312
ˈuə̯	ˈi	0.312
ˈɛ	ˈʌɪ̯	0.286
ˈɛ	-	0.286
ɦ	-	0.286
k	kʰ	0.286
ˈoː	ˈi	0.28
ˈeː	ˈoʊ̯	0.267
l	ɫ	0.25
ˈɪ	ˈaɪ̯	0.231
ˈæ	ˈɑ	0.231
ˈæ	-	0.231
ˈœ	ˈʌ	0.222
ˈyː	ˈʌ	0.222
v	v	0.214
k	ʧ	0.214
ˈɔ	ˈɔ	0.2
ˈoː	ˈɛ	0.2
ˈoː	-	0.2
ˈi	ˈʌɪ̯	0.2
ˈi	ˈɪ	0.2
ˈi	-	0.2
ˈɑ	ˈɛə̯	0.19
ˈɒː	ˈɑ	0.188
ˈuə̯	ˈʌ	0.188
ˈuə̯	ˈʊ	0.188
ˈuə̯	ˈu	0.188
p	pʰ	0.182
k	-	0.179
ˈoː	ˈʌ	0.16
ˈoː	ˈɔ	0.16
ˈæ	ˈɪ	0.154
ˈɑ	ˈeɪ̯	0.143
ˈeː	ˈɪ	0.133
ˈeː	ˈi	0.133
ˈeː	-	0.133
ˈɒː	-	0.125
ˈuə̯	-	0.125
d	ð	0.12
s	k_s	0.118
t	ɾ	0.097
ˈɑ	ˈʌ	0.095
ˈɑ	ˈɔ	0.095
ˈɑ	-	0.095
ə	n	0.095
