Franco-Provençal	Franco-Provençal	probability
ˈɔ̃	ɒ̃ʊ̯̃	1.0
ˈy	y_ʁ	1.0
ˈe_ʁ	æɛ̯_ʁ	1.0
ˈe_l	oʊ̯	1.0
ˈe_#>	ɛ_#>	1.0
ˈa_j	æɛ̯	1.0
ʦ	-	1.0
ʒ	ʒ	1.0
ʎ_ə_#>	j_#>	1.0
ʃ_#>	#>	1.0
ʁ_s	ʁ_s	1.0
ʁ_a	ʁ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ̃	ã	1.0
ɛː	-	1.0
ɛ	æɛ̯	1.0
ɔ̃	ɒ̃ʊ̯̃	1.0
ɔ	ɔ	1.0
ɑ̃	ã	1.0
ɑː	ɑ	1.0
ð_ə	ʁ	1.0
ð_o	ʒ	1.0
z	z	1.0
y	-	1.0
v_ˈɛ	v_æɛ̯	1.0
u	-	1.0
s_ə_#>	s_#>	1.0
s_#>	#>	1.0
s	s	1.0
p	p	1.0
m_a_#>	m_#>	1.0
m	m	1.0
l_a	l	1.0
l_#>	#>	1.0
k	k	1.0
j_ˈɔ̃	œ̃ʏ̯̃	1.0
j_ˈe	e	1.0
ĩ	-	1.0
f_#>	f_#>	1.0
f	f	1.0
b	b	1.0
a_l	a_l	1.0
<#_ˈɑː	<#	1.0
<#_ˈo	<#_ɔ	1.0
<#_ʁ	<#_ʁ	1.0
<#_a	<#_a	1.0
l	l	0.943
v	v	0.938
n	n	0.933
ʁ	ʁ	0.932
ʃ	ʃ	0.923
t	t	0.897
a	-	0.789
ˈɛ	ɛ	0.786
ˈĩ	ẽɪ̯̃	0.778
d	d	0.765
ə	-	0.76
ˈa_#>	e_#>	0.727
i	-	0.714
e	e	0.7
o	-	0.682
ˈo	u	0.667
ˈɑ̃	ã	0.615
ˈɑː	æɛ̯	0.6
w_ˈe	œ	0.6
ˈɛː	w_ɛ	0.583
ˈɔ	ɔ	0.571
ˈɛ̃	ẽɪ̯̃	0.562
j	j	0.556
ˈø	-	0.545
ð	ʁ	0.529
ˈi	i	0.522
ˈa	a	0.5
ʎ	j	0.5
#>	l_#>	0.5
#>	e_#>	0.5
ð	ʒ	0.471
ˈaː	æɛ̯	0.444
ˈɛ̃	ã	0.438
ˈɔ	-	0.429
ˈɑː	-	0.4
w_ˈe	øʏ̯	0.4
w	w	0.4
ˈɑ̃	ẽɪ̯̃	0.385
ˈu	u	0.385
ˈo	-	0.333
ˈe	ɪ	0.333
ˈaː	e	0.333
j	-	0.333
o	u	0.318
ˈu	y	0.308
e	-	0.3
ˈoː	oʊ̯	0.294
ˈɛː	æɛ̯	0.292
i	e	0.286
ˈa	æɛ̯	0.278
ˈø	ɑɔ̯	0.273
ˈa_#>	#>	0.273
ˈi	ɪ	0.261
ʎ	l	0.25
ʎ	-	0.25
ə	œ	0.24
w	ɥ	0.24
w	-	0.24
ˈoː	ɑɔ̯	0.235
ˈoː	u	0.235
d	ʣ	0.235
ˈĩ	ã	0.222
ˈaː	-	0.222
ˈɛ	-	0.214
a	a	0.211
ˈe	ɛ	0.19
ˈe	æɛ̯	0.19
ˈø	aœ̯	0.182
ˈu	øʏ̯	0.154
ˈu	-	0.154
ˈi	i_ʁ	0.13
ˈɛː	-	0.125
w	øʏ̯	0.12
ˈoː	œ	0.118
ˈoː	o	0.118
ˈa	ɑ	0.111
ˈa	-	0.111
j	e	0.111
t	-	0.103
ˈe	ɛɪ̯	0.095
ˈe	i	0.095
ˈe	-	0.095
ˈi	-	0.087
ʃ	s	0.077
ʁ	-	0.068
n	-	0.067
v	-	0.062
l	l_ʏ	0.057
